index	word_a	word_b	label
0	ప్రాధాన్యతలేని	సిక్కిమ్	0
1	అంగీకరించని	స్వీకరించని	1
2	పశువు	పులి	1
3	ముడిసరుకు	సామాను	1
4	బహిష్కరించడం	బలి	0
5	సీతాఫలం	కాలిబాట	0
6	వస్తువు	మొత్తం	1
7	కర్తవ్యము	పని	1
8	భావం	చేయటం	1
9	హోలికా	రాక్షసి	1
10	బెరడు	మిఠాయి	1
11	ముత్తైదువ	మార్గదర్శకం	0
12	తాడు	ఉచ్చు	1
13	ప్రజాసేవ	ఉపకారము	1
14	పని	దినచర్య	1
15	పంచేవాడు	దుప్పటి	0
16	అజీర్ణం	వ్యాకర్త	0
17	పూలు	జాజిపువ్వు	1
18	సదుపయోగం	ఉపయోగం	1
19	హత్య	సంహారము	1
20	స్థితి	స్నేహం	1
21	మండపం	యజ్ఞమండపం	1
22	రంధ్రము	భాగం	1
23	అతిశయోక్తి	మానవజాతి	0
24	ఆటవస్తువులు	గ్రంథాలయము	0
25	సంబంధం	సంబంధము	1
26	సున్న	లక్ష్మణ	0
27	కూటమి	సూచన	0
28	ఏకత్వం	ఓడ	0
29	సుంకం	తాంత్రికుడు	0
30	పునరుధ్ధరణ	దాద్రా	0
31	సంకోచం	తొమ్మిది	0
32	సంక్రమణ	పట్టువస్త్రం	0
33	పొట్లం	పాత్ర	1
34	మారుపేరు	దెబ్బలాడుకోవడం	0
35	అలియాస్	అధ్యాయం	0
36	రబ్బరు	నామకరణము	0
37	ఉత్తరాషాడ	నక్షత్రం	1
38	గాండీవం	లోదుస్తులు	0
39	వలస	నివాసి	1
40	తాంత్రికుడు	బండి	0
41	నల్లకలువ	కలువ	1
42	జూదము	ఆస్తి	1
43	అంబారి	సాంప్రదాయాలు	0
44	వియ్యంకులు	దగ్గు	0
45	చింతపండు	రెండింతలు	0
46	మురికి	పదార్ధం	1
47	వ్యర్థ	శ్రేణి	0
48	కొలత	చుట్టుకొలత	1
49	కూటమి	ఉష్ణము	0
50	ప్రతిరూపం	నకలు	1
51	నియమం	శాస్త్రవేత్త	0
52	చిలుక	పక్షి	1
53	చంద్రవంశం	మలాశయం	0
54	మాదకద్రవ్యం	మత్తుపదార్థాలు	1
55	గౌరవించేవాడు	నిస్సహాయులు	0
56	కన్య	తలపాగ	0
57	స్థితి	పారదర్శకత	1
58	ఘటణ	ఆశ్చర్యం	1
59	ఏకాధిపత్యము	భ్రమ	0
60	సంబంధము	స్నేహం	1
61	కళాకారులు	వాద్యకారుడు	1
62	విత్తనము	పూస	1
63	సమానత్వం	దిబ్బరొట్టె	0
64	చిక్కం	ఖాతా	0
65	మట్టిపాత్ర	వ్యర్థపదార్థాలు	0
66	చద్దన్నం	భోజనం	1
67	దృతరాష్ట్రుడు	గైడ్	0
68	గౌరవం	స్వాగతం	1
69	పని	హామీ	1
70	జరుగుబాటు	కక్ష్య	0
71	చీమ	రాజకీయపార్టీ	0
72	మంచిఆలోచన	సమృద్ధి	0
73	ఆందోళన	అశాంతి	1
74	వ్యక్తి	రోగి	1
75	భాగం	కొంచెం	1
76	అంగడి	మాండ	0
77	న్యాయవాది	ఏనుగు	0
78	ఆస్తి	నజరానా	1
79	తోట	న్యాయవాది	0
80	ఆటవస్తువులు	వికెట్	1
81	సహాయకమంత్రి	జిరాఫీ	0
82	పిచ్చికుక్క	ఆలోచన	0
83	పరాయి	నవారు	0
84	రసాయనం	మందు	1
85	కన్యారాశి	రాశి	1
86	ప్రసాదం	మహాప్రసాదం	1
87	నారికురుపు	రోగం	1
88	వెల్లుల్లి	తిరగమాత	0
89	నమాజు	ప్రార్ధన	1
90	పని	తపస్సు	1
91	వరమివ్వడం	పూర్తిచేయడం	0
92	కొక్కి	మామగారిల్లు	0
93	పొదలు	స్రావము	0
94	పెళ్ళి	పునర్వివాహము	1
95	మకరరాశి	బీరకాయ	0
96	ఉపాయం	ఎనిమా	0
97	సామాగ్రి	సామాను	1
98	ఆహా	శబ్దం	1
99	జీవి	వస్తువు	1
100	అలంకారం	శ్రద్ధ	0
101	కల్పితం	గుంటక	0
102	గొడ్డలి	నాయకత్వం	0
103	బర్రా	మొక్క	1
104	ఖాన్	అర్ధరాత్రి	0
105	అజీర్ణం	అకాలం	0
106	మిట్టీ	పూస	0
107	సొరకాయ	స్వాహా	0
108	అకశేరుకాలు	ఆవం	0
109	రసము	రామాయణం	0
110	మొన్న	పగలు	1
111	గంధర్వులు	దృతరాష్ట్రుడు	1
112	సూర్యవంశం	సమన్వయం	0
113	మోసగాడు	దొంగ	1
114	పొందుట	వాలీబాల్	0
115	ఘర్షణ	ఖాతాదారుడు	0
116	ఆందోళనము	విరోచనం	0
117	దీర్ఘశ్వాస	తళుకుబెళుకులు	0
118	వంటమనిషి	ఉద్యోగస్తుడు	1
119	ముల్లంగి	దుంపలు	1
120	జరి	బైసాఖీ	0
121	జ్యోతిష్యం	పాండిత్యం	0
122	కాక్	ఆటవస్తువులు	1
123	ముప్పై	శ్రవణం	0
124	పితామహుడు	వ్యక్తి	1
125	కొలబద్ద	సాంబారు	0
126	రోజు	దినము	1
127	అగ్ని	చితాభస్మం	1
128	పరీక్ష	గనికార్మికులు	0
129	ప్రయత్నం	ఆందోళన	1
130	జూన్	సమయము	1
131	ఖాతాదారుడు	వ్యంగ్యం	0
132	పని	నిరంకుశత్వం	1
133	భావం	ధ్యాస	1
134	రాజు	గవర్నర్	1
135	చతుర్ధశి	వినాయకచవితి	1
136	ప్రకటన	దండోర	1
137	అమ్మమ్మ	లోపం	0
138	కుండ	విధేయుడు	0
139	అధ్యాత్మికత	బజారు	0
140	పదార్ధం	పిడికెడు	1
141	మాట	వ్యంగ్యము	1
142	జడ్జి	కైకేయి	0
143	సోమవారం	దినము	1
144	పుస్తకం	సేకరణ	1
145	క్రికెట్	ఆట	1
146	చెట్టు	మిఠాయి	1
147	రంపం	హామీ	0
148	టై	భీమా	0
149	బోద	ఆదిమానవుడు	0
150	సమన్వయకర్త	మహాశయులు	0
151	విద్యాబోధన	కోచింగ్	1
152	మాట	ఆటంకం	1
153	వ్యాసార్థం	నిర్ణయము	1
154	పరిశ్రమ	పాములు	0
155	ఆకృతి	చేష్టలు	1
156	పరిస్థితి	సందర్భం	1
157	ప్రసంగం	సోమావతి	0
158	తయారుచేయు	శిక్షణ	0
159	అంచులు	నర్తకి	0
160	బర్ఫీ	మిఠాయి	1
161	ఆశక్తి	అసక్తి	1
162	గారు	శబ్దం	1
163	ఆర్యజాతి	నిజాయితీ	0
164	కిర్రుమనడం	స్తనం	0
165	నూరడం	పని	1
166	వింత	వస్తువు	1
167	పాత్ర	జగ్గు	1
168	బంట్రోతు	సెలయేరు	0
169	ఉరుసు	వెలిగించడం	0
170	ప్రాకృతము	రెచ్చగొట్టు	0
171	గజం	కొలత	1
172	ఘటణ	స్వానుభవం	1
173	మొక్క	బెండకాయ	1
174	సామాన్లు	వస్తువు	1
175	ఆస్తి	అక్రమార్జన	1
176	స్వభావం	పని	1
177	శరీరభాగాలు	బుగ్గ	1
178	హాజరు	తేది	0
179	రసికత	మనోభావన	1
180	దుబాసి	పదవి	0
181	అమావాస్య	సోమావతి	1
182	భక్తురాలు	జమ్మిచెట్టు	0
183	భిన్నత్వం	మామ	0
184	కురూపిని	మహిళ	1
185	పెళ్ళికానుక	నగలు	1
186	కరుణరసం	మామ	0
187	నవరాత్రులు	రోజు	1
188	విశ్రాంతి	అనుభవం	1
189	గీత	నిర్మాణం	0
190	పర్యవేక్షకుడు	ఎడమచేయి	0
191	యాభైఎనిమిది	వస్తువులు	0
192	స్వాగతం	గౌరవం	1
193	చొక్కా	తప్పులెన్నడం	0
194	మంచిచెడ్డలు	పట్టు	0
195	చెడుపని	బాలుడు	0
196	ఖరీఫ్	దివాన్	0
197	యుగము	హిమయుగం	1
198	నౌకాదళాధ్యక్షుడు	మృగశిర	0
199	తువ్వాలు	టవలు	1
200	సంతోషము	ఝాన్సీ	0
201	కమ్మరి	త్రికాస్థి	0
202	జంతువు	పోటీదారుడు	1
203	బుట్ట	పాత్ర	1
204	అసమంజసం	వ్యాఖ్యాత	0
205	అవయవం	మేయర్	0
206	విప్పచెట్టు	పిండకోశం	0
207	శ్లోకం	పాట	1
208	శ్రేష్టం	వర్గం	1
209	వ్యాయామం	శిల్పశాస్త్రం	0
210	ఆకృతి	పూరీ	0
211	భారం	స్థితి	1
212	చక్రవర్తి	వ్యక్తి	1
213	చక్రవడ్డీ	తోకచుక్క	0
214	దేవుడు	శని	1
215	దోచుకోవడం	పని	1
216	మంచు	పదార్ధం	1
217	మేనల్లుడు	వ్యాయామం	0
218	పని	నిరీక్షణ	1
219	సిపాయి	వ్యక్తి	1
220	యమలోకం	వినాయకుడు	0
221	కుక్కగొడుగు	విశేషమైన	0
222	వంట	కజ్జికాయ	1
223	ట్రాక్టరు	జైనమందిరం	0
224	పుల్కా	పూరీ	1
225	వినిమయం	ద్రవ్యమార్పిడి	1
226	పులావ్	భోజనం	1
227	తాళపుచెవి	ఆయుధం	1
228	మంత్రశాస్త్రం	ఆయుధము	1
229	కవ్వం	ఆయుధం	1
230	సులభము	స్థితి	1
231	కొమ్ము	స్వభావం	0
232	నీటిపక్షి	కొంగ	1
233	సృష్టించడం	రాజ్యం	0
234	విశ్లేషణ	రాజకుమారి	0
235	సర్కసు	ధనవంతుడు	0
236	స్థితి	చావు	1
237	మంచిలక్షణం	చిహ్నం	1
238	సామ్రాజ్యం	పొదరిల్లు	0
239	ద్రాక్షరసం	ఆహారపదార్థం	1
240	చెవి	జ్ఞానేంద్రియం	1
241	మందాకినీ	లయ	0
242	సవాల్	దుర్గ	0
243	ఊయల	బీహార్	0
244	సంస్కరణ	భౌతికత	0
245	బిల్లు	ప్రస్తావన	1
246	క్యాచ్	సుంకం	0
247	బంధువు	తాత	1
248	క్లబ్	వీడ్కోలు	0
249	పశువు	ఆబోతు	1
250	నాయకుడు	పత్తి	0
251	మూలిక	బేసిన్	0
252	కొలత	మణువు	1
253	దివాన్	బల్ల	1
254	అపవాదం	కజల్	0
255	నిస్వార్థం	జట్కాబండి	0
256	స్పష్టత	వ్యాఖ్యానం	1
257	చిన్నగది	కాలిఫ్లవర్	0
258	దుష్టులు	చెడ్డవాడు	1
259	తమలపాకు	అందము	0
