index	word_a	word_b	label
0	कमलगट्टा	बीज	1
1	उतरवाई	मजदूरी	1
2	भुजाली	बरछी	1
3	अर्थालंकार	असम	1
4	नोट	बजाज	0
5	निष्कासन	वायु	0
6	ततैया	अबला	0
7	क्षेत्र	बीहड़	1
8	शहर	चन्डेल	1
9	हाँका	शुक्र	0
10	व्यंजन	सांभर	1
11	दस्युता	हेंगा	0
12	नवयुवक	चूला	0
13	रोग	भगंदर	1
14	घड़ियाल	रेत	0
15	मृगी	रोमांचकता	0
16	मणिपुरी	निवासी	1
17	अयोग्यता	लक्षण	1
18	उपभोक्ता	व्यक्ति	1
19	रिफ्रैक्टरी	सूबा	0
20	औषध	गोली	1
21	वानप्रस्थी	व्यक्ति	1
22	इंद्रपुरी	धूले	0
23	चम्मच	मान	1
24	विदाई	प्रेषण	1
25	कुलतारण	प्रशासन	0
26	शिल्पी	नील	1
27	बिछाना	नामक्कल	0
28	पदार्थ	ठोस	1
29	करीमनगर	स्टम्प	0
30	उत्तराषाढ़ा	नक्षत्र	1
31	याउंडे	राजधानी	1
32	जैनी	कमंडल	0
33	निवाड़ा	कामोद	0
34	द्वीप	जावा	1
35	जीवविज्ञानी	डुबकी	0
36	सिद्धांत	गाँधीवाद	1
37	थिंपू	मात्रा	0
38	अल्लाह	ईश्वर	1
39	संगठक	जूपिटर	0
40	हत्या	ककहरा	0
41	सिक्का	मुद्रा	1
42	बदला	दुस्साहस	0
43	आत्महत्या	मऊ	0
44	विश्वकोश	बृहत्संहिता	1
45	चाँदनी	एकताल	0
46	मालाबो	सुप्रतीक	0
47	समीक्षक	छुट्टी	0
48	अग्रदूत	सामंतवादी	0
49	महासमुंद	पदचाप	0
50	लड्डू	वस्तु	1
51	मूल्य	माफ़ी	0
52	ऊतक	एधा	1
53	चालक	व्यक्ति	1
54	नाट्यशाला	टैन	0
55	शहर	महोबा	1
56	सुलोचन	स्तर	0
57	गश्त	कचालू	0
58	ठंड	पाला	1
59	चुड़ैल	क़ब्रिस्तान	0
60	स्पष्टीकरण	तृप्ति	0
61	हल	अस्त्र	1
62	वनराज	आम	1
63	हिंगोट	पेड़	1
64	कन्नड़	निवासी	1
65	उद्धारक	उपाय	0
66	कश्यप	कला	0
67	रागिनी	चित्रा	1
68	फूल	जूही	1
69	कुसुम	गद्य	1
70	नात्ज़ी	जेहाद	0
71	अरिष्ट	उत्पात	1
72	मुखिया	सेनापति	1
73	महिला	महेरी	1
74	उपाध्यक्ष	येन	0
75	नारदपुराण	त्र	0
76	दक्षिण	टाँड़	0
77	सुखासन	आसन	1
78	क्रिया	अकड़	1
79	अनाक्रमण	धर्मवीर	0
80	यात्रा	सवारी	1
81	क्रिया	सम्मोहन	1
82	रूस	देश	1
83	सड़न	अठहत्तर	0
84	मलिनता	अवस्था	1
85	बबून	बंदर	1
86	गंधर्वी	मनोरमा	1
87	नूरजहाँ	रानी	1
88	केलाइडोस्कोप	जुताई	0
89	त्रिगुण	सतोगुण	1
90	ओसर	गणित	0
91	फिरोजाबाद	एरिट्रियाई	0
92	फुलकारी	कपड़ा	1
93	अगति	तानसेन	0
94	ठेकेदारी	रेत	0
95	कण	भाग	1
96	अधिकारी	कुलपति	1
97	गीत	चौताल	1
98	संदंश	विवाहित	0
99	हरि	चानक	0
100	अनुरक्षक	अनुपम	0
101	अवस्था	चमक	1
102	आच्छद	चाँद	0
103	डॉक्टरेट	उपाधि	1
104	निर्देशिका	जीवनी	0
105	विषय	अंग्रेजी	1
106	व्यक्ति	अनुकूल	1
107	महिला	जेठानी	1
108	विद्रोह	राजद्रोह	1
109	शतरंज	खेलकूद	1
110	अप्सरा	सुबाहु	1
111	हैमबर्ग	शहर	1
112	कुलक्षणी	तोषण	0
113	पात्र	शमादान	1
114	स्पंज	निर्देशिका	0
115	पद	दीवानी	1
116	तर्री	भंडार	0
117	विकिरण	दीर्घकाल	0
118	पोशाक	खिलअत	1
119	छत्रपुर	रीफ	0
