index	word_a	word_b	label
0	సమర్థించేవాడు	పరివర్తనావాది	1
1	యూరోపియాదేశాలు	ఫిరంగ్‍దేశం	1
2	ఘీంకరించు	నెమలికేక	1
3	కన్లకనికలు	కంటిరోగం	1
4	అప్రయత్నక్రియ	పుల్లదనం	1
5	ధార్మికకర్మలు	పదమూడవరోజు	1
6	పంటెకోల	నేతపనిముట్లు	1
7	ఏనుగుసాంకెళ్లు	పెద్దమోకు	1
8	పూలగంజాయి	గంజాయిచెట్టు	1
9	చూరుమూల	పొట్టుగూడు	1
10	శబ్ధకోశం	విజ్ఞానసర్వస్వము	1
11	పుష్పభాగం	జవాహ	1
12	చెవిఆభరణం	కర్ణకుండలం	1
13	శుక్రనాశరోగం	వీర్యనష్ట్యవ్యాధి	1
14	కుష్ఠివ్యాధి	కుష్ఠిరోగం	1
15	దివాళాతీసినవాడు	దుఃఖస్థితి	1
16	బాణపుమొన	నాగటికర్రు	1
17	చతురస్త్రాకారపుగిన్నె	చిన్నపళ్ళెం	1
18	సాగుచేయనినేల	బీడుభూమి	1
19	బంధనము	స్నేహసూత్రం	1
20	పుష్పభాగం	పూరేకు	1
21	మిశ్రరాగం	కేదారనటరాగం	1
22	దవీకర్మ	సకర్మకక్రియ	1
23	కేదారనటరాగం	మిశ్రరాగం	1
24	కాటుకభరణి	కాటుకడబ్బా	1
25	దూదిఏకడం	దూదేకువిల్లు	1
26	మిశ్రమపదార్థం	క్షారం	1
27	తితార	తంతివాయిద్యం	1
28	ఢంక	మృదంగవాద్యం	1
29	మిశ్రరాగం	శ్యామపూరబి	1
30	ఘీంకరించు	మొరుగుట	1
31	చిన్నబలెం	కావర్	1
32	గోమారు	గోమారి	1
33	పండ్లుతోముపుల్ల	చెట్టుభాగం	1
34	ఎమనకళ్యాణరాగం	మిశ్రరాగం	1
35	శరీరవెలుపలిభాగము	ఎద్దుమూపరము	1
36	సమన్వయవాదులు	సమర్థించేవాడు	1
37	శబ్ధతంత్రం	శబ్ధకోశం	1
38	కాశ్మీరీకుండలాలు	కర్ణకుండలం	1
39	మినపగారె	బఫౌరీ	1
40	కచౌడీ	చకోడీలు	1
41	బీడుభూమి	సాగుచేయనినేల	1
42	దూదేకువిల్లు	దూదిఏకడం	1
43	క్షారం	మిశ్రమపదార్థం	1
44	కాలప్రమేహరోగం	వీర్యనష్ట్యవ్యాధి	1
45	కకహీజాతి	పత్తిచెట్టు	1
46	జమాబంధీపుస్తకం	రహస్యచిట్టా	1
47	ఊహాప్రాణి	నీటిమనిషి	1
48	మహరీ	సంభోధించుట	1
49	చుంచుఎలుక	గర్భజీవి	1
50	సమర్థించేవాడు	వామపక్షుడు	1
51	పాలిచ్చుజంతువు	గర్భజీవి	1
52	పుప్పొడిరేణువులు	పుష్పభాగం	1
53	తంతివాయిద్యం	ఇసరాజ్	1
54	మినపగారె	పెసరవడియం	1
55	ఎద్దులబండియాత్ర	శంకరతాళం	1
56	లంగోట	లంగోటీ	1
57	అకృతి	శంకాకారం	1
58	సోరఠమల్హారరాగం	మిశ్రరాగం	1
59	పనసికా	చిన్నపుండు	1
60	వాద్యయంత్రములు	తంతివాయిద్యం	1
61	వడ్డించుట	పంచుట	1
62	కర్రగిన్నె	చిన్నగిన్నె	1
63	రెనెడియార్	పాలిచ్చుజంతువు	1
64	చెట్టుభాగం	మొక్కజొన్నగడ్డి	1
65	తోలుసంచి	తోలుతిత్తి	1
66	కుండవాయిద్యం	వాద్యయంత్రములు	1
67	సంభోధించుట	మహరీ	1
68	కాగితపుముక్క	మందులచీటి	1
69	కంటిరోగం	ఢలకే	1
70	ఉపమానాలంకారం	సంశయోపామాలంకారం	1
71	మిశ్రరాగం	గౌడనటరాగం	1
72	మహాసూత్	వాద్యయంత్రములు	1
73	తిలమాపట్టి	పత్తిచెట్టు	1
