index	word_a	word_b	label
0	अपह्नुति	छेकापह्नुति	1
1	गँडासी	गँडासा	1
2	छिटाका	मुँगरी	1
3	ऐन्टीलोप	रोमंथक	1
4	छेकापह्नुति	अपह्नुति	1
5	पेरैया	पैंड़िया	1
6	अफ़ताबा	तमहा	1
7	नेत्रांजन	तित्तिरीक	1
8	अमान्यकरण	सतिवन	1
9	डेढ़खम्मन	रुखानी	1
10	गुड़ंमा	इन्द्रचारुणी	1
11	तमहा	अफ़ताबा	1
12	नरवाह	झँपान	1
13	जोड़ुआ	पदाभूषण	1
14	ऊँटगाड़ी	जोतगाड़ी	1
15	निग्रहस्थान	अपार्थक	1
16	हस्ताभूषण	पछेली	1
17	आफ़ताबा	तमहा	1
18	हस्ताभूषण	बहुटनी	1
19	हस्ताभूषण	बहुँटा	1
20	तसमा	करबूस	1
21	नेत्रांजन	सदंजन	1
22	वस्त्रावरण	आच्छाद	1
23	नौदौलत	नौबढ़	1
24	बेगड़ी	हीरातराश	1
25	दंडकवृत्त	रूपघनाक्षरी	1
26	मुरगाबी	केर्रा	1
27	बेलदारिन	मज़दूरनी	1
28	दूतिका	उत्तमादूती	1
29	प्रतिमंडक	शालकराग	1
30	तारकश	कंदलाकश	1
31	चौदाँत	﻿युद्ध	1
32	नौबढ़	नौदौलत	1
33	सँड़सी	सँड़सा	1
34	झँपान	नरवाह	1
35	रोमंथक	ऐन्टीलोप	1
36	दंडकवृत्त	कुसुमस्तवक	1
37	उगाल	सीठी	1
38	हस्ताभूषण	बँहुटा	1
39	परीबंद	हस्ताभूषण	1
40	भियाकुरो	सतभैया	1
41	आच्छाद	तिल्हरी	1
42	पदाभूषण	पगपान	1
43	कुसुमस्तवक	दंडकवृत्त	1
44	उत्तमादूती	दूतिका	1
45	बनुरिया	हस्ताभूषण	1
46	अर्थांतर	निग्रहस्थान	1
47	ग्वालककड़ी	चिचड़ा	1
48	गुड़ियल	कौड़िल्ला	1
49	मज़दूरनी	बेलदारिन	1
50	भैरवांजन	नेत्रांजन	1
51	कुड़कुड़ाहट	अंत्रकूजन	1
52	तिल्हरी	आच्छाद	1
53	गिलायु	कंठरोग	1
54	अभिज्ञातार्थ	निग्रहस्थान	1
55	﻿युद्ध	चौदाँत	1
56	पदाभूषण	साँकड़ा	1
57	निग्रहस्थान	अप्राप्तकाल	1
58	बेहनौर	बियाड़	1
59	उबसन	मँजना	1
60	रुखानी	डेढ़खम्मन	1
61	परिष्टोम	गजगाह	1
62	नादिरी	फ़तुही	1
63	फुँकनी	अँगुसी	1
64	अंत्रकूजन	कुड़कुड़ाहट	1
65	परीछम	पदाभूषण	1
66	सदंजन	नेत्रांजन	1
67	डँड़हरी	डँड़हरा	1
68	घिर्नी	टाँकली	1
69	हस्ताभूषण	मुतेहरा	1
70	काँजी	तुषांबु	1
71	झबिया	हस्ताभूषण	1
72	नेत्रांजन	भैरवांजन	1
73	दंडकवृत्त	आख्यानकी	1
74	मुँगरी	छिटाका	1
75	रूपघनाक्षरी	दंडकवृत्त	1
76	पुष्पांजन	नेत्रांजन	1
77	अशोकपुष्पमंजरी	दंडकवृत्त	1
78	मुद्रणयंत्र	जाबप्रेस	1
79	खुमी	भुइँफोड़	1
80	सीठी	उगाल	1
81	शालकराग	बनड़ाजैत	1
82	पदाभूषण	अंघड़ा	1
83	लापिका	बहिर्लापिका	1
84	तसमा	दुमची	1
85	हस्ताभूषण	पतुला	1
86	अपार्थक	निग्रहस्थान	1
87	साँवती	झँझरी	1
88	आच्छाद	वस्त्रावरण	1
89	अंतर्लापिका	लापिका	1
90	बनड़ादेवगरी	शालकराग	1
91	कजलौटा	कजलौटी	1
92	आख्यानकी	दंडकवृत्त	1
93	बियाड़	बेहनौर	1
94	बँहुटा	हस्ताभूषण	1
95	इन्द्रचारुणी	गुड़ंमा	1
96	चटोरपन	कुव्यसन	1
97	साँकड़ा	पदाभूषण	1
98	गोड़संकर	पदाभूषण	1
99	गोड़हरा	पदाभूषण	1
100	गँडासा	गँडासी	1
101	प्रतिज्ञांतर	निग्रहस्थान	1
102	हेत्वंतर	निग्रहस्थान	1
103	अस्थिसंचय	अवचय	1
104	कलछा	कफ़गीर	1
105	शालकराग	बनड़ादेवगरी	1
106	पछेली	हस्ताभूषण	1
107	मीनक	नेत्रांजन	1
108	पदाभूषण	परीछम	1
109	दंडकवृत्त	अशोकपुष्पमंजरी	1
110	फणिचक्र	नाड़ीचक्र	1
111	हस्ताभूषण	परीबंद	1
112	जाँघिल	महाबक	1
113	भुइँफोड़	खुमी	1
114	निग्रहस्थान	प्रतिज्ञांतर	1
115	निग्रहस्थान	अभिज्ञातार्थ	1
116	अवज्ञातार्थ	निग्रहस्थान	1
117	होमकाष्ठी	फुँकनी	1
118	पैंड़िया	पेरैया	1
119	कजलौटी	कजलौटा	1
120	चिचड़ा	ग्वालककड़ी	1
121	मुखमाधुर्य	मुखरोग	1
122	पतुला	हस्ताभूषण	1
123	पहुन्नी	पच्चड़	1
124	खटपूरा	मुँगरी	1
125	पोआ	सँपोला	1
