index	word_a	word_b	label
0	వ్యాసము	ముక్కుతాడు	0
1	పరాన్నజీవిమొక్క	భౌతికత	0
2	గోర్లుకొరుక్కునేవాడు	వ్యక్తి	1
3	భూతద్దం	విజ్ఞానసాధనాలు	1
4	బ్రహ్మముహూర్తం	కాల్చినముద్ర	0
5	పశువు	పులి	1
6	ఉపసమితి	ఎత్తైనఒడ్డు	0
7	స్థితి	సంపూర్ణత	1
8	కరిగుట	అధ్యక్ష్యత	0
9	చెట్టుభాగం	చెట్టుతొర్ర	1
10	ప్రేమికుడు	చక్కెరపొంగలి	0
11	నటీ	మహిళ	1
12	అదృష్టం	సిద్థాంతం	1
13	దుష్టస్వభావం	చెడ్డవాడు	1
14	అగన్	గానపక్షి	1
15	పిపరాహి	కాలర్	0
16	భజంత్రీ	సహాయమంత్రి	0
17	కొండ	నడివయస్సు	0
18	పవిత్రస్థానం	పూజగది	1
19	యుగము	ఋగ్వేదం	0
20	ఆటబొమ్మ	చెక్కబొమ్మ	1
21	వైద్యురాలు	ఉసిరికాయ	0
22	నిట్టూర్పు	కష్టం	1
23	కావ్యం	చాలీసా	1
24	స్థితి	జడత్వం	1
25	విత్తనం	టెంక	1
26	పకోడా	బజ్జీలు	1
27	చాకలామె	మహిళ	1
28	సంక్షిప్తపదం	ఋతుపవనాలు	0
29	షిల్లాంగు	నాణెం	1
30	నకిలీవస్తువు	బాయా	0
31	శ్రామికుడు	కార్మికులు	1
32	అబ్బాయిలు	వక్త	0
33	నాలుగుచక్రాలబండి	గుర్రపుబండి	1
34	రచన	అష్టాధికారి	0
35	ఖండం	భూభాగము	1
36	పాత్ర	ఉమ్మిపాత్ర	1
37	సైన్యం	మిలటరీ	1
38	ఊహించటం	మూర్ఖులు	0
39	అంకగణితం	షేర్‍బజార్	0
40	వస్తువు	సాధనాలు	1
41	విడిదిల్లు	దవీకర్మ	0
42	హామీ	చిన్నజెండా	0
43	ఏకాదశి	త్రిస్పృశఏకాదశి	1
44	సంప్రదాయము	నిర్ణయము	1
45	పని	పునరుధ్ధరణ	1
46	దృష్టిభ్రమ	భ్రమ	1
47	మంట	పరలోకగతి	0
48	రోగం	జలోదరం	1
49	ముప్ఫైనాలుగు	ఉన్నది	0
50	వ్యాజ్యపురికార్డు	గచ్చునేల	0
51	ప్రవేశం	ప్రదక్షిణమార్గం	0
52	జంతువు	అనుకర్త	1
53	చలనం	నిరంతరం	1
54	రేణువు	వింత	0
55	రాష్ట్రవాదము	సిద్థాంతం	1
56	జనసేవకుడు	కార్యకర్త	1
57	పద్థతి	జీవనచక్రం	1
58	పెరుగు	ఎర్రరక్తకణాలు	0
59	మాసికవేయువాడు	నిపుణుడు	1
60	పురుగు	పెంకుపురుగు	1
61	కృతజ్ఞత	ఉపవేదం	0
62	వననిర్మూలన	దుస్సాహసము	0
63	సామ్యవాదం	ముద్దు	0
64	కళ	కొయ్యపని	1
65	విదుర	క్రీడామైదానం	0
66	తీగ	పొట్లకాయచెట్టు	1
67	సగభాగం	ఏనుగుసాంకెళ్లు	0
68	నెలవేతనం	హిజ్రా	0
69	మిశ్రరాగం	గాంధారరాగం	1
70	శుక్లం	ఫలాహారము	0
71	ఓటరు	ఓటరు	1
72	పిండి	ఆహారపదార్థం	1
73	గొప్పఏర్పాట్లు	స్థితి	1
74	డబరా	వాపు	0
75	పంట	పంట	1
76	అడవికోడి	కఠినజలం	0
77	హాలు	చెంచా	0
78	ఉన్ని	దారం	1
79	పూర్వఅభ్యాసనం	అభ్యాసము	1
80	నియంత్రణ	శుభకార్యం	0
81	శక్తి	గ్రహణశక్తి	1
82	డిగ్రీస్	గీతావ్యాఖ్యానం	0
83	వేరుచేయటం	పని	1
84	రహస్యచిట్టా	టూకీగా	1
85	అత్తిపండుచెట్టు	ఇహలోకబంధాలున్నవాడు	0
86	ఆకర్షణ	కంజరీ	0
87	దిక్కు	గోల్కీపర్	0
88	దేవుడు	యమరాజు	1
89	ఖైదీ	రాజ్యద్రోహులు	1
90	చైనా	ఊదల్	0
91	అతానా	కట్టు	0
92	అగస్థ్యగీత	మిట్టీ	0
93	కుచేవాడు	నిపుణుడు	1
94	పశువు	ఆడగాడిద	1
95	కవి	తులసీదాస్	1
96	స్పర్శ	నిమురుట	1
97	మహజనీ	శరదపూర్ణిమ	0
98	ఆచారం	పూలతీగ	0
99	మాతంగవెదురు	పిల్లనగ్రోవి	1
100	పంచదార	పాకీస్త్రీ	0
101	యమదూత	అవకాశవాదం	0
102	చాటు	కామోద్రేకం	0
103	సామాను	నిప్పుకోడి	0
104	పొదలు	తీక్షణకంకరచెట్టు	1
105	రాగాలాపన	నిర్ణయము	1
106	పాత్ర	చిన్నగిన్నె	1
107	అధికారం	ఓటుహక్కు	1
108	రెండుముక్కలకత్తి	పండించడం	0
109	ధాన్యం	పేలాలు	1
110	ఆసనం	పద్దతి	1
111	సిద్ధులు	అనుభవించుట	0
112	జనవరి	తెలియచేయుట	0
113	మంచితనం	ఉపయోగము	1
114	యుద్ధవాధ్యం	కంఠశూలవ్యాధి	0
115	నిర్ణయం	పని	1
116	ముండ్లపందివెంట్రుక	గిట్టలకురుపు	0
117	మేలు	వ్యక్తి	1
118	నడివయస్సు	దద్దుర్లు	0
119	కళ్ళమూకడు	బాధనాడీ	0
120	దబ్బకాయ	తురుష్కులు	0
121	ఆచారం	కట్నం	1
122	కాసరతీగ	తీగ	1
123	హంస	రాజహంస	1
124	ఋతుధర్మం	మిల్లీగ్రాము	0
125	ఆయువు	పుత్రఘనీ	0
126	సిగ్గు	అభియోగియైన	0
127	ఉపాసన	విటమిన్లు	0
128	బంగారుగని	గని	1
129	హస్తపాముద్రికుడు	బూందీ	0
130	ఉత్తరాక్షంశం	అక్షాంశం	1
131	సమాజం	సంస్థ	1
132	తొమ్మిది	సంఖ్య	1
133	ఉత్తరీయం	దుస్తులు	1
134	స్నాతకోత్సవం	తల	0
135	విలాసమందిరము	మోటారుబోట్	0
136	త్రవ్వుకోల	గునపం	1
137	పని	నష్టం	1
138	మిడత	అనుభవించుట	0
139	తోకచుక్క	కొబ్బరి	0
140	లోభం	సాటిలేని	0
