index	word_a	word_b	label
0	முக்தாபாத்	புதர்	1
1	காது	அறியும்உறுப்பு	1
2	செடி	மிளகாய்செடி	1
3	கலைப்பொருள்கள்	கலவை	1
4	கலைப்பொருள்கள்	பூணூல்	1
5	எண்	எழுபத்திஎட்டு	1
6	லத்தி	தடி	1
7	விளையாட்டு	கபடி	1
8	மாம்பழம்	சுந்தரி	1
9	சுயமரியாதை	அகந்தை	1
10	உணவு	சாப்பாடு	1
11	மணிகர்ணிகா	காதணி	1
12	சூரியகாந்திப்பூ	பூ	1
13	பாராளுமன்றஉறுப்பினர்	உறுப்பினர்	1
14	உகவத்	தோல்நோய்	1
15	சந்தேகம்	நிலை	1
16	பாதுகாவலன்	பாதுகாவலர்	1
17	வாழைப்பழம்	பொன்வாழை	1
18	பக்தன்	மீராபாயி	1
19	ஆயுதம்	திவ்யாஸ்திரம்	1
20	கேலி	கிண்டல்	1
21	நாணயம்	நிசார்	1
22	நிலை	தெளிவின்மை	1
23	கொடி	மிளகுகொடி	1
24	சூளை	கலைப்பொருள்கள்	1
25	திராகி	குத்துவாள்	1
26	ஈத்	விழா	1
27	பத்யதிக்சாத்	சாறு	1
28	முனிவர்	துர்வாசர்	1
29	நாடிகா	ராகம்	1
30	கரேம்	புல்	1
31	சுவயங்பிரபா	அப்சரா	1
32	இறைவன்	துர்தேவதை	1
33	நரவாகனம்	டோலிசவாரி	1
34	நகரம்	மால்டா	1
35	நாற்பத்தைந்து	எண்	1
36	ஆசியநாடு	ஜார்ஜியா	1
37	புனிததலம்	ஸ்தூபி	1
38	பயன்பாடு	அனுபவித்தல்	1
39	தத்து	வேலை	1
40	உற்சாகமின்மை	மனநிலைமை	1
41	மூட்டு	முட்டி	1
42	ஏர்விடுதல்	வேலை	1
43	பர்புடா	தீவு	1
44	லிபென்ஸ்	மாம்பழம்	1
45	வித்தை	காட்சி	1
46	உடலின்செயல்	துள்ளிக்குதித்தல்	1
47	அலமாரி	கலைப்பொருள்கள்	1
48	பெரியநகரம்	பாரீஸ்	1
49	நிலை	அனுகூலம்	1
50	பொருள்	பரிசு???????????????????????	1
51	தண்டோரா	அறிவிப்பு	1
52	சத்தம்	துடித்தல்	1
53	முழுநிலவு	நிலவு	1
54	திபெத்	ஆசியநாடு	1
55	சிணுங்கல்	அரபிமொழி	1
56	கற்பனைப்பொருள்	நாகமணி	1
57	மீசை	முடிக்கற்றை	1
58	ஆயுதம்	கதவுசங்கிலி	1
59	பயங்காலி	மனிதன்	1
60	கற்பனை	மனச்செயல்	1
61	அஸ்ஸாமி	சொல்	1
62	மனிதன்	புத்திசாலி	1
63	புலாவ்	சாப்பாடு	1
64	லேக்	நாணயம்	1
65	குங்குமம்	அலங்காரப்பொருள்	1
66	மரியாதை	வணக்கம்	1
67	இருசரமாலை	மாலை	1
68	கூண்டு	மரக்கூண்டு	1
69	பாய்	சொல்	1
70	உணவுப்பொருட்கள்	குட்கா	1
71	நாமிபியன்	வசிப்பவர்	1
72	கலியுகம்	யுகம்	1
73	புலமைவாய்ந்த	மனநிலைமை	1
74	இனிப்பு	பாதுஷா	1
75	சமயம்	சீக்கியர்	1
76	புஜங்கா	பறவை	1
77	சொற்பொழிவு	நல்லசொற்பொழிவு	1
78	வலி	உணர்ச்சி	1
79	ருத்ராட்சம்	மரம்	1
80	பேசேடா	நாணயம்	1
81	சிவப்புகடல்	கடல்	1
82	ரசம்	அனுரஸ்	1
83	குலம்	தாழ்ந்தகுலம்	1
84	காரசேவு	உப்பு	1
85	நிலை	வரிசை	1
86	வியாபாரபத்திரம்	பயணச்சீட்டு	1
87	பொம்மை	கலைப்பொருள்கள்	1
88	கூலிக்காரி	பெண்	1
89	மத்யாசுரன்	ராட்சசர்	1
90	எண்	முப்பத்தெட்டு	1
91	சிகப்பு	முதன்மைவண்ணம்	1
92	சுரம்	அனுவாதி	1
93	அம்மை	பெரியம்மை	1
94	கூட்டம்	நகரம்	1
95	உயிர்நிலை	இதயம்	1
96	முத்தமிடல்	சத்தம்	1
97	மனிதன்	பரிசளிப்பவர்கள்	1
98	தன்னார்வலர்	தொண்டர்	1
99	நிலை	கொப்புளம்	1
100	பனடாதேவகரி	சாலக்ராகம்	1
101	புல்	லாமஜ்	1
102	முத்திரை	தளுக்குமினுக்கு	1
103	செல்	நியூட்ரான்	1
104	அழிவு	அழுகுதல்	1
105	அதீஸ்	செடி	1
106	அபிர்	திரவம்	1
107	வசிப்பவர்	சினேகல்வாசி	1
108	உறவினர்	மருமகன்	1
109	சீட்டு	வாழ்த்துமடல்	1
110	புகையிலை	போதைப்பொருள்	1
111	பந்தயம்	விளையாட்டு	1
112	உறுப்பு	செல்பகுதி	1
113	குடும்பம்	கூட்டம்	1
114	விதை	கடுக்காய்	1
115	கந்திலா	புல்	1
116	செயல்முறை	கரைதல்	1
117	அடிப்படை	பாகம்	1
118	அலங்காரம்	அலங்காரஜரிகை	1
119	புத்திரநாத்	துறவி	1
120	சந்திரகாந்தா	ராகம்	1
121	நத்தும்	தேக்குமரம்	1
122	டிரக்	சாலைஊர்தி	1
123	ஆசனம்	கலைப்பொருள்கள்	1
124	நட்சத்திரம்	பூசம்	1
125	நோய்	தோல்நோய்	1
126	செயலாளர்	தலைமைசெயலாளர்	1
127	காம்பியாவாசி	வசிப்பவர்	1
128	நீலம்	மாம்பழம்	1
129	மேல்ஹனா	படகு	1
130	செயல்	பயணம்	1
131	ஜெய்ப்பூர்	நகரம்	1
132	டங்கி	ராகம்	1
133	குடிமகன்	வசிப்பவர்	1
134	எழுத்து	இடையண்ணம்	1
135	வேலை	சாதனை	1
136	செயல்முறை	வரிசை	1
137	உண்ணும்பழம்	வெள்ளரிக்காய்	1
138	பல்வான்	புல்	1
139	பந்தல்காரர்	வேலைக்காரன்	1
140	கலைப்பொருள்கள்	கூரை	1
141	தாம்பூலம்	இலை	1
142	டங்கி	முயற்சி	1
143	பயணச்சீட்டு	வியாபாரபத்திரம்	1
144	சாதனம்	செய்யுள்பகுதி	1
145	நரபிசாசு	கெட்ட	1
146	பேல்கரா	பாத்திரம்	1
147	விஷஉணவு	சாப்பாடு	1
148	தீவு	கீரீன்லாந்து	1
149	எண்	பதினொன்று	1
150	சோதனை	உறுதிமொழி	1
151	பிச்சைக்காரன்	கைத்தட்டல்	1
152	கட்டு	சிகிச்சை	1
153	எலும்பு	கபாலம்	1
154	சத்தம்	நிலை	1
155	கங்கணம்	கலைப்பொருள்கள்	1
156	பகுதி	நடுச்சாமம்	1
157	நாணயம்	மனநிலைமை	1
158	நரகம்	ரேத்குண்ட்	1
159	செயல்	கொதிநிலை	1
160	பறவை	பாபுனா	1
161	நிலை	மதவெறியன்	1
162	பீகார்வாசி	வசிப்பவர்	1
163	உண்மைக்கதை	கதை	1
164	தீண்டாமை	கெட்டகுணம்	1
165	விரைவானநெடுஞ்சாலை	பாதை	1
166	வேலை	பிடுங்கல்	1
167	கிழங்கு	கருணைக்கிழங்கு	1
168	வேலை	நகைச்சுவை	1
169	உண்மைநிலை	கணக்கு	1
170	மனோபாவம்	விருப்பமில்லாத	1
171	துதிக்கை	மூக்கு	1
172	இயந்திரம்	நெருப்பு	1
173	நாடகம்	துக்கநாடகம்	1
174	இடம்	சபை	1
175	ரவாண்டா	ஆப்பிரிக்கா	1
176	பூந்தி	இனிப்பு	1
177	நாய்	புல்டாக்	1
178	மனோபாவம்	பக்தி	1
179	இடையண்ணம்	எழுத்து	1
180	பயிற்சி	ராணுவபயிற்சி	1
181	அழுக்கு	கசடு	1
182	இயற்கை	ஞானம்	1
183	கொரியர்	வசிப்பவர்	1
184	ராகம்	கேதாரி	1
185	மக்கள்	மக்கள்தொகை	1
186	மல்லிக்	அன்னப்பறவை	1
187	பருவநிலையியல்	அறிவியல்	1
188	செடி	கொண்டைக்கடலை	1
189	சம்பந்தம்	உறவு	1
190	கருப்பு	கூட்டம்	1
191	சங்கம்	சமூகஏற்பாடு	1
192	துணைப்பகுதி	பகுதி	1
193	வேலை	அளத்தல்	1
194	புரோட்டீன்	பொருள்	1
195	பால்பாயசம்	பகீர்	1
196	சிற்பி	நளன்	1
197	எழுத்து	வரி	1
198	எண்	பேக்டர்ஸ்	1
199	மனிதன்	நல்லசிந்தனையுடைய	1
200	ராட்சசர்	விருஷ்பர்வா	1
201	ஊக்குவித்தல்	மனோபாவம்	1
202	லோகியா	காளை	1
203	ராகம்	நகினிகா	1
204	மீன்	நீமச்	1
205	வேலை	சினம்	1
206	திருண்கௌர்	புல்	1
207	நகரம்	பாந்தா	1
208	கவி	ரஸ்கான்	1
209	ஆயுதம்	தடிக்கழி	1
210	அபரிகிரஹ்	கட்டுப்படுத்துதல்	1
211	கச்கேளா	வாழைப்பழம்	1
212	குணம்	அழைத்தல்	1
213	அறிவாளி	பெண்வித்வான்	1
214	மாநாடு	திருவிழா	1
215	துணி	பெண்களின்மேலாடை	1
216	சிலியன்	வசிப்பவர்	1
217	காலகட்டம்	வேலை	1
218	சகுந்த்	பூச்சி	1
219	மாநிலம்	ஹரியானா	1
220	த்வஜ்கிரிவன்	ராட்சசர்	1
221	மெல்லியவட்டத்தட்டு	ட்ரே	1
222	இடம்	மேடையின்பின்புறம்	1
223	எவரெஸ்ட்	மலைஉச்சி	1
224	சுவீகாரமகன்	மனிதன்	1
225	கோடாரி	ஆயுதம்	1
226	கடுக்காய்	உண்ணும்பழம்	1
227	சுத்தம்	சிறப்பு	1
228	போரான்	மூலப்பொருள்	1
229	சகோதரிஉணர்வு	உறவு	1
230	கொள்கை	நாத்திக்கவாதம்	1
231	துப்புரவு	கூலி	1
232	மரம்	ராவ்	1
233	தானம்	பொருள்	1
234	அறிவியல்	மனோதத்துவம்	1
235	கற்பனை	அனுமானம்	1
236	விதை	தாவரவகை	1
237	அப்சரா	புஞ்சிகஸ்தலி	1
238	திறப்புவிழா	மர்மம்	1
239	சொற்பொழிவு	கூற்று	1
240	டங்க்சரி	வீணை	1
241	தரகர்	மனிதன்	1
242	உறுப்பினர்	மேடை	1
243	காசிக்கட்டி	மரம்	1
244	ஒருவகைபருப்பு	பருப்பு	1
245	பங்குதாரர்	மனிதன்	1
246	காலாசாகர்	கடல்	1
247	மோனை	சொல்லணி	1
248	எழுத்து	மூக்கொலி	1
