index	word	definition	label
0	కాచువన్నెగల	లేత ఇత్తడి రంగు	1
1	వస్తుపన్ను	భూమి శిస్తు  డబ్బు రూపంలో  కాకుండా వస్తు రూపంలో విధించే  పన్ను	1
2	నాశకుడు	అంతం చేసే వాడు	1
3	జలయయం.	పానీయంతో నిండి వుండటం.	1
4	దారముచుట్టుకండె	ఒక ఉపకరణం దారం చుట్టడానికి ఉపయోగించేది	1
5	వికశించు	పువ్వుల రేకు విచ్చుకోవడం	1
6	కక్కుకొను	వికారం వల్ల కడుపులో ఉన్న పదార్థం నోటి ద్వారా బయటికి రావడం	1
7	కనురెప్పవెంట్రుకలు	కను రెప్పల ముందు భాగంలో వుండే వెంట్రుకలు	1
8	-నియంత్రణ.	నియమించడం.	1
9	బికారిజీవితాన్ని	ప్రతీదీ అడుక్కొనే జీవితకాలం	1
10	తిరిగినియమించు	తీసిన దాన్ని మళ్ళీ అదే స్థితిలో పెట్టడం	1
11	అనునాసికం.	ముక్కు సహాయంతో పలుకబడేవి.	1
12	కోమోరోజీ	కోమోరోజ్ కి సంబంధించిన	1
13	ప్రసిద్దిచెందు	అందరిలో మంచి పేరు తెచ్చుకోవడం	1
14	చేరదగని	వెళ్ళలేనటువంటి	1
15	క్రిందైన	దిగువ స్థితి	1
16	ఏకాగ్రతలేకపోవడం.	ఏదైనా ఒక పనిపై దృష్టి కేంద్రీకరించని స్థితి	1
17	తప్పిపోవు	ఒక క్రమానికి భంగం వాటిల్లడం	1
18	ఈకారాంతమైన	ఈ అక్షరంతో పదం సమాప్తమైతే	1
19	గోలచేయుట	కఠినపు మాటలాడుట	1
20	ఇరుగు-పొరుగువారు	మన ఇంటి చుట్టూ నివసించేవారు.	1
21	ముల్తాన్‍మట్టితోకూడిన	ముల్తానుకు సంబంధించిన	1
22	అల్బేనియాయీ	అల్బేనియాయీ భాషకు సంబంధించిన	1
23	క్రైస్తవపరమైన.	క్రైస్తవ మతానికి సంబంధించినది.	1
24	భంగాకుగుళిక.	మత్తు రావడానికి తినే ఆకు	1
25	పరీక్షచేయు	ఏదైనా క్రొత్త విషయాన్ని సత్యము మొదలగు వాటి గురించి తెలియజేయుట	1
26	నవసైన్యాలు	తొమ్మిది సేనలతో సంబంధించిన	1
27	పత్రపేటిక	ఉత్తరాలు వేయడానికి ఉపయోగపడే ఇనుపపెట్టె	1
28	తగపహాని	సాలెవాడి యొక్క ఒకరకమైన ఉపకరణం విరిగిపొయిన దారంను కలిపేది	1
29	మహాకాయుడైన	చాలా శరీరాకృతిగల	1
30	నల్లపక్షి	ఒక రకమైన చిన్న పక్షి	1
31	చక్రవాకపక్షి	ఒక రకమైన పక్షి	1
32	నష్టంకలిగిన	ఉన్న దానిని కొల్పోవడం	1
33	మోసంచేయు	నమ్మించి పారిపోవడం	1
34	ప్రత్తిగింజ	తెల్లబంగారంలో ఉండే విత్తనం	1
35	మల్హారరాగం.	సంగీతశాస్త్రాన్ని అనుసరించి సంపూర్ణ జాతికి చెందినది	1
36	పారబోయు	నేలపాలు చేయడం	1
37	విరక్తిచెందిన	పదే పదే సతాయించడంతో మనసుకు కలిగే భావన	1
38	తూర్పారపట్టు	పంట దాన్యాన్ని పొట్టును గాలి సహాయంతో వేరు చేయడం	1
39	సారానాథ్	అశోకుని ధర్మ చక్రం వున్న స్థూపం	1
40	చిన్నబేరగాడు	తిరిగి తిరిగి చిన్న చిన్న వస్తువులను అమ్ముకునే చిన్న వ్యాపారి	1
41	పటపటమను	ఎండిన ఆకులు తునిగేటప్పుడు వచ్చే శబ్ధం	1
42	అప్రశంసింపదగని	ప్రశంస లేనటువంటి	1
43	నిర్ణయంతీసుకొను	ఏ పని అయిన చేయడానికి ఆలోచన తోసుకోవటం	1
44	అధివాచకత	సామాన్యం కంటే అధికమైన శబ్ధం కలిగించి దృష్టిని అటువైపు మళ్ళిస్తుంది.	1
45	కరువువలన	కనీస అవసరాలకు తగిన సౌకర్యాలు లేకపోవడం	1
46	మండించు	పొయ్యిలో మంట వచ్చేలా చేయడం	1
47	ఖర్జూరీ	ఖర్జూరంకు సంబంధించినటువంటి	1
48	భ్రష్టుపడిన	నాశనమైన.	1
49	ఉపన్యసించు	ఏదైన విషయాన్ని వ్యక్తపరుచుట.	1
50	చిన్నకొయ్యపాత్ర	చిన్నపరిమాణంలో ఉండే కొయ్యతో చేసిన పాత్ర	1
51	పాపనాశకమైన	పాపాలను నాశనం చేయునది	1
52	సతయుగం	పురాణాలను అనుసరించి నాలుగు యుగాలలో మొదటిది	1
53	పావనత్వము	పాపహీనమయ్యే స్థితి లేక భావము.	1
54	ప్రధమస్వరం	సంగీతంలో స తో మొదలైనవి	1
55	మలైకోఫ్తా	కైమా చేసిన మాంసంతో మీగడ కలిపి చేసిన వంటకం	1
56	దొంగామె	ఇతరులకు తెలియకుండా తీసుకునేవాళ్ళు	1
57	వెనుక-వెనుకనే	ఎవరినైనా దారిలో అనుసరిస్తూ వెళ్ళడం	1
58	మొగ్గవేయు	పువ్వుకు ముందుగా వచ్చే రూపం	1
59	పండినటువంటి	రంగైనా	1
60	అగరుబత్తీలుపెట్టేస్టాండ్	అగరుబత్తిలు పెట్టుకునే ఒక ఉపకరణం	1
61	త్రివర్ణగుర్రం	తల నల్లగా వుండి శరీరం భిన్న వర్ణాలతో వుండే గుర్రం	1
62	కొద్దిపాటికాలము	కొంత నిశ్చితమైన కాలము	1
63	పేకముక్క	ఆట ఆడటానికి ఉపయోగించే మంద పాటి కాగితపు ముక్కలు దానిపై రంగు గుర్తులు లేదా బొమ్మలు వేసి ఉంటాయి	1
64	మహరీ.	బ్రజ్ లోని ప్రముక మహిళల ఆధార సూచిక శబ్ధం	1
65	కాపీకొట్టు	పరీక్షల్లో ఒకడి సమాధానాలు చూసి మరొకడు రాయడం	1
66	మిడిసిపడు.	తినడానికి లేకపోయినా మీసాలకు సంపెంగ నూనె కావాలంటారు.	1
67	సగ్గుబియ్యంచెట్టు.	పాయసం తయారుచేసుకొవడానికి ఉపయోగించే గుండ్రటి గింజలచెట్టు	1
68	మహిళామనులు	మధర్ తెరిస్సా వంటి గొప్ప వ్యక్తులు	1
69	కాటుకపిట్ట	నల్లగా ఉండే చిన్న పక్షి	1
70	ధనధాన్యాలు.	ధనము మరియు ధాన్యపు సంపద	1
71	అల్పజ్ఞానుడు	కొంచెం అర్ధమయ్యేవాళ్లు	1
72	సంఘర్షిస్తున్న	గొడవపడుతున్న	1
73	వ్రాయించబడిన	అక్షరాలకు రూపం కల్పించిన.	1
74	నివేదించువ్యక్తి.	విన్నపము తెలియచేయు వ్యక్తి	1
75	ప్రతిజ్ఞచేయు	ఏదైనా చేయడానికి లేదా చేయకపోవడానికి సంబంధించిన సరైనా నిర్ణయం వాగ్రూపంలో చేయడం.	1
76	అదరాబదరా	కంగారుగా చేసేటటువంటిది	1
77	మోహినీఆట్టం.	కేరళప్రదేశంలో ఒక శాస్త్రీయనృత్యం.	1
78	విధురుడు	సహధర్మచారిని కోల్పోయినవాడు	1
79	వర్ణింపశక్యంగాని	చెప్పలేనంత గొప్పదిగా ఉండుట.	1
80	-నిర్ణయించబడిన	-స్థిరపరచబడిన, సమయం.	1
81	సోదరిఅత్తగారిల్లు.	సహోదరినిచ్చి పెళ్ళి చేసిన వారి ఇల్లు	1
82	వశంచేసుకొను	తన పరంకావడం	1
83	లిపివిధానం	రాయు పద్థతి.	1
84	పౌష్టికత్వం	అన్నం వండె సమయంలో వార్చిన నీరు	1
85	వదలగొట్టు	రోగం లేదా ప్రేతబాధలను మంత్రాలతో దూరపరచే క్రియ	1
86	బిక్షగాడు	బిక్షం ఇవ్వమని అడిగేవాడు	1
87	సహకారపద్ధతి.	రైతులు పనిభారం తగ్గించుకోవడాని కొరకు ఒకరికొకరు సహాయం చెసుకొనే పద్ధతి	1
88	దయకుపాత్రుడు	కృపను పొందే అధికారముగల	1
