index	word_a	word_b	label
0	अप्सरा	प्रजागरा	1
1	भाव	अंतर्हास	1
2	मसाला	रोगन	1
3	सेंसर	निषेध	1
4	भोगत्याग	अनशन	1
5	फल	समुद्रफल	1
6	बौछार	उक्ति	1
7	कोन	आइसक्रीम	1
8	कंठ्य	घ	1
9	मार्ग	रेलमार्ग	1
10	राक्षस	शल	1
11	पक्षी	फ्लाईकैचर	1
12	कहरुवा	पेड़	1
13	पुत्र	अवावट	1
14	सिद्धांत	इहवाद	1
15	काम	अनुसंधान	1
16	माला	सुमरनी	1
17	बुनाई	फंदा	1
18	अवस्था	बेगुनाही	1
19	राजभाषा	भाषा	1
20	सुवचन	श्रद्धाजंलि	1
21	तृणपदी	लता	1
22	स्कंध	भाग	1
23	लसोड़ा	पेड़	1
24	जलराशि	पश्चजल	1
25	रझना	बर्तन	1
26	हिरण	कंदसार	1
27	हृदयहीनता	अवस्था	1
28	दिशा	पूरब	1
29	विस्फोटक	शाट	1
30	क़ब्ज़ा	अधिकार	1
31	बैंगन	पौधा	1
32	उक्ति	सुझाव	1
33	राजनीतिज्ञ	ज्ञानी	1
34	मिस्तरी	सोफासाज	1
35	आघी	अनाज	1
36	पट्टी	पनकपड़ा	1
37	क्षेत्र	तहसील	1
38	उठाईगीरी	चोरी	1
39	कप्तान	मुखिया	1
40	वक्रोक्ति	अलंकार	1
41	व्यक्तित्व	भाव	1
42	घिर्नी	टाँकली	1
43	निवासी	कच्छी	1
44	अनुयायी	शीआ	1
45	पंचतालेश्वर	राग	1
46	कंठी	कंठा	1
47	जाल	चाफंद	1
48	छक्का	अवस्था	1
49	चूहेदानी	पिंजरा	1
50	वीरता	अवस्था	1
51	इतिवृत्ती	अपराधी	1
52	प्रकाश	फ्लैश	1
53	बच्चा	पिनपिनहाँ	1
54	भाषा	इतालवी	1
55	वनस्पति	ब्राह्मी	1
56	कांड	बालकांड	1
57	गुझई	कीड़ा	1
58	अभिषेक	काम	1
59	अप्रमाद	अनुपलब्धता	1
60	व्यक्ति	कुटना	1
61	सिंधु	राग	1
62	दुर्गंध	सड़ायँध	1
63	ख्मेर	लिपि	1
64	मोगादिशू	राजधानी	1
65	महिला	असूर्यपश्या	1
66	टटोलना	क्रिया	1
67	क्रिया	सत्तांतरण	1
68	शुंभ	राक्षस	1
69	मरोड़ना	अवमोटन	1
70	वीणा	भरतवीणा	1
71	लालसागर	समुद्र	1
72	काम	आजमाइश	1
73	अनुवाद	कार्य	1
74	भाग	पर्चा	1
75	रासलानुफ	शहर	1
76	असेसर	कर्मचारी	1
77	पेश्यार्ति	क्रिया	1
78	आखात	जलाशय	1
79	उपहासी	व्यक्ति	1
80	कुल	तोमर	1
81	भँडेर	झाड़	1
82	बाधा	अटकाव	1
83	चटाई	पतीरी	1
84	मिठाई	पिन्नी	1
85	नेत्राग्नि	आग	1
86	रोग	डिस्प्नीया	1
87	पाकड़	पेड़	1
88	प्राधिकारी	ज्ञानी	1
89	दोहा	नर	1
90	किट	पात्र	1
91	ज़बरदस्ती	काम	1
92	काव्यालंकार	अनुकृति	1
93	अंजनहारी	कीड़ा	1
94	नदी	दृषद्वती	1
95	ध्वनि	फुर्र	1
96	बैल	सोकन	1
97	समुदाय	उपनिवेश	1
98	तीर्थंकर	सुव्रतनाथ	1
99	साम्यवादी	समर्थक	1
100	संगीतकार	वुड	1
101	समुदाय	अष्टवर्ग	1
102	ढंग	तराश	1
103	औजार	नहला	1
104	अनुकंपन	काम	1
105	तीर्थंकर	संभवनाथ	1
106	कानून	सिद्धांत	1
107	व्यक्ति	आकलक	1
108	घोड़ा	हैबर	1
109	झलक	भाग	1
110	दुष्कर्म	अपराध	1
111	भाग	लोथड़ा	1
112	महानदी	नदी	1
113	ऋण	चिह्न	1
114	चोर	जेबकतरा	1
115	लोकगीत	गीत	1
116	व्यक्ति	गोनिया	1
117	रामदास	गुरु	1
118	निश्चिंतता	अवस्था	1
119	मन्वंतर	वैवस्वत	1
120	भाव	अबोला	1
121	चीथड़ा	पोशाक	1
122	सुक्त	काँजी	1
123	पिथौरागढ़	शहर	1
