index	word_a	word_b	label
0	हस्ताभूषण	झबिया	1
1	गँडासी	पैंड़िया	0
2	सँड़सा	सँड़सी	1
3	चिचड़ा	हिमावधाव	0
4	आख्यानकी	दंडकवृत्त	1
5	केर्रा	मुरगाबी	1
6	गंधबिलाव	अनौट	0
7	नेत्रांजन	सदंजन	1
8	निग्रहस्थान	अभिज्ञातार्थ	1
9	नेत्रांजन	तित्तिरीक	1
10	वस्त्रावरण	दूतिका	0
11	दंडकवृत्त	अपह्नुति	0
12	कजलौटी	कजलौटा	1
13	मुखमाधुर्य	सदंजन	0
14	पतुला	बहिर्लापिका	0
15	बहिर्लापिका	लापिका	1
16	तुषांबु	काँजी	1
17	नरवाह	झँपान	1
18	केर्रा	मुँगरी	0
19	कुसुमस्तवक	डँड़हरा	0
20	निग्रहस्थान	अर्थांतर	1
21	बँहुटा	आच्छाद	0
22	नागतुंबी	गुड़ंमा	0
23	गजगाह	परिष्टोम	1
24	ग्वालककड़ी	चिचड़ा	1
25	मन्यास्तंभ	परिष्टोम	0
26	आचार्यता	डँड़हरा	0
27	अभिज्ञातार्थ	निग्रहस्थान	1
28	पगपान	पदाभूषण	1
29	सँड़सी	सतभैया	0
30	अफ़ताबा	तमहा	1
31	﻿युद्ध	धनुहाई	1
32	तसमा	गँडासा	0
33	आच्छाद	वस्त्रावरण	1
34	अपह्नुति	छेकापह्नुति	1
35	बँहुटा	गोड़हरा	0
36	आचार्यता	नागतुंबी	0
37	जाबप्रेस	मुद्रणयंत्र	1
38	अप्राप्तकाल	थलयान	0
39	तमहा	आफ़ताबा	1
40	तिल्हरी	मज़दूरनी	0
41	अंघड़ा	पदाभूषण	1
42	बनड़ादेवगरी	हस्ताभूषण	0
43	होमकाष्ठी	ठगमूरी	0
44	मुँगरी	साँकड़ा	0
45	हस्ताभूषण	पतुला	1
46	थंडिल	त्रिस्तवा	1
47	छिटाका	मुँगरी	1
48	आच्छाद	रुखानी	0
49	निग्रहस्थान	अप्राप्तकाल	1
50	परिष्टोम	प्रतिमंडक	0
51	ठगमूरी	ठगलाड़ू	1
52	पदाभूषण	पैंकड़ा	1
53	पच्चड़	आच्छाद	0
54	झँझरी	नागतुंबी	0
55	﻿युद्ध	जोरिल्ला	0
56	टाँकली	गँडासा	0
57	नाड़ीचक्र	नागतुंबी	0
58	रोमंथक	ऐन्टीलोप	1
59	कौड़िल्ला	अभिज्ञातार्थ	0
60	बनड़ादेवगरी	बहुँटा	0
61	अप्राप्तकाल	नरवाह	0
62	परीबंद	हस्ताभूषण	1
63	अशोकपुष्पमंजरी	दंडकवृत्त	1
64	टाँकली	घिर्नी	1
65	सतिवन	भैरवांजन	0
66	शालकराग	बनड़ाजैत	1
67	खटपूरा	मुँगरी	1
68	अँगुसी	फुँकनी	1
69	लापिका	बहिर्लापिका	1
70	पुष्पांजन	नेत्रांजन	1
71	गोड़संकर	पदाभूषण	1
72	गिलायु	कंठरोग	1
73	पहुन्नी	पच्चड़	1
74	अनौट	झबिया	0
75	हस्ताभूषण	परीबंद	1
76	आच्छाद	तिल्हरी	1
77	कंदलाकश	जाबप्रेस	0
78	झबिया	हस्ताभूषण	1
79	पदाभूषण	कजलौटा	0
80	भियाकुरो	सतभैया	1
81	गँडासा	कलछा	0
82	गँडासी	गँडासा	1
83	फुँकनी	होमकाष्ठी	1
84	भैरवांजन	नेत्रांजन	1
85	अवज्ञातार्थ	बँहुटा	0
86	नरवाह	गिरदाली	0
87	मुद्रणयंत्र	जाबप्रेस	1
88	ऊँटगाड़ी	डँड़हरा	0
89	हिमावधाव	अवधाव	1
90	चटोरपन	पंछा	0
91	कजलौटा	कजलौटी	1
92	अमान्यकरण	सतिवन	1
93	फुँकनी	अँगुसी	1
94	तमहा	झबिया	0
95	नादिरी	फ़तुही	1
96	सतिवन	मँजना	0
97	बियाड़	अंत्रकूजन	0
98	सँड़सी	सँड़सा	1
99	गंधबिलाव	डँड़हरा	0
100	फणिचक्र	पछेली	0
101	डँड़हरा	डँड़हरी	1
102	गुड़ियल	कौड़िल्ला	1
103	जोड़ुआ	मुँगरी	0
104	डेढ़खम्मन	फुँकनी	0
105	सीठी	छेकापह्नुति	0
106	धनुहाई	कुसुमस्तवक	0
107	चिह्नन	इलायचा	1
108	कुड़कुड़ाहट	डँड़हरी	0
109	कुसुमस्तवक	दंडकवृत्त	1
110	ठगमूरी	भैरवांजन	0
111	हीरातराश	अंत्रकूजन	0
112	भियाकुरो	आमर्दन	0
113	पैंकड़ा	मुँगरी	0
114	अंतर्लापिका	लापिका	1
115	रोमंथक	झँपान	0
116	गोड़हरा	पदाभूषण	1
117	पहुन्नी	झबिया	0
118	गँडासी	अर्थांतर	0
119	जाँघिल	मीनक	0
120	नौदौलत	नौबढ़	1
121	मुँगरी	साँकड़ा	0
122	फ़तुही	नादिरी	1
123	सतभैया	भियाकुरो	1
124	बँहुटा	हस्ताभूषण	1
125	बेहनौर	बियाड़	1
126	ठगलाड़ू	झँझरी	0
127	बहुँटा	कुड़कुड़ाहट	0
128	तित्तिरीक	नादिरी	0
129	जोतगाड़ी	ऊँटगाड़ी	1
130	कुसुमस्तवक	चिह्नन	0
131	दुमची	निग्रहस्थान	0
132	तिल्हरी	आच्छाद	1
133	पच्चड़	पहुन्नी	1
134	बनड़ादेवगरी	शालकराग	1
135	नागतुंबी	परीछम	0
