index	word	definition	label
0	అచ్చువేయు	ఏదేని వస్తువును  తయారు చేయుటకు సామాగ్రిని ముద్రలో వేసి తయారు చేయుట.	1
1	అద్వైతవాదం	ఆత్మ, పరాత్మలు ఒకటిగా భావించేవాదం దేవుడు ఒక్కడే అని నమ్మే సిద్ధాంతం దళవాదం	1
2	స్ధలమివ్వు	తమ మనసులోని భావాల్ని ఎదుటివారికి ఏది మంచో, ఏది చెడో తెలియపరచుట .	0
3	సరిపోకపోవు	ఒక పదార్థం పూర్తిగా పై భాగం వరకు రావడం	0
4	టన్‍టన్	వాకిలిని కొట్టుట వల్ల లేదా రాళ్లను కొట్టుట వల్ల ఉత్పన్నమయ్యే శబ్దం	0
5	పదాడంబరత	లేత పసుపురంగులో వుండే ఒక రకమైన గుడ్డ	0
6	ఆల్హా	ముప్పయి ఒక మాత్రలతో వీరరసంతో కూడిన ఒక పద్యం	1
7	అబద్ధమాడువాడు	నిజం చెప్పనివాడు	1
8	ఆటంకపరచు	ఏదైనా పనిలో ఇబ్బంది కలగడం	1
9	పునర్జీవనము	మరలా జీవనము లభించిన, పునర్జీవనము లభించిన	1
10	ఆడసింహం	అడవికి రారాజు	0
11	హావభావం.	పొగరు ఉండటం	0
12	బాక్ట్రియన్.	ఆస్ట్రియాకు సంబంధించిన	0
13	ఖర్చుపెట్టు	ఏదేని పదవిని కల్పించు.	0
14	పిత్తాతిసారం	విరేచనాల రోగం	1
15	పటపటమను	పళ్ళు కొరికినప్పుడు వచ్చే శబ్ధం	1
16	సాధువగు	కృరుడు కాని వాడు	1
17	అభీర్‍తెగ.	భైరవరాగానికి పుత్రునిగా చెప్పబడే ఒక రాగం	0
18	గ్రహజ్యోతిష్యం	మానవ భవిష్యత్తును గురించి తెలిపే విశేష శాస్త్రం	0
19	నిలువుగావున్న	శరీరంలో బాగ కొవ్వు, మాంసం కలిగి ఉండటం	0
20	వలతోపట్టుకొను	నీళ్ళలోని చేపలను బయటికి తీయడం	1
21	రుబ్బించు	రుబ్బురాయితో చేసే పని	0
22	కాకాసురుడు	రాముని భక్తుడు ఋషి శాపం వల్ల పక్షిగా మారాడు	1
23	సారచెట్టు	అంగారపుష్పము గల చెట్టు	0
24	అహారప్రమాణం	ఉష్ణోగ్రత యొక్క కొలత	0
25	బట్టమేకపిట్ట	ఒక రకమైన పెద్ద పక్షి	1
26	కార్యారంభం	నియమితమైన కార్యక్రమాలు జరిగే చోటు	0
27	తెగిపడు	ఆడ్డులేకుండా పోవడం	1
