index	word_a	word_b	label
0	పులిగోరు	ఆయుధము	1
1	పని	నొప్పి	1
2	ముప్ఫైతొమ్మిది	సంఖ్య	1
3	యవలు	ధాన్యం	1
4	మంచితనం	గొప్పతనం	1
5	స్నానం	స్నానం	1
6	సరీసృపం	తాబేలు	1
7	వర్గం	వర్గం	1
8	బూడిద	విభూది	1
9	కేంద్రబిందువు	స్థలం	1
10	గన్నేరు	చెట్టు	1
11	సమితి	ఉపసమితి	1
12	పటికబెల్లం	ఆహారపదార్థం	1
13	డబ్బు	నాణెం	1
14	నిర్ణయము	దెయ్యాలు	1
15	స్రావము	రక్తస్రావము	1
16	ఈల	శబ్ధం	1
17	అభినయం	నాటకం	1
18	వ్యవహారం	లోకాచారం	1
19	మంచిపని	పని	1
20	ధ్రువీకరణ	పని	1
21	పని	ఎక్కడం	1
22	పదార్ధం	మురికి	1
23	అంచనా	వస్తువు	1
24	పనిచేసేవాడు	వ్యక్తి	1
25	బృందము	జత	1
26	తట్టు	గజ్జి	1
27	పాకిస్థానీ	నివాసి	1
28	సరిపడని	పని	1
29	ఆగష్టు	మాసం	1
30	అనుమతి	వీసా	1
31	పని	ప్రచురణ	1
32	జంతువు	వేట	1
33	అదృశ్యం	అంతర్ధానం	1
34	సంఖ్య	పదిహేను	1
35	ధనాశ	నీతి	1
36	కరణ	పూలు	1
37	మంగలి	పురుషులు	1
38	వ్యక్తి	రుణదాత	1
39	మనోభావన	ఇతరులు	1
40	రాజకుమారుడు	రాకుమారుడు	1
41	స్థలం	ఇంటిగడప	1
42	ఆయుధం	అనర్థం	1
43	ఆకర్షణ	పని	1
44	రత్నం	ముత్యం	1
45	గడువు	ఆయువు	1
46	మత్స్యకన్య	మహిళ	1
47	రాజర్షి	ఋషి	1
48	తొక్కిసలాట	పని	1
49	ముడత	నిర్మాణం	1
50	వ్యక్తి	అగ్నిహోత్రి	1
51	జీవద్రవ్యం	శరీరభాగాలు	1
52	పని	ఆవిష్కరణ	1
53	అడుగుభాగం	భూమి	1
54	వ్యక్తి	బందీ	1
55	స్వెట్టర్	ఇనుపకడ్డీ	1
56	మట్టిపాత్ర	అట్ట	1
57	రెల్లుగడ్డి	మొక్క	1
58	మణిపూర్	రాష్ట్రం	1
59	పరుపు	వస్తువు	1
60	కోడలు	బంధువు	1
61	విమానచోదకుడు	డ్రైవరు	1
62	స్థలం	అంతఃపురం	1
63	సమయము	భవిష్యత్తు	1
64	దుర్గుణం	గర్వం	1
65	సంప్రదాయం	నమ్మకం	1
66	స్థితి	వేగము	1
67	శాంతి	స్థితి	1
68	సప్తర్షులు	బృందము	1
69	విమానాశ్రయం	హెలిపాడ్	1
70	దినము	ఆదివారం	1
71	పశువు	ఆబోతు	1
72	పాత్ర	సంచి	1
73	గుర్రపుబండి	జట్కాబండి	1
74	జైపూర్	నగరం	1
75	కార్మికులు	వ్యక్తి	1
76	ఆహారపదార్థం	మాంసము	1
77	జీవి	పిండము	1
78	స్థితి	కలుషితం	1
79	ఇచ్చుట	దానం	1
80	తప్పు	వాదోపవాదాలు	1
81	సిపాయి	వ్యక్తి	1
82	బర్రా	మొక్క	1
83	దినార్	డబ్బు	1
84	ముగింపు	పనిపూర్తి	1
85	దుస్తులు	నడికట్టు	1
86	వర్ణన	ప్రసంగం	1
87	మూర్చ	రోగం	1
88	పని	ఫ్రాక్చర్	1
89	అంకగణితం	గణితశాస్త్రం	1
90	కనుగొనబడిన	ఆచరణ	1
91	యజ్ఞం	సర్పయాగం	1
92	కమ్మరికొలిమి	పొయ్యి	1
93	కృతఙ్ఞత	మనోభావన	1
94	పండు	పిందె	1
95	మారువేషము	అభినయం	1
96	మత్తుపదార్థాలు	మధ్యపానం	1
97	అసూయ	మంచిగుణం	1
98	పని	గీకడం	1
99	పురుషులు	బావ	1
100	ఆశ్చర్యం	ఘటణ	1
101	శత్రువు	స్థితి	1
102	రసము	మకరందము	1
103	గ్రాఫ్	బొమ్మ	1
104	గొలుసు	ఆయుధం	1
105	నొప్పి	అనుభూతి	1
106	వస్తువు	కానుక	1
107	కాళరాత్రి	రాత్రి	1
108	దేవుడు	శ్రీకృష్ణుడు	1
109	కావ్యం	సాహిత్యరచన	1
110	కష్టం	నిట్టూర్పు	1
111	చెల్లెలు	బంధువు	1
112	వరద	ప్రవాహం	1
113	జోడీ	వ్యక్తి	1
114	ప్రతినాయిక	మహిళ	1
115	అధికారం	అధికారము	1
116	ప్రతీకారం	పని	1
117	మూడు	సంఖ్య	1
118	రాశి	కన్యారాశి	1
119	ధనికుడు	వ్యక్తి	1
120	యోని	జననేంద్రియం	1
121	సాధనం	సద్దిపెట్టె	1
122	పఠించుట	పని	1
123	ప్రకటన	ఉపన్యాసం	1
124	రాష్ట్రం	రాజస్థాన్	1
125	నూనెగింజలు	విత్తనం	1
126	కుట్టుకూలీ	కూలి	1
127	హద్దు	స్థానము	1
128	తాపీ	ఆయుధం	1
129	చైనీయుడు	నివాసి	1
130	పర్షియా	దేశము	1
131	బర్ఫీ	కలకంద	1
132	చెట్టు	దేవదారు	1
133	న్యాయాలయం	సభా	1
134	పంచమి	వసంతపంచమి	1
