index	word	definition	label
0	వెలివేయబడిన	ఇంకా జన్మించని వాడు.	1
1	అశుభం	మంచి లేదా మంగళకరం కానిది	1
2	ప్రవేశంలేని	లోనికిరాని	1
3	పవిత్రస్థానం	ఆ స్థలం పవిత్రమైనదిగా భావిస్తారు	1
4	శివాలయం	శివుని ఆరాధించుటకు శివుని విగ్రహం ప్రతిష్టించిన మందిరం	1
5	అపవిత్ర_స్థానం	ఏదైతే పవిత్ర స్థలం కాదో	1
6	వచ్చిన	ఎవరైతే వస్తారో	1
7	జన్మించిన	తల్లి గర్భం నుండి కొత్తగా భూమిపైకి రావడం	1
8	నీతికిసంబంధించిన_పని	అవినీతికి సంబంధించినది కాదు	1
9	పండించిన	ఏదైన ఉత్పత్తి చేసిన.	1
10	చెడునడత	చెడ్డ ప్రవర్తన కలిగియుండే భావన.	1
11	గర్వం	నేనే గొప్పవాడనే భావం	1
12	అత్యాచారం	ఇతరుల పైన బలత్కారంగా చేసే పని.	1
13	అవకతవకలు	ఒక క్రమ సిద్థాంతాన్ని ఇష్టం వచ్చినట్లు మార్చడం మరియు  చేర్చడం.	1
14	విటమిన్లు	మనం తినే ఆహారంలో ఉండే పోషక విలువలు.	1
15	మంచినడవడిక	మంచి లక్షణాలను కలిగివుండటం.	1
16	ఇష్టానుసారం	మనస్సుకు నచ్చినట్లు వ్యవహరించుట.	1
17	చెడ్డపని	ఇటువంటి పని నీతికి విరుద్దము	1
18	ధాన్యం	చిన్న మొక్కలనుంచి ఉత్పత్తిచేసిన ఆహార విత్తనాలు.	1
19	ఆహారపదార్థం	శరీరానికి శక్తిని, పెరుగుదలనిచ్చే పదార్థాలు.	1
20	అనుభవంలేని	ఒక విషయం గురించి పూర్తిగా తెలియకపోవుట.	1
21	నైపుణ్యంలేని	ఏదైన ఒక పనిచేయుటకు సమర్థత లేక పోవుట.	1
22	పనికిరాని	ఏదైన పనిచేయుటకు అర్హత లేని వ్యక్తి.	1
23	ఆడసింహం	మగ సింహం కానిది	1
24	అనుభవంలేని	ఒక పని చేయడంలో ఏమాత్రమూ ప్రవేశం లేని.	1
25	అసభ్యకర	పదిమందిలో చేయకూడని పనులు లేదా మాటలు	1
26	మూర్ఖుడు	అతడికి బుద్ధి లేదు లేదా బుద్ధి చాలా తక్కువ.	1
27	వాడుకలోలేని	ప్రచారంలోలేని	1
28	ప్రవీణత	ఏదైన పని చేయటానికి విశేషమైన అర్హత కలిగి ఉండుట.	1
29	నేర్పు	ఎదైన పని చేసే శక్తి లేదా గుణం కలిగి ఉండుట	1
30	సభ్యత	మంచి నడవడిక కలిగి మంచి ప్రవర్తన కలిగిన వాళ్ళు	1
31	మంచి	యోగ్యతను కలిగి ఉండుట	1
32	నరభక్షియైన	నరులను చంపి తినేవాడు.	1
33	నవరత్నాలు	ప్రాచీన కాలంలో ఏ రాజ-మహారాజ సభలోనైనా ఉండే తొమ్మిది మంది విధ్వాంసులు	1
34	అనాథయైన	ఆలనా-పాలనా చూసేవారులేని వ్యక్తి	1
35	అసహాయులైన	ఎటువంటి సహాయం అందని వారు	1
36	తండ్రిలేని	తండ్రి లేకుండా ఉండుట.	1
37	నిరుపేదలైన	సహాయసహాకారాలు లేకపోవుట.	1
38	సనాధయైన	పాలన పోషణ చూసేవారు	1
39	ఆడనక్క	పిల్లలకు జన్మ నిచ్చి పాలిచ్చి పెంచే కుక్కలాంటి ఆకారమున్న అడవి జంతువు	1
40	సహాయదాతలుగల	సహకారాలు ఉన్నటువంటి	1
41	తల్లిలేని	జనని లేకపోవుట.	1
42	సాధనసంపన్నుడైన	ఎవరిదగ్గరైతే సాధనాలున్నాయో	1
43	అపహేళన	ఆ మాటలు లేదా పని ద్వారా ఏవరిని అభిమానము లేదా ప్రతిష్ఠను తక్కువ చేయడం	1
44	అసభ్యం	సభ్యత లేకపోవడం.	1
45	గౌరవం	పెద్దల పట్ల కలిగి ఉండే ఆరాధనాపూర్వకమైన భావన	1
46	దేవుడు	ధర్మగ్రంధం ప్రకారం సృష్టిని సృష్టించి తన అదుపాజ్ఞలలో పెట్టుకునేవాడు	1
47	పేరులేని	పేరు లేకుండా	1
48	దివ్యశక్తి	సర్వశ్రేష్టమైన మరియు సర్వశక్తిగల శక్తి	1
49	పేరుగల	పేరుగలవాడు	1
50	అకస్మాత్తుగా	ఒక్కసారిగా సంభవించేది	1
51	సులభంగా	ప్రయాస లేకుండా	1
52	ప్రయత్నపూర్వకంగా	ప్రయత్నముతోకూడిన.	1
53	ఆవిష్కరణ	కొత్తగా కనిపెట్టిన విషయం, భవనం, విగ్రహం మొదలైన వాటిని వెల్లడి చేయడం	1
54	పంచపాండవులపూలచెట్టు	ఒక చిన్న చెట్టు దీనికి అందమైన పూలు పూస్తాయి.	1
55	పంచపాండవులపువ్వు	చిన్న చెట్టుకు పూచే ఒక అందమైన పువ్వు	1
56	ప్రారంభం	ఏదైన పనిని కాని విషయాన్ని కాని మొదలు పెట్టడం	1
57	ఎరువు	పచ్చనిఆకులు, చెత్త, పేడ మొదలైన వాటిని కుళ్ళబెట్టి తయారుచేసిన పదార్థం.	1
58	బహిరంగముచేయుట	ఏదైన రహస్యాన్ని చెప్పే పని	1
59	చిందరవందరంగా	వ్యవస్థితం లేకుండా ఉండుట.	1
60	నిరంకుశ	కఠిన వైఖరిని అవలంభించడం	1
61	గుడ్డిగా_అనుసరించుట	ఏవరో చెప్పిన మాటలను అలోచన,అర్థం లేకుండా లేదా ఒక వ్యక్తిని చూసి నేర్చుకోవడం.	1
62	అనుకూలత	ప్రతికూలం కానిది	1
63	దయ	ఇతరుల పట్ల సానుభూతి కలిగి ఉండే భావన	1
64	అనుకూలత	ఏదైనా పనికి గానీ ఒక విషయానికిగానీ తగినట్లుగా ఉండడం	1
65	అనుగుణ్యత	అర్థం చేసుకునే మంచి మనసు కలిగి ఉండే భావన	1
