index	word_a	word_b	label
10	தீயநடத்தை	['கெட்டகுணம்', 'உரிமை']	1
17	தீயச்செயல்	['வேலை', 'கொடுமை', 'குற்றம்', 'தவறானநடத்தை', 'அதர்மம்', 'பாவம்', 'இம்சை', 'திருட்டு', 'முறையற்ற_தொடர்பு', 'கொடுமை', 'கைப்பழக்கம்', 'கையூட்டு_வாங்கும்_பழக்கம்', 'பயமுறுத்தல்', 'அச்சுறுத்தல்']	1
92	பணிஒப்பந்தம்	['பொறுப்பாளி']	1
108	ஆமோதித்தல்	['அங்கீகாரம்', 'மக்கள்ஆதரவு']	1
118	ஒளிமண்டலம்	['பளபளப்பான']	1
127	வேண்டுகோள்விண்ணப்பம்	['கடிதம்']	1
134	சுபவிழா	['திருவிழா']	1
147	இலக்கியநூல்	['கலைப்பொருட்கள்', 'மொழியாக்க_படைப்பு', 'காவியம்', 'அகராதி', 'கையெழுத்துபிரதி', 'பார்க்கக்கூடிய_காவியம்', 'கட்டுரை', 'ராசோ', 'யாப்பு', 'ரமைனி', 'கட்டுரை_காவியம்', 'கடவுள்வணக்கம்']	1
158	புதியகண்டுபிடிப்பு	['வேலை']	1
199	விருந்தாளிவீடு	['வீடு']	1
202	முன்தாழ்வாரம்	['இடம்']	1
203	முக்கியவழி	['வாயிற்படி', 'நகரவாயில்']	1
205	ராசிசக்கரம்	['கூட்டம்']	1
209	நமாஜ்	['வேண்டுகோள்']	1
225	வெள்ளிகிரகம்	['கிரகம்']	1
228	நெப்டியூன்கிரகம்	['கிரகம்']	1
251	பரம்பரைப்பெயர்	['பெயர்']	1
253	மொத்தமதிப்பெண்	['எண்']	1
255	பின்னஎண்ணிக்கை	['எண்']	1
256	வகுக்குமெண்	['துன்பம்பொறு']	1
263	சீனயெழுத்து	['எழுத்துவடிவம்']	1
274	நிறுத்தற்குறியீடு	['அறிகுறி', 'முற்றுப்புள்ளி', 'அரைப்புள்ளி', 'கால்புள்ளி']	1
275	சரிகுறியீடு	['அறிகுறி']	1
276	தவறுகுறியீடு	['அறிகுறி']	1
279	குருட்டுபக்தி	['பக்தி']	1
285	கடினத்தண்ணீர்	['தண்ணீர்']	1
286	மென்தண்ணீர்	['தண்ணீர்']	1
295	சிறுவர்குற்றம்	['குற்றம்']	1
300	தேவநாகரிஎழுத்து	['பிராமி_எழுத்து']	1
316	முதன்மைவண்ணம்	['சிகப்பு', 'பச்சை', 'நீலம்']	1
318	பிளாஸ்மாசவ்வு	['இயற்கைப்_பொருட்கள்']	1
333	பெண்எலி	['கூர்மையான_பற்கள்']	1
340	உலோகக்கூண்டு	['கூண்டு']	1
346	எழுதும்உபகரணம்	['ஆயுதம்', 'எழுதுகோல்', 'காகிதப்பென்சில்', 'எழுதுகோல்']	1
379	சொற்களைஇணைக்கும்இடைக்குறி	['அறிகுறி']	1
382	பெரியஅடைப்புக்குறி	['அடைப்புக்குறி']	1
385	வேகமானி	['அளவை']	1
388	சிறியஅடைப்புக்குறி	['அடைப்புக்குறி']	1
393	நக்பங்சி	['புல்லாங்குழல்']	1
396	தபேலாவாத்தியம்	['இசைக்கருவி', 'மிருதங்கம்', 'தபேலா', 'இடதுப்பக்கம்', 'டோலக்கு', 'டாம்பரின்', 'கெண்டி', 'உடுக்கை', 'பறை', 'கஞ்சிரா', 'பறை', 'தமுக்கு', 'பறை', 'சங்', 'மத்தளம்', 'மிருதங்கம்', 'துக்கட்', 'மஹானக்', 'திரிவலய', 'டுடுகா', 'கோமுத்ரி', 'டக்காரி', 'துகல்லி', 'உடுக்கை', 'ஜனஸ்', 'முரல்', 'லாவஜ்', 'தந்தா']	1
397	ஜால்ராவாத்தியம்	['இசைக்கருவி', 'ஜால்ரா', 'சலங்கை', 'கைத்தட்டல்', 'தால்ரங்க்']	1
398	தந்திவாத்தியம்	['இசைக்கருவி', 'வயலின்', 'வயலின்', 'சித்தார்', 'வீணை', 'தம்பூரா', 'நரம்பிசைக்_கருவி', 'சிதார்', 'தம்புரா', 'சரோத்', 'கிங்கிரி', 'இஸ்ராஜ்', 'பைன்ஜோ', 'துதாரா', 'பினாக்', 'திதாரா', 'சௌத்தாரா', 'கூர்மிகா', 'லகுகின்னரி', 'ஸ்வர்மண்டல்', 'மதூஸ்பந்தி', 'ஹஸ்திகா', 'ஜோதிஷ்மதி', 'சுர்பகன்']	1
409	மாமிசவறுவல்	['உணவுப்பொருட்கள்']	1
414	மார்புகாம்பு	['உடல்_பாகம்']	1
424	தாவரஉண்ணி	['விலங்கு']	1
434	அன்னவிடுதி	['உணவுப்பொருட்கள்']	1
453	தேவிக்கோயில்	['கோயில்']	1
454	ஜைனக்கோயில்	['கோயில்']	1
455	அக்னிகோயில்	['கோயில்']	1
456	பௌத்தகோயில்	['கோயில்']	1
458	சோமாசா	['பொறித்த_உணவு']	1
459	பூசணிஅல்வா	['இனிப்பு']	1
465	கல்சிலை	['சிற்பம்']	1
470	பாஸ்மதிஅரிசி	['அரிசி']	1
477	தடவிகொடுத்தல்	['தொடுதல்']	1
485	பாதரிமார்	['மதகுரு']	1
494	மதத்தைதோற்றுவித்தவர்	['தோற்றுவித்தவர்', 'இயேசு', 'குருநானக்', 'முகம்மது']	1
508	அரைச்சதுர்த்தசி	['சதுர்த்தசி']	1
512	நீண்டமூச்சு	['சுவாசித்தல்']	1
531	துணைநாயகி	['கதாநாயகி', 'சகி']	1
533	துணைநாயகன்	['நாயகன்']	1
549	ஒத்துபோதல்	['வேலை', 'அங்கீகாரம்', 'ஓட்டு']	1
550	தாய்ச்செல்	['செல்']	1
554	புணரிச்செல்	['செல்']	1
561	உலைஅடுப்பு	['அடுப்பு', 'இரும்படுப்பு', 'பொரிக்கடலை_வறுக்கும்_அடுப்பு', 'ரொட்டி_சுடும்_அடுப்பு', 'குமுட்டிஅடுப்பு', 'பட்டறை_அடுப்பு', 'கண்ணான்_அடுப்பு']	1
562	சமையல்உபகரணம்	['சாதனம்', 'அடுப்பு', 'அம்மிக்கல்', 'அம்மிகுழவி', 'அப்பளக்_குழவி', 'இரும்பு_அல்லது_பித்தளையிலான_மருந்தாக_பயன்படும்_சிறு_கிண்ணம்', 'சதுரக்கல்', 'மண்ணெனை_அடுப்பு']	1
566	துவரஞ்செடி	['செடி']	1
568	சைட்ரோபிளாசம்	['புரோட்டோபிளாசம்']	1
569	புரோட்டபிளாசம்	['உடல்_பாகம்']	1
573	புரோட்டோபிளாசம்	['இயற்கைப்_பொருட்கள்', 'சைட்ரோபிளாசம்']	1
582	இரும்படுப்பு	['உலைஅடுப்பு']	1
584	செல்பகுதி	['உறுப்பு', 'வெற்றிடம்', 'நியூக்ளியஸ்']	1
600	பச்சைகுத்துபவள்	['பெண்']	1
612	விளையாட்டுஅட்டை	['சீட்டு']	1
614	தாவரப்பகுதி	['இயற்கைப்_பொருட்கள்', 'தாவரப்_பகுதி', 'காய்ந்த_குச்சிகள்', 'முள்', 'பொந்து', 'கஞ்சா', 'பட்டை', 'தண்டு', 'கீரை', 'காம்பு', 'பூவின்_பகுதி', 'தானியக்கதிர்', 'தவிடு', 'மஞ்சள்', 'தாமரைகளஞ்சியம்', 'பல்குச்சி', 'குச்சி', 'முளை', 'ஈர்க்கு', 'அபின்_செடி', 'அடித்தண்டு', 'மகரந்தம்', 'கணு', 'கிழங்கு', 'கணு', 'உடல்_ரோமம்', 'கரும்புத்துண்டு']	1
640	சிறுகிளை	['கிளை', 'பதியம்']	1
648	தானியம்விற்பவர்	['விற்பனைசெய்பவர்']	1
649	காய்கறிக்காரன்	['விற்பனைசெய்பவர்']	1
659	விலாஎலும்பு	['எலும்பு']	1
681	மாமன்மகள்	['சகோதரி']	1
683	அத்தையின்மகன்	['சகோதரன்']	1
686	சித்தியின்மகன்	['சகோதரன்']	1
694	நெய்யும்சாதனம்	['ஆயுதம்', 'நூற்கண்டு', 'தறி', 'ராட்டைக்கதிர்', 'சீப்பு', 'ஊடை', 'தீப்டா', 'தறிக்கருவி', 'தல்தம்பன்', 'நடாயி']	1
695	அறுக்கும்சாதனம்	['ஆயுதம்', 'அரிவாள்', 'அரிவாள்', 'அறுவாமனை', 'புல்வெட்டி']	1
700	பெட்டைநாய்	['நாய்']	1
712	ஆண்தோழன்	['நண்பன்']	1
720	செயல்முடிவு	['இறுதி']	1
721	அவைக்கலைப்பு	['இறுதி']	1
724	பால்யசிநேகிதன்	['நண்பன்']	1
725	பால்யசிநேகிதி	['தோழி']	1
728	முள்ளங்கிச்செடி	['செடி']	1
731	விரல்சைகை	['சைகை']	1
743	அடிப்படைப்பொருள்	['துரும்பு', 'நியூட்ரான்', 'புரோட்டான்', 'எலக்ட்ரான்']	1
749	பாடும்பறவை	['பறவை', 'குயில்', 'புல்புல்', 'பிளக்', 'அகன்', 'குயில்', 'அல்பேனியர்']	1
754	விசமற்றசர்ப்பம்	['பாம்பு']	1
756	பாம்புபடம்	['உடல்_பாகம்']	1
