index	word_a	word_b	label
0	मसाला	रोगन	1
1	सेंसर	निषेध	1
2	फल	समुद्रफल	1
3	बौछार	उक्ति	1
4	कोन	आइसक्रीम	1
5	कंठ्य	घ	1
6	मार्ग	रेलमार्ग	1
7	राक्षस	शल	1
8	पक्षी	फ्लाईकैचर	1
9	कहरुवा	पेड़	1
10	सिद्धांत	इहवाद	1
11	काम	अनुसंधान	1
12	माला	सुमरनी	1
13	बुनाई	फंदा	1
14	अवस्था	बेगुनाही	1
15	राजभाषा	भाषा	1
16	सुवचन	श्रद्धाजंलि	1
17	स्कंध	भाग	1
18	लसोड़ा	पेड़	1
19	हृदयहीनता	अवस्था	1
20	दिशा	पूरब	1
21	विस्फोटक	शाट	1
22	क़ब्ज़ा	अधिकार	1
23	बैंगन	पौधा	1
24	उक्ति	सुझाव	1
25	राजनीतिज्ञ	ज्ञानी	1
26	आघी	अनाज	1
27	उठाईगीरी	चोरी	1
28	क्षेत्र	तहसील	1
29	कप्तान	मुखिया	1
30	वक्रोक्ति	अलंकार	1
31	व्यक्तित्व	भाव	1
32	निवासी	कच्छी	1
33	अनुयायी	शीआ	1
34	कंठी	कंठा	1
35	छक्का	अवस्था	1
36	चूहेदानी	पिंजरा	1
37	वीरता	अवस्था	1
38	प्रकाश	फ्लैश	1
39	भाषा	इतालवी	1
40	वनस्पति	ब्राह्मी	1
41	कांड	बालकांड	1
42	अभिषेक	काम	1
43	अप्रमाद	अनुपलब्धता	1
44	व्यक्ति	कुटना	1
45	सिंधु	राग	1
46	ख्मेर	लिपि	1
47	मोगादिशू	राजधानी	1
48	टटोलना	क्रिया	1
49	क्रिया	सत्तांतरण	1
50	शुंभ	राक्षस	1
51	लालसागर	समुद्र	1
52	काम	आजमाइश	1
53	अनुवाद	कार्य	1
54	भाग	पर्चा	1
55	असेसर	कर्मचारी	1
56	उपहासी	व्यक्ति	1
57	कुल	तोमर	1
58	बाधा	अटकाव	1
59	मिठाई	पिन्नी	1
60	नेत्राग्नि	आग	1
61	पाकड़	पेड़	1
62	प्राधिकारी	ज्ञानी	1
63	दोहा	नर	1
64	किट	पात्र	1
65	ज़बरदस्ती	काम	1
66	काव्यालंकार	अनुकृति	1
67	अंजनहारी	कीड़ा	1
68	नदी	दृषद्वती	1
69	ध्वनि	फुर्र	1
70	समुदाय	उपनिवेश	1
71	तीर्थंकर	सुव्रतनाथ	1
72	साम्यवादी	समर्थक	1
73	संगीतकार	वुड	1
74	समुदाय	अष्टवर्ग	1
75	ढंग	तराश	1
76	औजार	नहला	1
77	तीर्थंकर	संभवनाथ	1
78	कानून	सिद्धांत	1
79	झलक	भाग	1
80	घोड़ा	हैबर	1
81	दुष्कर्म	अपराध	1
82	भाग	लोथड़ा	1
83	महानदी	नदी	1
84	ऋण	चिह्न	1
85	चोर	जेबकतरा	1
86	लोकगीत	गीत	1
87	व्यक्ति	गोनिया	1
88	रामदास	गुरु	1
89	निश्चिंतता	अवस्था	1
90	मन्वंतर	वैवस्वत	1
91	भाव	अबोला	1
92	पिथौरागढ़	शहर	1
93	आईनासाजी	काम	1
94	अधिकार	योग्यता	1
95	महिष	पर्वत	1
