index	word_a	word_b	label
0	അളവുകള്‍	ബിസ്വാ	1
1	മാറ്റം	വിപ്ലവം	1
2	അവസ്ഥ	തൃപ്തി	1
3	അവസ്ഥ	വളവ്	1
4	സമയം	ഉദയം	1
5	ഇറ്റാവ	ജില്ല.	1
6	വായനശാല	സ്ഥാനം	1
7	യോജിപ്പ്	കുളം	1
8	ലക്ഷ്യം	ജോലി	1
9	ആയുധം	ഉരല്‍	1
10	ദേശം	ജില്ല	1
11	പ്രവര്ത്തനം	അവതരണം	1
12	നിവാസികള്	ഡച്ചുകാരന്‍	1
13	ട്രിനിഡാഡ്	ദ്വീപ്‌	1
14	വ്യക്തി	ചീത്തപ്പേര്	1
15	അദ്ധ്യാപകന്‍	അധ്യാപകന്‍	1
16	വിവാഹിത	വല്യമ്മ	1
17	രൂപം	അവസ്ഥ	1
18	ആയുധം	ട്രാന്‍സ്ഫോമര്‍	1
19	ഭൂരിപക്ഷം	അല്ല	1
20	സഹോദരി	സംബോധന	1
21	കള്ളത്താക്കോൽ	താക്കോല്‍	1
22	പാരായണം	തെലുങ്കൻ	1
23	സര്ബത്ത്	പന	1
24	വയ്യാവേലി	ബുദ്ധിമുട്ട്	1
25	സേലം	ജില്ല.	1
26	വചനം	ബഹുവചനം	1
27	ആസുരസ്വഭാവം	സ്വഭാവം	1
28	കോലം	ചിത്രം	1
29	കര്‍ബല	സ്ഥാനം	1
30	ഭക്ഷ്യവസ്തു	ഐസ്ക്രീം	1
31	മഞ്ഞള്‍	കസ്തൂരിമഞ്ഞള്‍	1
32	ചക്രവാളം	സ്ഥലം	1
33	പാവാട	ഫരിയ	1
34	ഗാന്ധാര	രാഗം	1
35	വ്യാധി	കുളമ്പുരോഗം	1
36	വ്യക്തി	ഈശ്വരവിശ്വാസി	1
37	വസ്തു	ഭാരം	1
38	കൂട്	പാത്രം	1
39	കാവ്യം	പേരടി	1
40	മുളക്	ചെടി	1
41	യോഗ്യത	ഫോം	1
42	ഭാഗം	ഷെയര്	1
43	അരം.	ആയുധം	1
44	അരിവാൾ	അറുപത്തിയഞ്ച്	1
45	ജോദ്പൂർ	പട്ടണം	1
46	ശക്തി	മര്ദ്ദം	1
47	സിന്ധു	പ്രവിശ്യ	1
48	കരാകസ്	തലസ്ഥാനം	1
49	ആരംഭം	ഭാഗം	1
50	ജീവി	നിസ്സഹായര്‍	1
51	ലൌറി	പൈസ	1
52	കാസ്പിയന്‍	കടല്‍	1
53	വ്യക്തി	പഠാന്‍	1
54	പൂവ്	കുടമുല്ല	1
55	ഇരുപത്തിയഞ്ച്	സംഖ്യ	1
56	ജോലി	എന്ജിനീയറിംഗ്	1
57	പ്രാഗ	തലസ്ഥാനം	1
58	കോഴിക്കുഞ്ഞ്	കിളിക്കുഞ്ഞ്	1
59	നിസാം	ഭരണാധികാരി	1
60	ജയിലര്‍	അധികാരമുള്ളവന്‍	1
61	ഭാഗം	അക്ഷരം	1
62	തിരഞ്ഞെടുക്കല്‍	തിരഞ്ഞെടുപ്പ്	1
63	സ്ഫോടനം	മാറ്റം	1
64	കൂലി	പണിക്കൂലി	1
65	മണ്ണു	വെള്ളം	1
66	സംഘടന	നാറ്റോ	1
67	ദേവത്വം	കുബേരന്	1
68	ജോലി	അനാദരവ്	1
69	വസ്തു	ശത്രു	1
70	അവസ്ഥ	മാനവികത	1
71	വ്യക്തി	അധികാരി	1
72	കടുക്.	രാജി	1
73	ലിപി	അടയാളം	1
74	സ്ത്രീ	ഗായിക	1
75	യാത്രക്കാരന്‍	സഹയാത്രികന്‍	1
76	സന്തുലനാവസ്ഥ	അവസ്ഥ	1
77	പൌണ്ട്	പൈസ	1
78	കണ്ഠാഭരണം	മാല്യം	1
79	കന്യക	സ്ത്രീ	1
80	ആവാസം	വീട്	1
81	ദംശനം	മുറിവ്‌	1
82	ഔറംഗാബാദ്	പട്ടണം	1
83	കുലുക്കം	ജോലി	1
84	ഒക്ടോബർ	മാസം.	1
85	കാലം	ശിലായുഗം	1
86	പനവള്ളി	നാര്	1
87	ബലി	നരബലി	1
88	പരിചയം	അവസ്ഥ	1
89	വ്യക്തി	ലക്ഷാധിപതി	1
90	ജോലി	ചികിത്സ	1
91	മൊത്തം	വസ്തു	1
92	ജോലി	പിടിത്തം	1
93	വൃക്ഷം	അശോകം	1
94	വ്യക്തിത്വം	ഭാവം	1
95	ചെടി	പുതിന	1
96	അവസ്ഥ	ആനന്ദം	1
97	സമയം	നേരം	1
98	മാസം.	സെപ്റ്റംബര്	1
99	അക്ഷരം	വ്യക്തി	1
100	കന്നുകാലിത്തീറ്റ	വൈക്കോല്	1
101	വായ്പുണ്ണ്	വ്രണം	1
102	അന്യായം	ജോലി	1
103	ഭക്ഷ്യവസ്തു	സസ്യാഹാരം	1
104	ജോലി	കൂട്ടികൊടുപ്പ്	1
105	കുറവ്	ദുഃഖമില്ലാത്ത	1
106	ഉത്തരവ്	പ്രസ്താവന	1
107	ജോലി	സംഭാവന	1
108	സ്ഥാനം	അയല്പക്കം	1
109	ധ്വനി	ദേവഗിരി	1
110	സോഷ്യലിസം	സിദ്ധാന്തം	1
111	സ്നേഹം	അവസ്ഥ	1
112	കുറ്റപത്രം	അപേക്ഷ	1
113	സഫാരി	യാത്ര	1
114	സമുദായം	വചനം	1
115	സുനാമി	തിര	1
116	സദ്ഗതി	ജീവനാശം	1
117	ഓംപ്ലേറ്റ്	ഭക്ഷ്യവസ്തു	1
118	വനനശീകരണം	കൊയ്ത്ത്	1
119	സമുദ്രം	നദി	1
120	നേതാവ്	സ്റ്റാലിന്‍	1
121	തൂലിക	എഴുത്താണി	1
122	മുക്കാലി	സ്റ്റൂള്‍	1
123	ഫോകി	മണ്ണു	1
124	കീബോര്‍ഡ്	മാദ്ധ്യമം	1
125	ജഗദ്ഗുരു	ഗുരു	1
126	ഓട്ട	തുരുത്തി	1
127	ചന്ത	കരിഞ്ചന്ത	1
128	തുണി	തമാമി	1
129	ഫക്കീര്‍	സന്യാസി	1
130	അനുചിന്തനം	വിചാരം	1
131	ചൂഷണം	പ്രവര്ത്തനം	1
132	കട്ടക്	ജില്ല.	1
133	അറിവ്	പ്രവര്ത്തനം	1
134	കിളിവാതില്	കവാടം	1
135	മന്ത്രി	ഉപദേഷ്ടാവ്	1
136	മഹാലക്ഷ്മി	ലക്ഷ്മി	1
137	ഭൂട്ടാനി	ഭാഷ	1
138	നിഴല്	ആകൃതി	1
139	അകിട്‌	മുല	1
140	രചന	മംഗളാചരണം	1
141	പനിനീര്‍	സത്ത്‌	1
142	അതെ	വാക്ക്	1
143	തൊടി	മൈതാനം	1
144	ധനമന്ത്രി	മന്ത്രി	1
145	അവയവം	ഇരുമ്പ്	1
146	ബാലി	ലിപി	1
147	കപ്പല്‍	ജലയാനം	1
148	കല	വാസ്തുവിദ്യ	1
149	വൃക്ഷം	മള്‍ബറി	1
150	സ്രാവം	രക്തസ്രാവം	1
151	പട്ടണം	മദുര	1
152	പീഠം	കസേര	1
153	പദവി	ജന്മിത്വം	1
154	അഭ്യസനം	ലൈംഗികവിദ്യാഭ്യാസം	1
155	പാത്രം	പൂപാത്രം	1
156	ശാസ്ത്രജ്ഞന്	മൌലവി	1
157	കിട്ടല്‍	ലാഭം	1
158	കല	യോഗ്യത	1
159	പ്രവര്ത്തനം	തീരുമാനം	1
160	വേട്ട്	അഭിപ്രായൈക്യം	1
161	രാഗം	പ്രദീപ്	1
162	രൂപാന്തരം	മാറ്റം	1
163	സുവര്‍ണ്ണ	പൈസ	1
164	അധികാരി	യജമാനന്‍	1
165	ബൌളിങ്ങ്	പ്രവര്ത്തനം	1
166	ഞായറാഴ്ച.	ദിവസം	1
167	മനോഭാവം	ലജ്ജ	1
168	ഉപ്പളം	സ്ഥാനം	1
169	വിതരണം	ജോലി	1
170	വ്യക്തി	സിദ്ധന്	1
171	ലത	പട്ടാണി	1
172	കോലാഹലം	ശബ്ദം	1
173	കല	അസ്ത്രവിദ്യ	1
174	പുംബീജം	പുരുഷബീജം	1
175	പനി	വ്യാധി	1
176	ത്രിവേണി	സംഗമം	1
177	പട്ടണം	മുര്‍ദാബാദ്	1
178	തലസ്ഥാനം	അസ്താന	1
179	ദേശം	ഉദ്യാനം	1
180	ഉദ്യോഗസഥര്‍	ആമീൻ	1
181	ചെടി	കോഴിപ്പൂവ്	1
182	നെല്ല്.	ബോര	1
183	അര്മേനിയന്	ലിപി	1
184	ചെന്നായ	വന്യജീവി	1
185	പ്രദീപ്	രാഗം	1
186	ത്യാഗം	ജോലി	1
187	ഹെരാത്	പട്ടണം	1
188	കളി	ഗോട്ടി	1
189	സ്ത്രീ	വെള്ളക്കാരി	1
190	സ്ഥാനം	ഉറവിടം	1
191	രേഖ	റെക്കോഡ്	1
192	വിദേശി	നിവാസികള്	1
193	കൂടം	ആയുധം	1
194	ഗ്രാമം	ഗോകുലം	1
195	അമ്പയര്‍	ജോലി	1
196	പൈസ	പെനി	1
197	അറ്റം	അതിര്ത്തി	1
198	മൃഗം	ആന	1
199	അവസ്ഥ	രസികത്വം	1
200	ഔഷധം	ഉത്തേജകമരുന്ന്	1
201	മത്സരം	ഓട്ടമത്സരം	1
202	പശ്ചാത്തലം	വസ്തു	1
203	സംസാരശേഷി	ശക്തി	1
204	മാതാജി	സ്ത്രീ	1
205	മേഘമൽഹാർ	രാഗം	1
206	പോലീസു്	ഭവനം	1
207	വേദം	അഥർവവേദം	1
208	വസ്തു	ഇഷ്ടം	1
209	പോളോ	കളി	1
210	ഗദ	അസ്ത്രം	1
211	ഘോഷണം	ശബ്ദം	1
212	ചാല്	തോട്‌	1
213	അറുപത്തിയഞ്ച്	സംഖ്യ	1
214	ത്രിശക്തി	ശ്രേണി	1
215	അവസ്ഥ	ആർത്തവവിരാമം	1
216	സഹോദരന്	ബന്ധം	1
217	വ്യക്തി	അവധി	1
218	പിന്ഭാഗം	ജിഹ്വാമൂലം	1
219	കുട്ടിക്കാലം	അവസ്ഥ	1
220	ഏഷ്യന്‍	സിറിയ	1
221	ഔന്നത്യം	അവസ്ഥ	1
222	അപരിചിതന്	വ്യക്തി	1
223	അഭ്യാസം	ഡിപ്ലോമ	1
224	കഥ	കെട്ടുകഥ	1
225	ഡോളര്	ട്രിനിഡാഡ്	1
226	ജീവിപ്പിക്കുക	ഭാഗം	1
227	മൂലകം	സീസിയം	1
228	അടിത്തറ	പോസ്റ്റ്	1
229	മഹാനവമി	നവമി	1
230	വയല്‍	കുറ്റി	1
231	പ്രവര്ത്തനം	ഛേദം	1
232	എണ്‍പത്തിയഞ്ച്	സംഖ്യ	1
233	സമ്മതിദാനം	ജോലി	1
234	ബാറ്റ്	കളിക്കോപ്പുകള്‍	1
235	സഭ	പറ്റം	1
236	പ്രവര്ത്തനം	പ്രാധാന്യം	1
237	വ്യാധി	കണ്ണുവേദന	1
238	സിംഗപ്പൂര്	ഏഷ്യന്‍	1
239	വ്യക്തി	ശിരോമണി	1
240	ദൈവം	ശ്രീകൃഷ്ണന്	1
241	സാക്ഷ്യപ്പെടുത്തല്‍	ജോലി	1
242	തലസ്ഥാനം	ബാകൂ	1
243	വ്യാപരി	വ്യവസായി	1
244	നട്ടെല്ലില്ലാത്ത	ഷഡ്പദങ്ങൾ	1
245	വസ്തു	ഒരാള്	1
246	സോമരസം	കറ	1
247	പൂവ്	പങ്കജം	1
248	മധുരക്കിഴങ്ങ്	കിഴങ്ങ്	1
249	ബംഗ്ലാവ്	വീട്	1
250	പൂവ്	സൂര്യകാന്തി	1
251	അവസ്ഥ	മാനസികാവസ്ഥ	1
252	പറ്റം	ആളുകള്‍	1
253	വ്യക്തി	രോഗി	1
254	ലക്ഷം	സംഖ്യ	1
255	ആയുധം	സൂചി	1
256	ഗുരുഭക്തി	ആദരവ്	1
257	വ്യക്തി	നിരീശ്വരവാദി	1
258	അവസ്ഥ	തിരിച്ചറിയൽ	1
259	കുറവ്	തെളിവ്	1
260	അനുകൂലമായ	ജോലി	1
261	നിഷ്പക്ഷം	അവസ്ഥ	1
262	വസ്തു	കിഴിവ്	1
263	സന്ദര്ശനം	ജോലി	1
264	മൈലേജ്	ദൂരം	1
265	മനോഭാവം	മടി	1
266	പ്രവര്ത്തനം	വിരുന്ന്	1
267	ഗവേഷണം	ജോലി	1
268	ഭക്ഷ്യവസ്തു	പഴകിയ	1
269	വാതകം	ഹൈഡ്രജന്	1
270	കുറുമ	മധുരപലഹാരം	1
271	രാജ്യം	സ്ഥാനം	1
272	പ്രവിശ്യ	പഞ്ചാബ്	1
273	ബ്രൂണോ	ഏഷ്യന്‍	1
274	പതിനായിരം	സംഖ്യ	1
275	പുരാണം	ഗരുഡപുരാണം	1
276	വിമാനശാല	അടിത്തറ	1
277	ധ്വനി	ഗൌദി	1
278	കാളിദാസന്	ജ്ഞാനി	1
279	ശ്വാസം	വായു	1
280	ചര്‍ക്ക	യന്ത്രം	1
281	കുരുമുളക്	ലത	1
282	അതിര്ത്തി	അറ്റം	1
283	പാണ്ഡിത്യമുള്ള	സംഗീതജ്ഞന്	1
284	നിരായുധീകരണം	ജോലി	1
285	വാള്‍	ചെറുവാൾ	1
286	മാനസികാവസ്ഥ	മഹാമനസ്കത	1
287	അയല്വാസി	വ്യക്തി	1
288	അരിക്	അത്താഴം	1
289	ശക്തി	വസ്തു	1
290	സൂക്ഷിക്കൽ	കൂട	1
291	മേവാഡ്	ദേശം	1
292	ആവാഹനം	ജോലി	1
293	തപ്പിപ്പിടിക്കുക	അറസ്റ്റ്	1
294	വേതനം	കൂലി	1
295	ജലകണം	തുള്ളി	1
296	കിലുക്കം	കളിപ്പാട്ടം	1
297	സ്ഥാനം	കുരുക്ഷേത്രം	1
298	സഹാരന്‍പുര്‍	പട്ടണം	1
299	സിദ്ധന്	വ്യക്തി	1
300	വരണമാല്യം	പുഷ്പമാല	1
301	ആയിരം	സംഖ്യ	1
302	ചെള്ള്	കീടം	1
303	യാമം	സമയം	1
304	സൂര്യോദയം	ഉദയം	1
305	തുണി	ധോത്തി	1
306	ഉരകല്ല്	കല്ലു്‌	1
307	നടപടി	ഗൂഢാലോചന	1
308	ജോലി	പുറത്താക്കല്	1
309	ചിക്കമംഗലൂര്‍	പട്ടണം	1
310	നന്മ	നിറം	1
311	അങ്കഗണിതം	ഗണിതശാസ്‌ത്രം	1
312	സംഘടന	നാസ	1
313	പ്രവര്ത്തനം	പ്രതിഫലനം	1
314	നാല്ക്കവല	സ്ഥാനം	1
315	ചുറ്റളവ്	അടി	1
316	ഏഷ്യന്‍	അര്മേനിയ	1
317	മെക്സിക്കോക്കാരന്	നിവാസികള്	1
318	ആളുകള്‍	ഹിന്ദുക്കള്‍	1
319	നിശാഗന്ധി	പൂവ്	1
320	ദ്രുപദ	വേദമന്ത്രം	1
321	ഉപനഗരം	പട്ടണം	1
322	പകര്ച്ചവ്യാധി	വ്യാധി	1
323	ഭോജനം	ഹവിഷ്യാന്നം	1
324	പെരുമ്പറ	പെരുമ്പറ.	1
325	ഝാബുവ	ജില്ല.	1
326	വ്യക്തി	മകരരാശി	1
327	അഭിപ്രായൈക്യം	അനുമതി	1
328	ശ്രീലങ്ക	ഏഷ്യന്‍	1
329	യന്ത്രം	ആയുധം	1
330	ദീപാവലി	ഉത്സവം	1
331	നരസിംഹപുരം	പട്ടണം	1
332	ഉത്പാദനം	സൃഷ്ടി	1
333	സാധനം	മറ	1
334	പലചരക്കുകട	ചന്ത	1
335	സപ്തശതി	സമുദായം	1
336	ഭാവന	ദിവാസ്വപ്നം	1
337	ഉഷ്ണം	താപം	1
338	ബുദ്ധി	സുബുദ്ധി	1
339	വാക്ക്	നുകം	1
340	വിദേശം	രാജ്യം	1
341	മാനസികാവസ്ഥ	ശ്രദ്ധ	1
342	ഉപദേശം	അറിവ്	1
343	നദി	കോംഗോ	1
344	പിതൃസ്വത്ത്	സമ്പത്ത്	1
345	വിവരണം	വൃത്താന്തം	1
346	സാധനം	സാധനങ്ങള്	1
347	പ്രവര്ത്തനം	വര്ദ്ധനവ്	1
348	വഞ്ചകന്‍	കള്ളന്‍	1
349	പ്രവേശനകവാടം	സ്ഥാനം	1
350	ആശ്വാസകരം	സൌഭാഗ്യം	1
351	കേന്ദ്രഭരണകൂടം	തദ്ദേശസ്വയംഭരണസ്ഥാപനം	1
352	അരി	നുറുക്ക്	1
353	കൊറിയ	ഏഷ്യന്‍	1
354	സന്നി	ചെടി	1
355	പറക്കൽ	നടപ്പ്	1
356	പൈനാവ്	പട്ടണം	1
357	തുണിക്കട	കട	1
358	ഫര്ഹദ്	വൃക്ഷം	1
359	അക്ഷരം	കൈപ്പട	1
360	ജില്ല.	സാംഗലി	1
361	കളി	ഒളിച്ചുകളി	1
362	പങ്കെടുക്കല്‍	ജോലി	1
363	ഭാഗം	ഷെയര്‍	1
364	സ്ത്രീ	ഖദീജ	1
365	നോമ്പ്	ഉപവാസം	1
366	കട	പുസ്തകക്കട	1
367	ജോലി	സംസ്ക്കാരം	1
368	വായു	ചുഴലികാറ്റ്	1
369	ജോലി	പ്രവര്ത്തനം	1
370	പ്രതിജ്ഞ	ജോലി	1
371	കട്ട	ഭാഗം	1
372	മധുരപലഹാരം	വരട്ടി	1
373	ശ്രോതാവ്	വ്യക്തി	1
374	പരസ്യപ്പലക	ബോര്ഡ്	1
375	കാവ്യാലങ്കാരം	ഉദാത്തം	1
376	പ്രചാരണം	പ്രചരണം	1
377	അവസ്ഥ	അനുസരണകേട്	1
378	ആഭരണപ്പെട്ടി	ഡബ്ബ	1
379	ആളുകള്‍	ജാതി	1
380	ഭക്ഷ്യവസ്തു	ബ്രഡ്	1
381	ലാലാ	സംബോധന	1
382	കൂലി	ജോലിക്കാരന്‍	1
383	വ്യക്തി	യാചകന്‍	1
384	ശ്രേണി	ത്രിശക്തി	1
385	പാടവം	രീതി	1
386	കുത്തിയൊഴുക്ക്	ജോലി	1
387	വ്യക്തി	യജമാനൻ	1
388	വിവേകം	ജ്ഞാനം	1
389	പ്രവര്ത്തനം	വിലക്കുറവ്	1
390	കോഴിപ്പൂവ്	ചെടി	1
391	അമിതോത്സാഹം	പ്രദര്ശനം	1
392	അലക്കുകാരി	സ്ത്രീ	1
393	ചിത്രപ്പണി	കൊത്തുപണി	1
394	കൊതി	ദുഃസ്വഭാവം	1
395	തമിഴ്	ഭാഷ	1
396	നക്ഷത്രം	മകയിരം	1
397	അവശിഷ്ടം	വീട്	1
398	പിരിമുറുക്കം	മാനസികാവസ്ഥ	1
399	സംഖ്യ	മുപ്പത്തിമൂന്ന്	1
400	ജീവന്‍	ജീവി	1
401	തൊലി	ജാതിപത്രി	1
402	മുട്ടനാട്	ആട്	1
403	ചെടി	കൊത്തമല്ലി	1
404	ഇന്നലെ.	ദിവസം	1
405	സമതലം	മേട്‌	1
406	വര്ത്തമാനം	ചര്ച്ച്	1
407	പുതുക്കല്‍	രൂപാന്തരം	1
408	ഘടന	വസ്തു	1
409	ഉപസംഹാരം	വിഷയം	1
410	മാനസികാവസ്ഥ	ദേഷ്യം	1
411	ഭാഗം	ജോയന്റ്	1
412	ഉണക്കലരി	അരി	1
413	വ്യാസം	വര	1
414	വ്യാസം	ദേശം	1
415	പവിഴദ്വീപ്	ദ്വീപ്‌	1
416	പോളിഷ്	ഭാഷ	1
417	പട്ടണം	ശ്രാവസ്തി	1
418	സാഠി	നെല്ല്.	1
419	പ്രവര്ത്തനം	സദ്യ	1
420	വെട്ടല്‍	പ്രവര്ത്തനം	1
421	തുണി	സലീമി	1
422	തെളിവ്	സൂചന	1
423	സഫലത	ജയം	1
424	നിസാര്‍	നാണയം	1
425	പട്ടണം	ലഖ്നൌ	1
426	വാക്യം	മാദ്ധ്യമം	1
