index	word	definition	label
0	लावज	एक प्राचीन बाजा	1
1	जाँत	एक उपकरण	1
2	अगतिक	जिसका श्राद्ध-कर्म रीति अनुसार या ठीक से न किया गया हो	1
3	पंकजित्	गरुड़ के एक पुत्र 	1
4	एंट्रपी	किसी तंत्र की उस ऊर्जा की मात्रा को दर्शाने वाली ऊष्मा गतिकीय मान जो उस समय यांत्रिक काम करने के लिए उपलब्ध न हो	1
5	बिज्जूहा	एक वर्णवृत्त	1
6	सुप्रतिष्ठा	कार्तिकेय की एक मातृका 	1
7	अर्थ-व्यवहार	अर्थ संबंधी व्यवहार	1
8	पषणचतुर्दशी	अगहन मास के शुक्ल पक्ष की चतुर्दशी जिसमें स्त्रियाँ रात को पाषाण के आकार की बड़ियाँ बनाकर खाती हैं	1
9	भक्तशाला	वह स्थान जहाँ भक्तगण बैठकर धर्म का उपदेश सुनते हैँ	1
10	लदवाना	लादने का काम दूसरे से कराना	1
11	डाँबू	एक प्रकार का नरकट 	1
12	आकस्मिकी	अकस्मात् या अचानक घटित होनेवाली घटना या बात	1
13	सजाति	एक ही जाति या वर्ग के लोग	1
14	रातहव्य	एक पौराणिक ऋषि	1
15	तेजोमंडित	जो तेज से भरा हुआ या मंडित हो	1
16	वन्यपुष्प	जंगली फूल	1
17	आचार्यता	आचार्य का कार्य, पद या भाव	1
18	पठमंजरी	श्रीराग की चौथी रागिनी	1
19	विरुद्धरूपक	रूपक अलंकार का एक भेद	1
20	शक्तुक	एक प्रकार का विष जो बहुत ही तीव्र और उग्र होता है	1
21	प्रमाथी	एक वानर जो राम की सेना में था	1
22	अभोग्य	भोग या आनंद लेने के अयोग्य	1
23	बत्तख-चंचु	ऑस्ट्रेलिया और तस्मानिया में पाया जानेवाला, छोटे एवं घने रोमयुक्त, चौड़ी चोंच और पूँछ तथा झिल्लीदार पैरोंवाला एक अण्डज जलीय कशेरुकी जन्तु	1
24	अप्तोर्याम	अग्निष्टोम नामक यज्ञ का एक अंग 	1
25	वनकोकिल	एक छंद	1
26	लख-पेड़ा	जिसमें बहुत अधिक पेड़ हों	1
27	अऊत	वह आदमी जो निस्संतान ही मर गया हो	1
28	धम्हा	धातु गलाने की भट्ठी	1
29	अनुद्वाह	विवाह न होने की स्थिति	1
30	अधिरक्षी	वह आरक्षी या पुलिस विभाग का कर्मचारी जिसके आधीन कुछ सिपाही रहते हैं	1
31	भड़भूँजा	भाड़ में अन्न भूनने का कार्य करने वाली एक जाति का सदस्य	1
32	पथराना	स्तब्ध या जड़ हो जाना	1
33	आवादन	किसी को बुलाने या पुकारने का काम	1
34	जलसाही	एक छोटा समुद्री जन्तु जिसके शरीर पर गोल, काँटेदार कवच होता है 	1
35	आनंदपट	दुलहन की पोशाक	1
36	भखी	दलदली भूमि में उगनेवाली एक प्रकार की घास	1
37	पैंतालिसवाँ	गणना में पैंतालीस के स्थान पर आनेवाला	1
38	लतहा	लात मारनेवाला (पशु)	1
39	हरठिया	रहँट के बैल हाँकनेवाला	1
40	सवस्त्र	शरीर पर के वस्त्रोंसहित	1
41	परकोटेदार	परकोटे वाला	1
42	उढ़री	वह स्त्री जिसे कोई भगा ले गया हो	1
43	कलयंत्र	मशीनों या मशीन प्रणालियों का समूह	1
44	अन्यजात	दूसरी जाति में उत्पन्न	1
45	पाढ़	वह ढाँचा जिस पर बैठकर कारीगर काम करते हैं 	1
46	अश्ववदन	एक प्राचीन देश	1
47	ग्रीनलैंडी	ग्रीनलैंड की भाषा 	1
48	अर्जुनक	अर्जुन का या अर्जुन संबंधी	1
49	मेस्कल	मैक्सिको की एक शराब 	1
50	वल्कली	वृक्ष की छाल का वस्त्र धारण करनेवाला 	1
51	अक़्क़लबार	भारत में पाया जाने वाला एक छोटा पौधा	1
52	अंतरिंद्रिय	शरीर के अंदर पायी जाने वाली इंद्रिय	1
53	मडगास्कर	दक्षिण अफ्रीका का एक द्वीपीय देश 	1
54	राँकड़	खेती करने की कंकड़ीली और ऊँची-नीची भूमि	1
55	तितलौकी	एक प्रकार की गोल लौकी जो कड़ुवी होती है	1
56	दीवारगीर	दीवार पर टाँगा जानेवाला रंगीन परदा ख़ासकर छपा हुआ	1
57	हरणीय	हरण करने, चुराने, लूटने या छीनने योग्य	1
58	वीरबाहु	धृतराष्ट्र का एक पुत्र	1
59	बुगी	सुलवेसी द्वीप के लोगों की भाषा 	1
60	भियाकुरो	एक प्रकार की सतभैया चिड़िया जिसकी चोंच पीली होती है 	1
61	कछुई	मादा कछुआ	1
62	बेसिंगा	जिसमें सींग न हो या जो सींगविहीन हो	1
63	धनुषाक्ष	एक ऋषि	1
64	पुनर्प्रदर्शन	फिर से दिखाने की क्रिया	1
65	थाँगी	चोरी का माल खरीदने या अपने पास छुपाकर रखनेवाला आदमी	1
66	तुंडीगुदपाक	बच्चों के गुदा पकने का एक रोग	1
67	निचंद्र	एक दानव	1
68	भृम्यश्व	एक ऋषि	1
69	आज्ञापक	आज्ञा देने वाला	1
70	सुनारपाड़ा	सुनारों का बस्ती	1
71	शालबाफ़	शाल आदि बुननेवाला कारीगर	1
72	पुनरावासित	जो फिर से बसाया गया हो	1
73	फदका	गुड़ का वह पाग जो बहुत अधिक गाढ़ा न हो	1
74	कोरक	एक प्रकार का गंधद्रव्य	1
75	अंगच्छेदक	किसी अंग को छेदने या काटकर अलग करनेवाला	1
76	अप्रकृतआश्रितश्लेष	श्लेष-शब्दालंकार का एक भेद 	1
77	परिज्ञात	जो अच्छी तरह से जाना हुआ हो	1
78	अवलेहन	जीभ से चाटने की क्रिया या भाव	1
79	प्लाज़्मोडियम	मलेरिया उत्पन्न करने वाला एक सूक्ष्म परजीवी	1
80	पचीसवाँ	+गणना में पचीस के स्थान पर आने वाला साल	1
81	रुधिरवृद्धिदाह	एक रोग जिसमें रक्त की अधिकता के कारण सारे शरीर से धुआँ-सा निकलता है	1
82	तरोता	एक लंबा वृक्ष जो मध्य एवं दक्षिण भारत में पाया जाता है	1
83	दुबज्यौरा	गले में पहनने का एक गहना	1
84	टपाना	व्यर्थ का इंतजार कराना	1
85	बाँगड़	हरियाणा का क्षेत्र विशेषकर हिसार, रोहतक तथा करनाल और इसके आस-पास का क्षेत्र	1
86	दुहवाना	दूहने का काम दूसरे से कराना	1
87	णकारांत	जिसके अंत में ण अक्षर हो	1
88	चैलाशक	एक छोटा कीड़ा	1
89	कलफ़दार	जिसमें कलफ़ या माँड़ लगा हो या माँड़ से युक्त	1
90	चोर-चाबी	वह चाबी जिससे हर तरह के ताले खुलते हैं	1
91	शकुंत	महाभारत में वर्णित एक पक्षी जिसने वन में छोड़ी गई मेनका और विश्वामित्र की पुत्री की रक्षा की थी	1
92	छोड़न-छाड़न	उपयोग करके या किसी अन्य कारण-वश छोड़ा गया पदार्थ 	1
93	चकेठ	वह डंडा जिससे कुम्हार चाक को घुमाता है	1
94	नीलकुंतला	पार्वती की एक सखी 	1
95	निर्वीर	वीरों से रहित	1
96	बड़कन्ना	बड़े कानवाला	1
97	इतरौहाँ	इतराने या इठलाने वाला	1
98	अभिमर्दन	कुचलने या दमन करने की क्रिया 	1
99	निबहुरा	जाकर न लौटने वाला	1
100	चकाकेवल	काले रंग की मिट्टी जो सूखने पर चिटक जाती है	1
101	तृणमय	जो घास का बना हुआ हो	1
102	निदाघ	पुलस्त्य ऋषि के एक पुत्र	1
103	उठतक	घोड़े की पीठ पर की काठी के नीचे रखी जानेवाली गद्दी	1
104	कंकणास्त्र	एक प्रकार का अस्त्र	1
105	फटिका	जौ आदि के खमीर से बननेवाली शराब	1
106	गाड़ी-रास्ता	वह रास्ता जिससे गाड़ियाँ आ-जा सकें	1
107	आध्यात्म-विद्या	आत्मा तथा परमात्मा की जानकारी देने वाली विद्या	1
108	अर्थ्य-समाहर्ता	बिल में लिखे प्राप्य धन को वसूलने या इकट्ठा करने वाला व्यक्ति	1
109	आसंजक	दो सतहों को चिपकाने या जोड़ने वाला पदार्थ	1
110	रझनी	दूध उबालने का एक बरतन	1
111	खदी	एक प्रकार की घास	1
112	कोशिका-भित्ति	वनस्पति कोशिका की सबसे बाहरी परत जो उसे चोट-मोच आदि से बचाती है	1
113	नाभिछेदन	तुरंत के जन्मे हुए बच्चे के नाल को काटने की क्रिया	1
114	अजामुख	एक दानव	1
115	वल्लव	एक दैत्य	1
116	मंथिनी	वह पात्र जिसमें कुछ मथा जाए	1
117	छालिया	सुपारी के कटे हुए टुकड़े	1
118	सुलत	सात पातालों में से तीसरा  पाताल	1
119	अवहार	युद्ध रत दलों का कुछ नियत समय के लिए अस्थायी रूप से युद्ध बंद करने या युद्ध बंद होने की क्रिया	1
120	शूकधानी	वह गद्दीदार पात्र जिसमें पिनें खोंसकर रखी जाती हैं 	1
121	निबौरी	नीम का फल	1
122	उंछ	फसल उठ जाने के उपरांत जीविका के लिए दाने बीनने का काम	1
123	ककुभा	एक रागिनी	1
124	रखटी	गन्ने का एक प्रकार	1
125	स्त्रीवास	वह वस्त्र जो संभोग के समय के लिए उपयुक्त हो	1
126	दीर्घश्रवा	एक पौराणिक ऋषि	1
127	टापना	घोड़े का पैर पटकना (टप-टप शब्द के साथ)	1
128	रेआल	ब्राजील में चलने वाली मुद्रा	1
129	बिस्रमगंज	भारत के त्रिपुरा राज्य का एक शहर	1
130	मणिभद्रक	एक नाग	1
131	कंठशुष्कता	किसी कारण से गले के शुष्क होने की अवस्था	1
132	मरीगाँव	भारत के असम राज्य का एक शहर	1
133	नियोज्य	जो नियुक्त करने योग्य हो	1
134	विश्वधारा	एक पौराणिक नदी	1
135	कर्जेच्छुक	क़र्ज़ का इच्छुक	1
136	अधुत	बिना हिलाया हुआ	1
137	कोंचनी	बहेलियों का वह लम्बा, नुकीला बाँस जो शिकार फँसाने के काम आता है	1
138	अनुविष्ट	अपने स्थान पर लिखा या अंकित किया हुआ	1
139	स्तंभक	वह जो चमड़े को चुस्त बनाए और खून को बहने से रोके	1
140	विद्युज्जिह्व	एक राक्षस 	1
141	पुष्यस्नान	पूस के महीने में पुष्यनक्षत्र पड़ने पर किया जानेवाला स्नान	1
142	भँगार	वह गड्ढा जो बरसात के दिनों में जमीन के दब जाने से बन जाता है या जिसमें बरसाती पानी एकत्र हो जाता है	1
143	बनहटी	एक प्रकार की छोटी नाव	1
144	रेज़ुमे	किसी व्यक्ति के नाम, काम, शिक्षण तथा उसके कार्य अनुभव, योग्यता आदि का लिखित संक्षिप्त विवरण जो अक्सर रोजगार के लिए आवेदन के साथ प्रस्तुत किया जाता है	1
145	संस्कारात्मक	संस्कार से संबंधित या संस्कार का	1
146	पनकटा	खेत सींचने वाला आदमी	1
147	वानवासिका	एक प्रकार की चौपाई	1
148	सुनायक	कार्तिकेय के एक अनुचर 	1
149	रेडियो-बम	ऐसा विस्फोटक गोला या बम जिसका विस्फोट रेडियो द्वारा होता है	1
150	पूँछवाला	* जिसमें पूँछ हो	1
151	वक्षोग्रीव	विश्वामित्र के एक पुत्र 	1
152	मृदा-पात्र	* वह बरतन जो मिट्टी का बना हो	1
153	महाकन्य	एक गोत्र प्रवर्तक ऋषि	1
154	दुहत्थड़	दोनों हाथों से किया जाने वाला प्रहार 	1
155	नष्टेंदुकला	वह अमावस्या जिस दिन चंद्रमा बिलकुल दिखाई न दे	1
156	समुद्रफेनी	एक अकशेरुकी, दस भुजाओंवाला समुद्री जन्तु	1
157	सुदीति	एक पौराणिक ऋषि	1
158	बिसखोपरा	एक विषैला सरीसृप	1
159	खेकसा	एक बेल जिस पर परवल के आकार के फल लगते हैं 	1
160	मुनसरिम	कचहरी के कार्यालय का वह अधिकारी जो मिसलें या नत्थियाँ यथास्थान रखता है	1
161	भावहीनता	भावहीन या भावरहित होने की अवस्था	1
162	चिखुराई	चिखुरने की मजदूरी	1
163	बगलीटाँग	कुश्ती का एक पेंच	1
164	आक्षिक	द्यूत या जुए से संबंधित	1
165	गिट्टक	गिटकरी में, स्वर या तान का वह सबसे छोटा भाग जो केवल एक कंप में निकलता है	1
166	शरावरण	एक प्रकार की ढाल	1
167	अधिगुप्त	भली-भाँति छिपाया हुआ	1
168	उपेक्ष्य	जो उपेक्षा करने के योग्य हो 	1
169	मालवगौड़	षड़व जाति का एक संकर राग	1
170	ओढ़ाना	दूसरे के शरीर या शरीर के किसी भाग को वस्त्र आदि से ढाँपना	1
171	सूँस	एक बड़ा जलजंतु	1
172	ऊर्णनाभ	एक दानव	1
173	नमाजगाह	मसजिद में वह स्थान जहाँ नमाज पढ़ी जाती है	1
174	रचवाना	मेहँदी या महावर लगवाना	1
175	वराड़ी	एक रागिनी	1
176	कालीफुलिया	एक प्रकार की बुलबुल	1
177	अनिर्दशा	जिसको बच्चा दिए दस दिन हुए हों (गाय)	1
178	युपिआ	भारत के अरुणाचल प्रदेश राज्य का एक शहर	1
179	पिठरक	एक नाग	1
180	दर्राज	एक उपकरण	1
181	मायुराज	कुबेर का एक पुत्र 	1
182	दुसूती	दोहरे सूतों का मोटा कपड़ा	1
183	पालीशोष	कान का एक रोग	1
184	पागलख़ाना	वह स्थान जहाँ पागलों की चिकित्सा की जाती है,और उन्हें वहीं रखा जाता है	1
185	निष्कुंभ	एक प्रकार का वृक्ष 	1
186	अनुवा	कुएँ की जगत का वह स्थान जहाँ से खड़े होकर पानी खींचते हैं	1
187	प्राकाम्य	आठ प्रकार की सिद्धियों में से एक 	1
188	पाटनदार	जिसमें पाटन हो 	1
189	छिलना	छीलने का काम होना	1
190	सत्वहीन	सत्व से रहित	1
191	अल्लाई	चौपायों के गले में होने वाली एक बीमारी	1
192	पदिक	गले में पहनने का वह गहना जिसपर किसी देवता के चरण अंकित हों 	1
193	अपक्षेपण	किसी वस्तु को गिराने की क्रिया	1
194	भौचक्कापन	भौचक्का होने की अवस्था या भाव	1
195	तालरंग	एक प्रकार का बाजा	1
196	गुड़ीला	जिसमें गुड़ पड़ा हो या गुड़ का सा मीठा (खाद्य पदार्थ)	1
197	अताना	मालकोस राग की एक रागिनी	1
198	शिलंधिर	एक गोत्र प्रवर्तक ऋषि	1
199	वैरिन	महिला शत्रु	1
200	पड़ियाना	भैंस का भैंसे के संयोग से गर्भाना	1
201	विजोहा	एक वर्णवृत्त	1
202	सहलावन	सहलाने की क्रिया	1
203	घुनना	(अनाज आदि) घुन के द्वारा खाया जाना	1
204	परपुरंजय	पुराणों में वर्णित एक राजा 	1
205	शांतिदेवा	उग्रसेन के छोटे भाई देवक नामक यदुवंशी की एक पुत्री	1
206	कुनलई	एक प्रकार का छोटा पेड़	1
207	अस्त्रविद्	वह व्यक्ति को अस्त्र चलाने में निपुण हो	1
208	तालीशपत्र	तेजपत्ते की जाति का एक वृक्ष	1
209	भूतखाना	बहुत गंदा और अँधेरा घर	1
210	चेचकरू	जिसके चेहरे पर चेचक के दाग हों	1
211	प्रियभाषी	जो प्रिय बोलता हो या प्रिय बोलनेवाला	1
212	झपिया	गले का एक गहना जिसके बीच में कोई नग जड़ा होता है	1
213	अंतःपट	+विवाह के अवसर पर वर तथा कन्या के बीच में लगाया जाने वाला वस्त्र विशेष	1
214	अड़िया	साधुओं की कुबड़ी अथवा तकिया जिसे वे टेक कर बैठते हैं	1
215	शैलगंगा	धार्मिक ग्रंथों में वर्णित एक नदी	1
216	कंपित्र	एक यांत्रिक उपकरण जो कंपन उत्पन्न करता है या कंपित होता है	1
217	ढगण	छंदशास्त्र द्वारा प्रतिपादित पाँच मात्रिक गणों में से एक	1
218	स्वशिक्षित	जिसने अपने आपको खुद शिक्षित किया हो या जिसने बिना गुरु के शिक्षा प्राप्त की हो	1
219	विलंबितगति	एक मात्रिक छंद	1
220	कार्मणोन्माद	एक प्रकार का उन्माद रोग	1
221	कलिवर्ज्य	जिसका करना कलियुग में निषिद्ध है 	1
222	व्याघ्रपुष्पि	एक गोत्र-प्रवर्तक ऋषि	1
223	आशुक्रिया	जल्दी का काम	1
224	मानहंस	एक वर्णवृत्त	1
225	मांगनयार	राजस्थान की एक जाति	1
226	नकचिपटा	जिसकी नाक चपटी हो	1
227	उझिला	उबटन के लिए उबाली हुई सरसों	1
228	कलोईबोड़ा	एक प्रकार का बड़ा साँप	1
229	अरिमेद	एक प्रकार के खैर का वृक्ष	1
230	असांसद	संसद की मर्यादा के अनुपयुक्त	1
231	पितरिहा	पीतल का	1
232	लिलंगिनी	स्वाज़ीलैंड में चलने वाली मुद्रा 	1
233	अभिघटक	प्लास्टिक या अन्य पदार्थों को अधिक नरम या लचीला बनाने के लिए इस्तेमाल किया जाने वाला एक पदार्थ	1
234	अन्नसंस्कार	भोजन के पदार्थ को पवित्र करने की क्रिया	1
235	बँधवाना	बाँधने का काम दूसरे से करवाना	1
236	घृतमणि	एक मणि जो लाल, पीला, हरा, श्वेत या काले रंग का होता है	1
237	विकिरण-चिकित्सा	विकिरण ऊर्जा जैसे एक्स-रे, रेडियम, रेडियोसक्रिय पदार्थों तथा अल्ट्रावायलेट किरणों आदि द्वारा रोगों का उपचार	1
238	यक्षरुचि	एक दैत्य 	1
239	दंतोष्ठ्य	वह वर्ण जिसका उच्चारण दाँत और ओंठ से होता हो	1
240	ध्वजग्रीव	एक राक्षस	1
241	गिलायु	गले में गांठ पड़ने का एक रोग 	1
242	हाँगर	एक प्रकार की बड़ी मछली 	1
243	सटना	आपस में इस प्रकार मिलना कि दोनों के पार्श्व या तल एक दूसरे को स्पर्श करें	1
