index	word	definition	label
10	தீயநடத்தை	ஊருவிளைவிக்கக் கூடிய கெடுதல்  தரக்கூடிய செயல்	1
17	தீயச்செயல்	நீதிக்கு எதிரான செயலாக இருப்பது	1
42	ஆதாரம்நிறைந்த	ஒருவருடைய அருகில் ஆதாரம் இருப்பது அல்லது ஆதாரத்தினால் நிரம்பியிருப்பது	1
92	பணிஒப்பந்தம்	பணத்திற்காக ஏதாவது ஒரு வேலையை முழுமையாக முடிப்பதற்கான உடன்படிக்கை	1
108	ஆமோதித்தல்	ஒப்புக்கொள்ளுதல்.	1
118	ஒளிமண்டலம்	தேவர்கள் அல்லது அழகான மனிதர்களின் முகத்தின் நான்கு பக்கமும் அந்த ஒளிமண்டலத்தின் சித்திரங்கள் அல்லது உருவங்களை காணமுடிகிறது	1
127	வேண்டுகோள்விண்ணப்பம்	ஒன்றைச் செய்யுமாறு அல்லது ஒத்துக்கொள்ளுபடி காகிதத்தில் எழுதும் கடிதம்.	1
134	சுபவிழா	மங்களமான செயலை நடத்தும் ஒரு விழா	1
147	இலக்கியநூல்	.கலைநயம் தோன்ற ஏதேனும் ஒரு வடிவத்தில் எழுதி வெளிப்படுத்தும் படைப்பு நூல்.	1
158	புதியகண்டுபிடிப்பு	முதல்முதலாக வெளிப்படுத்தப்பட்டது.	1
189	அதிகப்பிரசங்கியான	பயமற்ற, அதிகப்பிரசங்கியான	1
191	ஓரினத்தைச்சேர்ந்த	ஒரே இனத்தைச் சேர்ந்து இருப்பது.	1
199	விருந்தாளிவீடு	நட்பு அல்லது உறவு அடிப்படையில் உள்ளவரின் வீடு.	1
202	முன்தாழ்வாரம்	மாளிகையின் முன்புறத்தில் நிழல்தரக்கூடிய பகுதி.	1
203	முக்கியவழி	இன்றியமையாத தன்மை கொண்டதாக இருக்கும் பாதை.	1
205	ராசிசக்கரம்	குறிப்பிட்ட ராசியில் பிறந்தவர்களுக்கு ஏற்படக்கூடிய நன்மை தீமைகளை கணிப்பது	1
209	நமாஜ்	முஸ்லீம்களுடைய கடவுள் பிரார்த்தனை	1
215	இரும்புக்குவியல்	இரும்பின் குவியல்	1
225	வெள்ளிகிரகம்	சூரியனின் அருகில் உள்ள இரண்டாவது கிரகம்.	1
228	நெப்டியூன்கிரகம்	சூரியனைச் சுற்றும் கிரகங்களில் ஒன்று	1
