index	word	definition	morphology_type
10	தீயநடத்தை	ஊருவிளைவிக்கக் கூடிய கெடுதல்  தரக்கூடிய செயல்
17	தீயச்செயல்	நீதிக்கு எதிரான செயலாக இருப்பது
42	ஆதாரம்நிறைந்த	ஒருவருடைய அருகில் ஆதாரம் இருப்பது அல்லது ஆதாரத்தினால் நிரம்பியிருப்பது
92	பணிஒப்பந்தம்	பணத்திற்காக ஏதாவது ஒரு வேலையை முழுமையாக முடிப்பதற்கான உடன்படிக்கை
108	ஆமோதித்தல்	ஒப்புக்கொள்ளுதல்.
118	ஒளிமண்டலம்	தேவர்கள் அல்லது அழகான மனிதர்களின் முகத்தின் நான்கு பக்கமும் அந்த ஒளிமண்டலத்தின் சித்திரங்கள் அல்லது உருவங்களை காணமுடிகிறது
127	வேண்டுகோள்விண்ணப்பம்	ஒன்றைச் செய்யுமாறு அல்லது ஒத்துக்கொள்ளுபடி காகிதத்தில் எழுதும் கடிதம்.
134	சுபவிழா	மங்களமான செயலை நடத்தும் ஒரு விழா
147	இலக்கியநூல்	.கலைநயம் தோன்ற ஏதேனும் ஒரு வடிவத்தில் எழுதி வெளிப்படுத்தும் படைப்பு நூல்.
158	புதியகண்டுபிடிப்பு	முதல்முதலாக வெளிப்படுத்தப்பட்டது.
189	அதிகப்பிரசங்கியான	பயமற்ற, அதிகப்பிரசங்கியான
191	ஓரினத்தைச்சேர்ந்த	ஒரே இனத்தைச் சேர்ந்து இருப்பது.
199	விருந்தாளிவீடு	நட்பு அல்லது உறவு அடிப்படையில் உள்ளவரின் வீடு.
202	முன்தாழ்வாரம்	மாளிகையின் முன்புறத்தில் நிழல்தரக்கூடிய பகுதி.
203	முக்கியவழி	இன்றியமையாத தன்மை கொண்டதாக இருக்கும் பாதை.
205	ராசிசக்கரம்	குறிப்பிட்ட ராசியில் பிறந்தவர்களுக்கு ஏற்படக்கூடிய நன்மை தீமைகளை கணிப்பது
209	நமாஜ்	முஸ்லீம்களுடைய கடவுள் பிரார்த்தனை
215	இரும்புக்குவியல்	இரும்பின் குவியல்
225	வெள்ளிகிரகம்	சூரியனின் அருகில் உள்ள இரண்டாவது கிரகம்.
228	நெப்டியூன்கிரகம்	சூரியனைச் சுற்றும் கிரகங்களில் ஒன்று
237	விம்மிஅழு	அழும் போது மூச்சுத் தடைப்படுவதால், நெஞ்சு புடைக்க, மெல்லிய ஒலி வெளி வருமாறு அழுதல்.
238	கண்ணீர்வழிகிறது	கண்களிலிருந்து கண்ணீர் வெளியே வருதல்.
239	விம்பிவிம்பிஅழுதல்	அழும் போது மூச்சுத் தடைப்படுவதால், நெஞ்சு புடைக்க, மெல்லிய ஒலி வெளிப்படுமாறு அழுதல்.
241	விவாதம்செய்	ஒன்றாக அமர்ந்து ஏதாவது ஒரு விசயத்திற்கு தர்க்கம் செய்தல்
242	விதண்டாவாதம்செய்	வீணான வாதம் செய்வது அல்லது கேட்பது
245	தெளிவுசெய்	மறைவு ஏதும் இல்லாமல் பார்க்ககூடிய நிலை
251	பரம்பரைப்பெயர்	காலம்காலமாக தொடர்ந்து வரும் சந்ததினரின் பெயர்.
253	மொத்தமதிப்பெண்	ஒரு தேர்வில் மதிப்பெண்ணின் மொத்த எண்ணிக்கையின் அடிப்படையில் மாணவர்கள் பெறும் மதிப்பெண்கள்
255	பின்னஎண்ணிக்கை	கணிதத்தில் மூலக்கூறிலிருந்து சிறிது குறைவான அல்லது ஏதாவது ஒரு பாகம் குறையக்கூடிய எண்ணிக்கை
256	வகுக்குமெண்	கணிதத்தின் பின்ன எண்ணிக்கையில் கீழ் உள்ள எண்ணிக்கை தன்னுடைய அடிப்படையால் பகுதியைக் காட்டுகிறது
263	சீனயெழுத்து	சீனாவில் பயன்படுத்தப்படும் எழுத்துமுறை படயெழுத்துமுறை
264	சமமட்டமில்லாத	ஒத்த தன்மை இல்லாத நிலை
274	நிறுத்தற்குறியீடு	ஒரு வாக்கியம் முடிந்து விட்டதை குறிப்பதற்கு பயன்படுத்தும் சிறு புள்ளி வடிவ குறியீடு.
275	சரிகுறியீடு	பொருத்தமானது அல்லது தகுதியானது என்பதைக் குறிக்கப் பயன்படுத்தும் குறியீடு.
276	தவறுகுறியீடு	தவறானவற்றை குறிப்பதற்கு பயன்படுத்தும் பெருக்கல் வடிவ குறியீடு.
279	குருட்டுபக்தி	ஒருவர் மீது அவருடைய அவகுணங்களை புறக்கணித்து முழுமையான முறையில் சமர்ப்பிக்கும் ஒரு பக்தி
