index	word_a	word_b	label
41	गीदड़ी	['गीदड़']	1
60	कंपोस्त	['खाद']	1
93	कराबा	['बर्तन']	1
160	टूवैलू	['समूह']	1
171	लँगड़ापन	['अवस्था']	1
296	तीव्रानुभूति	['अनुभूति']	1
308	पंछा	['तरल पदार्थ', 'कचलोहू']	1
315	अविश्वासपात्र	['व्यक्ति']	1
319	दँतुरिया	['दाँत']	1
343	अज्ञातयौवना	['नायिका']	1
344	ज्ञातयौवना	['नायिका']	1
353	कठपिंजरा	['पिंजरा']	1
382	गजशाला	['घर']	1
409	नकवंशी	['बाँसुरी']	1
438	भितल्ला	['कपड़ा']	1
439	तल्लो	['पाट']	1
458	चौरेठा	['आटा']	1
477	देवीमंदिर	['मंदिर']	1
493	धातु-मूर्ति	['मूर्ति']	1
502	कृषिवर्ग	['समुदाय']	1
504	सहलावन	['स्पर्श']	1
528	उल्काश्म	['उल्का']	1
537	अनर्कचतुर्दशी	['चतुर्दशी']	1
561	उपनायिका	['नायिका', 'सखी']	1
574	गोदनी	['औजार']	1
580	मातृकोशिका	['कोशिका']	1
625	झँझरी	['चलनी', 'साँवती', 'साँगी']	1
629	हस्तोपकरण	['औजार', 'हत्था', 'रंदा', 'बेलचा', 'छेनी', 'रिंच']	1
630	गोदनहारी	['महिला']	1
666	एक्की	['बैलगाड़ी']	1
668	अंडग्रंथि	['ग्रंथि']	1
724	शिशुधानी	['शारीरिक भाग']	1
736	गुणनांक	['अंक', 'बुद्धि गुणांक']	1
737	गुण्यांक	['अंक']	1
756	बाल-सखी	['सहेली']	1
788	साँपिन	['सरीसृप जीव']	1
803	गोरू-चोर	['चोर']	1
807	गौचरी	['कर']	1
833	वस्त्रावरण	['आच्छाद', 'ओढ़ना']	1
834	आच्छाद	['पदार्थ', 'वस्त्रावरण', 'अंगुश्ताना', 'छप्पर', 'छाता', 'कफन', 'छींका', 'शिरस्त्राण', 'तिरपाल', 'कवच', 'टायर', 'टप्पर', 'तंबू-पर्दा', 'स्कर्ट', 'तिल्हरी', 'कोश', 'खोल', 'खोल']	1
895	पशु-चिकित्साशास्त्र	['शास्त्र']	1
896	बहिरिंद्रिय	['इंद्रिय']	1
897	कर्मेंद्रिय	['इंद्रिय']	1
938	दुखपूर्णता	['मानसिक अवस्था']	1
965	मुर्दा-घर	['घर']	1
1035	मोज़ैक	['आकृति']	1
1062	नासा-विवर	['प्राकृतिक छिद्र']	1
1072	कनमैल	['मैल']	1
1142	ईर्ष्याहीनता	['सद्गुण']	1
1143	अविचारण	['काम']	1
1145	अविरक्ति	['मनोभाव']	1
1150	कल्पनाकर्ता	['व्यक्ति']	1
1155	ईर्ष्यालुता	['दुर्गुण']	1
