index	word	definition	label
3	పవిత్రస్థానం	ఆ స్థలం పవిత్రమైనదిగా భావిస్తారు	1
15	మంచినడవడిక	మంచి లక్షణాలను కలిగివుండటం.	1
23	ఆడసింహం	మగ సింహం కానిది	1
32	నరభక్షియైన	నరులను చంపి తినేవాడు.	1
34	అనాథయైన	ఆలనా-పాలనా చూసేవారులేని వ్యక్తి	1
38	సనాధయైన	పాలన పోషణ చూసేవారు	1
39	ఆడనక్క	పిల్లలకు జన్మ నిచ్చి పాలిచ్చి పెంచే కుక్కలాంటి ఆకారమున్న అడవి జంతువు	1
40	సహాయదాతలుగల	సహకారాలు ఉన్నటువంటి	1
42	సాధనసంపన్నుడైన	ఎవరిదగ్గరైతే సాధనాలున్నాయో	1
54	పంచపాండవులపూలచెట్టు	ఒక చిన్న చెట్టు దీనికి అందమైన పూలు పూస్తాయి.	1
55	పంచపాండవులపువ్వు	చిన్న చెట్టుకు పూచే ఒక అందమైన పువ్వు	1
58	బహిరంగముచేయుట	ఏదైన రహస్యాన్ని చెప్పే పని	1
59	చిందరవందరంగా	వ్యవస్థితం లేకుండా ఉండుట.	1
76	పొసగనిది	సందర్భానికి పనికిరానిది	1
82	తప్పుట	పరీక్షలో ఉత్తీర్ణముకాకపోవడం	1
86	పెద్దసీస	గాజుతో చేయబడిన పెద్ద పాత్ర దీనిలో సంగ్రహించిన పదార్థాలు మొదలగు వాటిని పెడతారు.	1
89	కాటుకదిద్దిన	ఆమె కళ్ళు అందంగా, నల్లగా కనిపించుటకు కారణం	1
111	ఉభయచరమైన	నేల మరియు నీటిలో నివశించేవి.	1
112	అనురక్తుడగు	లోనగునట్లు చేయుట	1
113	నిష్టగల	ఎవరైతే అభిమానం కలిగివుంటారో	1
114	కార్యశీలి	పనిలో నిమగ్నమై ఉండుట.	1
132	పనిమొదలుపెట్టుట	ఏదైన పనిని ప్రారంభించుట	1
133	ధార్మికకర్మలు	ఇది ఒక కర్మ. ఇది ధార్మిక పరమైనది.	1
135	యఙ్ణం	యఙ్ఞం చేసే పని	1
151	ఐక్యమత్యంలేని	ఇందులో ఏకత్వం లేకపోవడం	1
152	తినదగనిపదార్ధాలు	తినడానికి పనికిరాని వస్తువులు	1
153	అత్తిపండుచెట్టు	విప్పి చూడగా పురుగులుండే పండు యొక్క చెట్టు	1
157	వైకల్పికమైన	ఇష్టానుసారంగా ఎన్నుకోవడం.	1
162	మౌలికమైన.	మూలంతో సంబంధం కలిగిన	1
170	అపరాధకుడైన	ఎవరైతే నేరం చేస్తారో	1
174	తెలియనితప్పు	పొరపాటుగా జరిగినది	1
178	తినగామిగిలినది	ఎంగిలి భోజనం	1
186	ఐక్యమత్యంగల	కలసి-మెలసి ఉండుట.	1
