index	word_a	word_b	label
0	திரவம்	கூர்முனை	1
1	மனிதன்	நோயாளி	1
2	ஆறு	முறை	1
3	கென்ட்	கட்டுடல்	0
4	அனுமானம்	கற்பனை	1
5	பாத்தி	காரிக்	0
6	முப்பத்திநான்கு	எண்	1
7	சைகான்	மாம்பழம்	1
8	பத்து	எண்	1
9	ஆப்பிரிக்கா	நைஜீரியா	1
10	ராட்சசர்	அரிஸ்ட்	1
11	கோட்டை	வசிப்பிடம்	1
12	பாண்டு	பஞ்சாங்கி	0
13	கோள்	மோது	0
14	அவல்	பாவாடை	0
15	சேமிப்பு	சொத்து	1
16	வேலை	பின்னம்	1
17	குறுக்கம்	விலாசம்	0
18	கலை	திறமை	1
19	வேலைக்காரி	சேனை	0
20	இடிசத்தம்	சத்தம்	1
21	நாக்கு	திரவம்	1
22	அன்னச்சத்திரம்	பர்ஸ்	0
23	வாக்கு	யோசனை	1
24	தலைகவசம்	மூடி	1
25	கோலன்	நாணயம்	1
26	ஈட்டி	ஆயுதம்	1
27	குளிர்கண்ணாடி	அரசி	0
28	பளபளப்பான	பிரகாசம்	1
29	சீசா	பதுக்குபவர்	0
30	மகாகவிகாளிதாசர்	பகட்டு	0
31	நேரம்	குறுகியகாலம்	1
32	அனுஜா	பொருளணி	1
33	மந்திரம்	மூலமந்திரம்	1
34	குரு	சத்குரு	1
35	ட்யூனிசியா	ஜாம்பவதி	0
36	கணக்கு	ஆவணம்	1
37	மரம்	பிஹி	1
38	லேரி	பாய்மரக்கப்பல்	0
39	சத்பதி	தவம்	0
40	பாலைவனம்	பிரதேசம்	1
41	போலோ	விளையாட்டு	1
42	ஆயுள்கைதி	கல்வி	0
43	மாட்டுவண்டி	தாழ்ந்தவன்	0
44	கபந்தன்	ராட்சசர்	1
45	சமநிலை	அரிவாள்	0
46	பாசுமதி	கூட்டுப்பொருட்கள்	0
47	சமவெளிப்பகுதி	மைதானம்	1
48	பாத்திரம்	அடியா	1
49	பைத்தியம்	அறிக்கை	0
50	மேவாட்	பகுதி	1
51	நளன்	இளவரசன்	1
52	பொடி	மரத்தூள்	1
53	முட்டாள்	அடிமுட்டாள்	1
54	கூட்டம்	சட்டசபை	1
55	வேலி	குறிப்புச்சீட்டு	0
56	மெக்கா	புண்ணியத்தலம்	1
57	குணம்	சகுணம்	1
58	ரம்	மேல்முறையீடு	0
59	தாவரம்	பாசி	1
60	தஸ்யை	மரத்துப்போதல்	0
61	கவர்தல்	பலம்	1
62	ராமதுளசி	துளசிச்செடி	1
63	காலஇடைவெளி	தேஜ்பல்	0
64	சத்ரபதி	சன்னா	0
65	வரி	வருமானவரி	1
66	வேலை	கணக்கு	1
67	முருங்கைமரம்	முழங்கை	0
68	ஏற்றக்கூடிய	கூலி	1
69	ஆமோதிப்பவர்	சமத்துவவாதி	1
70	மிதிப்பு	குறுகியகாலம்	0
71	எல்லை	நைஜீரியா	0
72	டாலர்	இஸ்திரி	0
73	சுக்ரிவா	படம்	0
74	உயில்	கரப்பான்பூச்சி	0
75	எண்கோணம்	ஞானேஸ்வரி	0
76	கத்தி	எழுத்துவடிவம்	0
77	புல்	காண்டி	1
78	சூப்	உணவுப்பொருட்கள்	1
79	நிலச்சரிவு	செயல்	1
80	கேதார்	ராகம்	1
81	ஞானம்	பாதிப்பு	1
82	இருக்கை	வீட்டுப்பாடம்	0
83	பறவை	மஹரி	1
84	ஐஸ்	உணவுப்பொருட்கள்	1
85	குந்தனா	துணிச்சல்	0
86	வேலை	ஆள்மாறாட்டம்	1
87	துர்வாசர்	விரிவுரையாளர்	0
88	ரீம்	சகோதரி	0
89	வெற்றிக்கொடி	தூண்	1
90	சலாத்	ஃப்ரேம்	0
91	பூமிகள்	மனிதன்	1
92	ஜமீன்தார்	சண்டைக்காரி	0
93	ராம்சி	உணவுமுறை	0
94	கூட்டம்	கட்டு	1
95	ஆப்பிரிக்கா	மொரக்கோ	1
96	ஆப்பிரிக்கா	மலர்ச்சி	0
97	ஊஞ்சலாடும்	செயல்	1
98	பண்டகசாலை	முட்செடி	0
99	உணவுப்பொருட்கள்	சர்க்கரை	1
100	துறை	ஆட்சிக்குழு	1
101	காட்டுக்கோழி	நீர்பறவை	1
102	தினக்கூலி	தொண்டைச்சதை	0
103	மை	திரவப்பொருள்	1
104	போர்வீரர்	போர்வீரன்	1
105	தன்மை	வழுக்கை	1
106	பிரமை	வேலை	1
107	நாத்தனார்	ஊர்சுற்றல்	0
108	சிங்களர்	வசிப்பவர்	1
109	திரவம்	கரும்புச்சக்கை	1
110	முத்து	வண்டு	0
111	ஆண்	கெட்ட	1
112	குளிர்ச்சி	தூண்டுதல்	0
113	உலா	நடைபயணம்	1
114	சிடுசிடுப்பு	வரிசை	0
115	கொரடு	ரிவால்வர்	0
116	பாதுஷா	கோஹினூர்	0
117	அலங்காரப்பொருள்	சிங்கம்	0
118	நியூஸ்லாந்து	தேசம்	1
119	சகர்	குதிரைவண்டி	0
120	முன்பணம்	சொத்து	1
121	சமவெளிப்பகுதி	பூமி	1
122	சம்பந்தம்	தரம்	1
123	ஒற்றைத்தலைவலி	தூக்கம்	0
124	குரைத்தல்	முக்காலி	0
125	கோடைக்காலம்	இணக்கம்	0
126	இடம்	அறை	1
127	சொட்டு	இரத்தபோக்கு	1
128	இராணுவப்படை	புல்லுருவி	0
129	கவசம்	கூட்டுப்பொருட்கள்	0
130	அட்டை	பண்டமாற்றம்	0
131	பசுத்தோல்	பேனி	0
132	ஆசீர்வாதம்	இனிமா	0
133	பளபளப்பான	கூர்மை	1
134	பள்ளத்தாக்கு	எதிர்பாராத	0
135	முறை	செதுக்குதல்	1
136	நெருப்பு	காட்டுத்தீ	1
137	குடும்பஸ்தன்	சனீஸ்வரர்	0
138	கர்நாடகம்	முட்டைக்கோஸ்	0
139	மாமரம்	எட்வர்ட்	1
140	மாநிலம்	ஹரித்துவார்	1
141	உலோகம்	ஈயம்	1
142	ஆடை	புர்க்கா	1
143	இருபத்தியேழு	உட்கருத்து	0
144	துணி	படம்	1
145	செயல்	வீழ்ச்சி	1
146	வெளிறிப்போதல்	தைரியமின்மை	0
147	விளையாட்டு	கட்டுண்டிருத்தல்	1
148	செல்வாக்கு	இறக்கை	0
149	ஓம்	கடன்	0
150	கழலை	டாலர்	0
151	பூமி	பள்ளத்தாக்கு	1
152	பஞ்சி	தலைநகரம்	1
153	சுத்தம்	வேலை	1
154	பாகம்	கீழ்ப்பகுதி	1
155	அனுமதி	நாணயம்	0
156	வெளிறிப்போதல்	செய்பவன்	0
157	வேலை	அடக்குதல்	1
158	பாரிஜாதப்பூ	மேகலாயா	0
159	தாளம்	பஷ்தோ	1
160	இடம்	வசிப்பிடம்	1
161	கத்தி	நந்தக்	1
162	நாணயம்	நைரா	1
163	மரக்கால்	துதிப்பாடல்	0
164	பேரேடு	ஒன்பது	0
165	மரம்	ரப்பர்	1
166	குட்டி	குஞ்சு	1
167	வேலைக்காரன்	நீண்டகாலம்	0
168	தூரிகை	ஆயுதம்	1
169	நவரத்னம்	நுங்கு	0
170	சாணம்	பூச்சு	1
171	கருப்பர்கள்	பித்தவெடிப்பு	0
172	இரக்கமில்லாதவன்	மனிதன்	1
173	நகச்சுற்று	வந்தடைதல்	0
174	சதுரங்கம்	விளையாட்டு	1
175	சாரல்	போட்டி	0
176	மனநிலைமை	நிலை	1
177	உடம்பு	சபைத்தலைவர்	0
178	பாரீஸ்	கிளப்	0
179	ஜிலேபி	இனிப்பு	1
180	யுவராணி	மேகநாதன்	0
181	மணிப்பூரி	வசிப்பவர்	1
182	பயணம்	தாளம்	1
183	பிசிர்	ஆரம்	0
184	சாறு	பழச்சாறு	1
185	திறமை	திறமைசாலி	1
186	செயல்	சேமிப்பு	1
187	மலரஞ்சலி	விபாசனா	0
188	வேட்டி	ஆப்பிரிக்கர்	0
189	கைக்கருவி	ஆளுங்கட்சி	0
190	இறங்குதல்	ஷால்	0
191	சணல்கயிறு	முகஸ்துதி	0
192	ஏற்றுமதி	யுகமுடிவு	0
193	வெட்டுக்கத்தி	ராணுவப்படை	0
194	மேற்பார்வையாளர்	ஞானம்	1
195	சுவாஹா	சண்டையிடு	0
196	கோலாப்பூர்	நகரம்	1
197	செயல்	கடைதல்	1
198	மாமரம்	பீஜீ	1
199	ஜெனரேட்டர்	ஜரிகை	0
200	பூந்தி	மசோதா	0
201	மூட்டு	புவனேஸ்வர்	0
202	செயல்	ஏற்றுதல்	1
203	ஆச்சரியம்	பத்தொன்பது	0
204	மோதிரம்	கலைப்பொருள்கள்	1
205	யோசனை	வேலை	1
206	கர்தா	ஆயில்யம்	0
207	சுந்	ராட்சசர்	1
208	காண்பிப்பவர்	தேடல்	0
209	விளைவு	செயல்	1
210	ராகம்	பராரி	1
211	நிலை	பலவீனமடைதல்	1
212	புருவம்	முடி	1
213	மனிதன்	வஞ்சகன்	1
214	ஏரி	அத்திமரம்	0
215	கொண்டைக்கடலை	கர்ப்பம்	0
216	தயாரிப்பு	இஸ்ரேல்	0
217	தட்டு	பாத்திரம்	1
218	பாம்பாட்டி	அனந்தநாதர்	0
219	படைப்பு	வேதாந்தம்	1
220	நிலை	தேவை	1
221	விபாசனா	முறை	1
222	அதிசயம்	பொருள்	1
223	நடுச்சாமம்	பகுதி	1
224	பசலைக்கீரை	அச்சடித்தல்	0
225	வஞ்சகர்	தயாநிதி	0
226	சனிகிரகம்	சப்தரிஷி	0
227	பூச்சு	களிம்பு	1
228	இந்தியர்கள்	அனாம்	0
229	நாற்றுப்பண்ணை	கலந்தாய்வு	0
230	கொப்பளித்தல்	தோமரம்	0
231	வியாபாரி	மரக்கூண்டு	0
232	பிள்ளைப்பாசம்	கடைத்தெரு	0
233	சிற்பம்	சுமத்ரா	0
234	நல்லெண்ணம்	எண்ணம்	1
235	பூதகி	முற்றம்	0
236	யோகசாஸ்திரம்	மாரத்தன்	0
237	கூற்று	புதன்கிழமை	0
238	தொற்றுநோய்	குடிகாரன்	0
239	வியாபாரம்	மருத்துவம்	1
240	பஞ்சர்	லெஸி	0
241	பூஜைப்பொருள்	ஊதுபத்தி	1
242	கல்வெட்டு	வாய்ப்புண்	0
243	ஈத்	குந்தனா	0
244	நுங்கு	குளிர்கண்ணாடி	0
245	தோண்டுதல்	அறுபத்திநான்கு	0
246	செடி	கருவூலம்	0
247	கடுகு	தொலைபேசி	0
248	அஷ்டமி	கொதிநிலை	0
249	சடங்கு	தர்மம்	1
250	அஸ்தி	மலை	0
251	நவரத்தினம்	இரவிக்கை	0
252	கொள்கை	குங்குமச்சிமிழ்	0
253	மலடி	கன்யாதானம்	0
254	தந்திரம்	நடவடிக்கை	1
255	பிசுபிசுப்பு	தன்மை	1
256	அலமாரி	பெட்டி	1
257	பஞ்சகல்யாண்	வினாடி	0
258	விளாம்பழம்	மரம்	1
259	யோகா	பணி	0
260	சோவன்	நூல்	1
261	வெண்மை	நரைமுடி	1
262	நோய்	மலச்சிக்கல்	1
263	மனோபாவம்	சந்தேகம்	1
264	தலைவர்	மனிதன்	1
265	தேவகர்	கிள்ளுதல்	0
266	இருமடங்கு	வானிலை	0
267	கேன்வாஸ்	கொக்கு	0
268	பங்கு	நிலை	1
269	மாந்தளிர்	சுங்கச்சாவடி	0
270	காஷ்மீரி	துணி	1
271	இறைவன்	இருவழிப்பாதை	0
272	குலம்	தோமர	1
273	மரத்துண்டு	ஹைபர்	0
274	மனோபாவம்	நியாயம்	1
275	அறிகுறி	கோடு	1
276	சித்தி	குடிகா	1
277	தோல்நோய்	வேர்க்குரு	1
278	மரணம்	சமாதி	1
279	கலைப்பொருள்கள்	மாத்திரை	1
280	தொண்டைக்கட்டு	பெவிலியன்	0
281	துணி	துண்டு	1
282	சிமெண்ட்	சுடர்	0
283	அலங்காரம்	பொருளணி	1
284	ராகம்	கேதாரி	1
285	அரிப்பு	நிலை	1
286	சுயக்கட்டுப்பாடு	வெட்கம்	0
287	மூவண்ணக்கொடி	ஆண்பறவை	0
288	உத்திரம்	கமிஷன்	0
