index	word_a	word_b	label
0	resoluteness	decisiveness	1
1	oca	feverish	0
2	tall	gangling	1
3	widen	stretch	1
4	coup	cheapness	0
5	failing	fatigue	1
6	slapstick	comedy	1
7	hypocritical	nightgown	0
8	lousy	jetliner	0
9	wet	moisten	1
10	retire	discard	1
11	example	disrespectful	0
12	contort	tulle	0
13	survey	triangulate	1
14	interconnect	susceptibility	0
15	screwball	kneel	0
16	norm	standard	1
17	impressive	gallant	1
18	tormenter	flat	1
19	exposure	presentation	1
20	fur	ermine	1
21	be	blockbuster	0
22	communicative	chromite	0
23	insightful	perceptive	1
24	incapacity	thymol	0
25	kilohertz	geostationary	0
26	theory	egoism	1
27	catechist	teacher	1
28	replica	profusion	0
29	canopy	shelter	1
30	student	rollback	0
31	septet	gathering	1
32	reconcile	cooker	0
33	phoneme	regroup	0
34	unselfish	spine	0
35	homoerotic	ashen	0
36	baleful	caddish	0
37	choice	favorite	1
38	incorrigible	combustible	0
39	auspicious	apparent	0
40	govern	causeway	0
41	warn	caution	1
42	mosquito	virion	0
43	agitator	troublemaker	1
44	official	confirmed	1
45	motion	vibration	1
46	bivalve	cockle	1
47	cover	discourse	1
48	conviction	countryman	0
49	redaction	dizzy	0
50	general	fact	1
51	necessitate	boiled	0
52	misalign	omnipotence	0
53	turning	reversal	1
54	skillfulness	efficiency	1
55	market	industry	1
56	visit	tour	1
57	state	utopia	1
58	hanging	stabile	0
59	hermitage	supercharger	0
60	change	glorify	1
61	racking	dye	0
62	strand	ply	1
63	empathy	module	0
64	stumping	serialization	0
65	nodule	node	1
66	avid	interviewer	0
67	misbelieve	expressed	0
68	communal	lopsidedness	0
69	fringe	preserved	0
70	horsewhipping	teeter	0
71	fundus	storybook	0
72	feeling	desire	1
73	burglary	housebreaking	1
74	deviation	abnormality	1
75	feeble	breastfeed	0
76	vagary	toothbrush	0
77	pleased	gratified	1
78	battleship	testosterone	0
79	advancing	colic	0
80	continental	deductive	0
81	plentiful	display	0
82	hang	execute	1
83	ninja	stigmatization	0
84	truculence	clinical	0
85	lance	open	1
86	endoscopy	hysteroscopy	1
87	recruit	enlist	1
88	rerun	parallel	0
89	bait	temptation	1
90	announce	promulgate	1
91	aquaculture	capitalistic	0
92	demigod	leader	1
93	grantor	pinning	0
94	sideline	line	1
95	shortness	curtailment	1
96	peer	successor	1
97	assortment	selection	1
98	bedouin	acute	0
99	autarkic	regularity	0
100	homesick	tench	0
101	whetstone	lac	0
102	sheared	nonviable	0
103	suffer	tolerate	1
104	paramedic	paraprofessional	1
105	lighterage	fee	1
106	commemorate	observe	1
107	accursed	mica	0
108	maoism	incitement	0
109	heavenward	figure	0
110	patch	join	1
111	atherogenesis	aircrewman	0
112	ogress	symphony	0
113	unheard	repletion	0
114	simian	assertiveness	0
115	statement	theme	1
116	disorderly	boisterous	1
117	agglomerate	demurrer	0
118	datum	statistic	1
119	anomaly	anachronism	1
