index	word_a	word_b	label
0	निवासी	साम	1
1	मुनाफ़ाख़ोर	कंदील	0
2	आँचका	नमाजी	0
3	काम	दाख़िला	1
4	आभूषण	श्रीमाल	1
5	कंद	टेनिस	0
6	जादूगरनी	बटाई	0
7	भंडारण	राजापुरी	0
8	तकिया	मसनद	1
9	प्रतीक	मारकता	0
10	वाद्ययंत्र	घन	1
11	पूतदक्ष	पशुचारण	0
12	उत्पादक	धौरा	0
13	मोतिया	कृतित्व	0
14	पट्टी	पटिया	1
15	राग	कान्हड़ा	1
16	बैंक	संगठन	1
17	शिमोगा	शहर	1
18	कारोबार	सप्तस्पर्द्धा	0
19	तीव्रता	कमल	0
20	मठरना	पाटी	0
21	लता	नीलक्रांता	1
22	रागिनी	देशांकी	1
23	जिराफ	मीनराशिवाला	0
24	मुंडेर	सर्पास्य	0
25	व्यक्ति	उद्योगी	1
26	निमोची	राक्षस	1
27	बाकला	अधन्नी	0
28	खिलाना	काम	1
29	दिनावा	अंध	0
30	धोखा	सुडौलता	0
31	अनद्यतन	यतीमी	0
32	बुलबुल	कलसिरी	1
33	दलैंती	चंद्रपुर	0
34	आँसू	प्रेमाश्रु	1
35	भावार्थ	पूरक	0
36	वाजिशिरा	जई	0
37	जौनपुरी	राग	1
38	गुटरगूँ	आवाज़	1
39	पालन	काम	1
40	करताल	विवेक	0
41	आँवला	कृपाहीनता	0
42	अणुबम	बम	1
43	ड्राइवर	हंस	0
44	महिला	मेट्रन	1
45	गुड्डा	पतंग	1
46	राक्षस	गजकर्ण	1
47	अंक	अव्यक्तराशि	1
48	विलायती	व्यक्ति	1
49	चैत्री	चंड	0
50	द्रोणक्षीरा	सुषमा	0
51	व्यक्ति	उखरैया	1
52	पशु	चरिंदा	1
53	नाप	कैथ	0
54	पौधा	जई	1
55	छछूँदर	आतिशबाजी	1
56	गारुत्मत	अस्त्र	1
57	चांडालिनी	महिला	1
58	समुदाय	अफ़वाज	1
59	शतबलि	चालीसवाँ	0
60	अरसात	भिशक	0
61	बल्वल	तिबाई	0
62	प्रहसन	दृश्यकाव्य	1
63	सितार	अनुद्वाह	0
64	नौगुना	मात्रा	1
65	भागवती	कंठी	1
66	मुवक्किल	बरगद	0
67	अलोला	निकाय	0
68	महावस्त्र	गुलमर्ग	0
69	छंद	अश्वबंध	1
70	उष्मज	पथ्य	0
71	महालक्ष्मी	देवी	1
72	मिठाई	पेड़ा	1
73	बांगुई	विश्वावसु	0
74	दक्षिणा	अभयदक्षिणा	1
75	बाण	अस्त्र	1
76	तांत्रिक	प्रधानाचार्या	0
77	धातुकर्म	बगलीलंगोट	0
78	अभिज्ञातार्थ	निग्रहस्थान	1
79	काम	आस्फोटन	1
80	व्यक्ति	फगुहारा	1
81	सहेली	आमखास	0
82	डेल्टा	अक्षर	1
83	उपयुक्ततता	अभ्याघात	0
84	सुहाल	नमकीन	1
85	रुद्राणी	फिचकुल	0
86	बाप	व्यक्ति	1
87	नवदुर्गा	ईमान	0
88	लोटी	आग्नेयास्त्र	0
89	चारा	पुआल	1
90	संबोधन	जहाँपनाह	1
91	फ्रैक्चर	क्रिया	1
92	महीना	सौभर	0
93	तोड़	दाँव	1
94	वर्णवृत्त	तार	1
95	अलगाना	बजाजा	0
96	बोध	ताल	1
97	नमिनाथ	उपभोक्तावाद	0
98	खोइडार	विसापुर	0
99	दुरुपयोग	धनबाद	0
100	रेखता	दर्शकगण	0
101	गोड्डा	शहर	1
102	बाँवली	नागालैंडी	0
103	बनकल्ला	सीरियाई	0
104	सांप्रदायिकता	अनुद्धार	0
105	आरोपी	विदर्भ	0
106	कर्कोटक	नाग	1
107	लक्षण	स्पर्श	1
108	हेलुआ	महानगर	0
109	पित्तशूल	डंठल	0
110	द्वारी	ध्रुपद	0
111	रुझान	फ़ैशन	0
112	अभुक्तमूल	पछेली	0
113	कैदी	पाँयचा	0
114	इंचार्ज	व्यक्ति	1
115	अवस्था	साझेदारी	1
116	लठैत	कोशागार	0
117	धाँसी	खजरी	0
118	सूत्रपात	सद्भक्त	0
119	मंदारषष्ठी	घूँसाघूँसी	0
120	स्पेनी	भटुली	0
121	अगेला	अनाज	1
122	पतंगबाज	व्यक्ति	1
123	संगबसरी	दौड़	0
124	छछूँदर	पांडर	0
125	निवासी	यूक्रेनी	1
126	सोनमुदा	फँसनी	0
127	नाली	पाँखी	0
128	ध्वजारोहण	निपूती	0
129	भोज	बहूभोज	1
130	ईलुरु	धोती	0
131	प्रस्कण्व	अनंतचतुर्दशी	0
132	काम	प्रसारण	1
133	खलबली	क्रिया	1
134	भटकन	क्रिया	1
135	यज्ञ	पुत्रेष्ठि	1
136	अजरबैजानी	एक्की	0
137	रेग्यूलेटर	नान	0
138	तड़तड़ाहट	ध्वनि	1
139	नदी	कामेंग	1
140	कानाफूसी	त्रिज्या	0
141	जलकण	बूँद	1
142	वर्णवृत्त	इंद्रवंशा	1
