index	word_a	word_b	label
0	വെട്ടിച്ചുരുക്കൽ	പ്രവര്ത്തനം	1
1	വിദ്യാലയം	കീ	0
2	യഹൂദന്‍	ഉദ്യാനപാലകന്‍	0
3	ഉത്സവം	ഈദ്	1
4	ബോത	എടാ	0
5	ഓട്സ്	ലാടം	0
6	രാജീവ്ഗാന്ധി	ടിക്കറ്റ്	0
7	കൊടുമുടി	തോല്‍	0
8	മഹർഷി	ചാടുക	0
9	പറ്റം	ബ്രിട്ടന്‍	1
10	കൈപിടി	കുപ്പി.	0
11	ജലദോഷം	എളുപ്പം	0
12	ജോലി	ഭീഷണി	1
13	രാജ്യം	ധൃതരാഷ്ട്രം	1
14	അനുകമ്പ	ശിവപുരം	0
15	ഭക്തി	സ്‌തുതി	1
16	വ്യക്തി	കടക്കാരന്‍	1
17	ചെമ്മീന്‍	വിനിമയം	0
18	കാണ്‍പുര്‍	ആനന്ദം	0
19	നാടകകൃത്ത്‌	ലേഖകന്‍	1
20	പുഷ്കല	കവയിത്രി	0
21	ജില്ല.	നാഗ്പൂര്‍	1
22	കൈത	ബഹളം	0
23	പ്രതിപക്ഷം	പ്രാവീണ്യം	0
24	തലസ്ഥാനം	കുവൈറ്റ്	1
25	വാര്ത്ത	സൂചന	1
26	ആര്യ	ടെന്നീസ്	0
27	അമിതോത്സാഹം	മലബാറി	0
28	ഛായാഗ്രാഹി	അഹമ്മദാബാദ്	0
29	നൈജീരിയക്കാരന്	ശനി	0
30	തരം	ഇന്ദിരഗാന്ധി	0
31	വസ്തു	ഗോളം	1
32	രേഖകള്‍	ഫയല്‍	1
33	കീരി	കീരി.	1
34	കോവയ്ക്ക	നിന്ദിക്കുക	0
35	ശേഖരിക്കുക	ബ്രഹ്മചാരിണി	0
36	എളുപ്പം	കുംഭരാശി	0
37	ഊഞ്ഞാല്‍	സാധനം	1
38	കഹിയ	വിരിപ്പ്	0
39	അനിരുദ്ധന്	ദേവത്വം	1
40	രോഹിണി	ഉപമന്ത്രി	0
41	കടലിടുക്ക്	ഡച്ച്	0
42	ചീത്തപ്പേര്	മാന്	0
43	അവതാരകൻ	ജാതിവ്യവസ്ഥയെ	0
44	വ്യസനം	വിഷാദം	1
45	കര	തുഴക്കാരന്‍	1
46	മൊസേക്ക്	കല	1
47	പ്രതിനിധാനം	വിശകലനം	0
48	വിഷയം	അനൽ	0
49	ഞാറ്	ഇടിമുഴക്കം	0
50	ഉന്മാദം	വീക്കം	0
51	സാത്താൻ	ആശ്ചര്യചിഹ്നം	0
52	കളിക്കോപ്പുകള്‍	വല	1
53	പങ്കാളി	വ്യക്തി	1
54	വസ്തു	നഷ്ടപരിഹാരം	1
55	നൂറുകണക്കിന്	തമാമി	0
56	വഞ്ചി	കള്ളി	0
57	ഹല്വ	പോസ്റ്റ്മാന്‍	0
58	സംഖ്യ	എഴുപത്തിമൂന്ന്	1
59	സംഖ്യ	എഴുപത്തിയൊമ്പത്	1
60	അവസ്ഥ	വരള്ച്ച	1
61	വ്യക്തി	ഭീരു	1
62	പരിചയം	പദം	0
63	വിരുന്ന്	പ്രതിസന്ധി	0
64	മൈതാനം	കളിസ്ഥലം	1
65	ഡങ്കിപ്പനി	സര്വേ	0
66	നിയമം	പ്രസ്ഥാനം	1
67	സൂററ്റ്	പട്ടണം	1
68	വൃക്ഷം	ബലഭദ്ര	1
69	ഫര്ഹദ്	വൃക്ഷം	1
70	ദുഃഖം	ചവണ	0
71	കണ്ണുവേദന	തലസ്ഥാനം	0
72	പ്രവര്ത്തനം	ഇറക്കം	1
73	പോളോ	എള്ള്	0
74	ജോലി	കുടിയേറ്റം	1
75	ചെങ്കദളി	ഗുല്ഗുലു	0
76	മുന്നറ്റം	അപകടം	0
77	നിയന്ത്രണം	വാതാരി	0
78	ഓട	ഹോക്കി	0
79	പലിശക്കാരൻ	സ്ഥാനം	1
80	ജില്ല.	അമരാവതി	1
81	പ്രവര്ത്തനം	തീരുമാനം	1
82	കാളവണ്ടി	ഉപയുക്തത	0
83	വണ്ട്	എടുത്തുചാട്ടക്കാരന്	0
84	ദിവസം	ഞായറാഴ്ച.	1
85	അല്ല	പൊതുജനാഭിപ്രായം	1
86	മസാല.	ജീരകം.	1
87	പ്രവര്ത്തനം	യന്ത്രവല്ക്കരണം	1
88	ബിരിയാണി	കടുക്ക.	0
89	അഭ്യസനം	സാക്ഷരത	1
90	പാവ്	സംഹിത	0
91	പ്രജകള്‍	പോസ്റ്റ്മാന്‍	0
92	സംഖ്യ	മുപ്പത്തിനാല്	1
93	എഴുത്ത്‌	ഉത്തരവ്	1
94	രചന	മരപ്പൊടി	0
95	മാര്ഗ്ഗം	ജോലി	1
96	ദേവത്വം	ആലാപനം	1
97	ചികിത്സകന്‍	ഹക്കീം	1
98	പ്രലോഭനം	തീറ്റ	1
99	വ്യക്തി	കൃമിശല്യം	1
100	സങ്കരം	മട്ടം	0
101	വിസ്തൃതി	പൊക്കം	1
102	ഇരുപത്തിയഞ്ച്	തെറ്റു്‌	0
103	ഉന്നാവ	പട്ടണം	1
104	പ്രകാശം	ദൈവദൂതന്	0
105	ചാലകം	വസ്തു	1
106	പാളി	വാതാരി	0
107	സിറിയന്‍	വനം	0
108	വനം	ഭാഷാശാസ്ത്രം	0
109	ന്യൂസിലാണ്ട്	രാജ്യം	1
110	കുടമുല്ല	മഹാന്	0
111	സത്യാഗ്രഹി	ഇരുപത്തിയേഴ്	0
112	രസിയ	പാട്ട്	1
113	കമ്പാല	മകരസംക്രാന്തി	0
114	ഉന്നം	നിലനില്പ്പ്	1
115	പഠാന്‍	വെള്ളപോക്ക്	0
116	ജോലി	അഹിംസ	1
117	വന്യജീവി	ജീവി	1
118	എഴുപത്തിരണ്ട്	സംഖ്യ	1
119	സ്റ്റീറോയിഡ്	പ്രവിശ്യ	0
120	ബ്രഹ്മരക്ഷസ്	പിശാച്	1
121	സുമാത്ര	ലൈംഗികബന്ധം	0
122	അപരാധം	കള്ളം	1
123	തുളസി.	ചെടി	1
124	തെറി	തയ്യല്‍	0
125	പാട്ടുകാരി	അംശം	0
126	ജര്മ്മന്‍	ഊദ്	0
127	അവസ്ഥ	നിഷ്പക്ഷം	1
128	വര്ദ്ധനവ്	അടിസ്ഥാനതത്ത്വം	0
