index	word_a	word_b	label
0	defeated	licked	1
1	pigment	lake	1
2	state	ownership	1
3	collection	block	1
4	stalk	branch	1
5	absorb	interest	1
6	dowdy	pastry	1
7	viewable	visible	1
8	position	caliphate	1
9	violence	aggression	1
10	table	stand	1
11	face	muzzle	1
12	fetishism	paraphilia	1
13	rush	assail	1
14	look	glitter	1
15	gynecology	medicine	1
16	machiavellian	follower	1
17	make	reach	1
18	boardwalk	walk	1
19	advantageous	expedient	1
20	alto	pitch	1
21	rosebud	girl	1
22	loft	store	1
23	tangerine	mandarin	1
24	paving	artifact	1
25	changeable	variable	1
26	investigation	count	1
27	steel	sharpener	1
28	suborn	corrupt	1
29	warn	caution	1
30	financier	operate	1
31	blackberry	berry	1
32	glycoside	nucleoside	1
33	tsunami	wave	1
34	construction	adjunct	1
35	ferocity	intensity	1
36	starved	malnourished	1
37	chinaman	bowling	1
38	quarterback	back	1
39	chip	float	1
40	gen	information	1
41	presume	testify	1
42	relieve	mitigate	1
43	hole	pit	1
44	dishonesty	unrighteousness	1
45	muster	gather	1
46	match	rhyme	1
47	filer	litigant	1
48	size	smallness	1
49	mass	prayer	1
50	position	speakership	1
51	can	caddy	1
52	borderland	district	1
53	study	room	1
54	waiter	lurker	1
55	arthritis	osteoarthritis	1
56	be	press	1
57	announce	report	1
58	push	approach	1
59	tuft	coma	1
60	abeyance	inaction	1
61	outspoken	communicative	1
62	effort	application	1
63	milkshake	drink	1
64	joy	exuberance	1
65	obstruct	clog	1
66	consume	drug	1
67	standard	value	1
68	predecessor	forefather	1
69	snatch	fragment	1
70	degree	plane	1
71	lumber	planking	1
72	kremlin	bastion	1
73	bassoonist	musician	1
74	golfer	player	1
75	foliate	forge	1
76	telescopic	visible	1
77	crib	bin	1
78	shower	provide	1
79	hang	be	1
80	beardless	shaven	1
81	discolor	tone	1
82	warehouse	storehouse	1
83	nightingale	thrush	1
84	apparatchik	communist	1
85	player	participant	1
86	litigant	defendant	1
87	cellular	multicellular	1
88	travel	precede	1
89	sensitization	sensitivity	1
90	history	past	1
91	defender	combatant	1
92	advance	nose	1
93	meteorologist	weatherman	1
94	liberate	free	1
95	consumer	prodigal	1
96	theology	hermeneutics	1
97	member	pledge	1
98	thief	robber	1
99	minimized	decreased	1
100	discipline	major	1
