index	word_a	word_b	label
0	മാലതിടോഡി	അശോകന്‍	0
1	പ്രസാധകന്	ഹിരണ്‍ഖുരി	0
2	ധാന്യകൂമ്പാരം	സമുദായം	1
3	വൈദ്യന്	സുഷേണൻ	1
4	കര	ചുരുക്കല്	0
5	ഇല	പാന്‍	1
6	യവതമാല	കുന്ദരം	0
7	രാക്ഷസന്മാര്	കോകന്‍	1
8	സംഖ്യ	അംശം	1
9	കൊച്ചി	ദേവാസുരബലപരീക്ഷണം	0
10	മഹാഗണപതി	ഭൂതഗണങ്ങള്	1
11	രാക്ഷസന്മാര്	ആതാപി	1
12	വികാസം	ഗൊജയി	0
13	അര്ഥാലങ്കാരം	അതിശയോക്തിയലങ്കാരം	1
14	തടാകം	ഉഷ്ണം	0
15	പ്രാവ്	പക്ഷി	1
16	ഉരുളല്	ജോലി	1
17	ടങ്സ്റ്റന്	വൈലെട്ടാ	0
18	പട്ടണം	ജാംജാഗീര്‍	1
19	ശൂദ്രന്	മാനാപമാനം	0
20	ലത	വിഷ്ണുക്രാന്ത	1
21	സമാപനം	ജലയാനം	0
22	പ്രവര്ത്തനം	ഉത്തരവാദപ്പെടുത്തൽ	1
23	ജയന്തി	ബാർലി.	1
24	കുളക്കോഴി	രാജനീതീ	0
25	വ്യൂഹഭേദനം	ധർമ്മയുദ്ധം	0
26	രക്ഷ	റവ	0
27	കടല	കടലചെടി	1
28	വള്ളംസവാരി	വധു	0
29	നിറം	ചെമപ്പ്	1
30	രാക്ഷസന്മാര്	ശംഖ്ചൂടന്	1
31	ഒകൊലെഹാവൊ	ആന്തരികദേഷ്യം	0
32	ദന്തെവാഡ	പകല്ജോ്ലി	0
33	വ്യക്തി	സംഘാടകന്	1
34	ഛായാഗ്രാഹി	അധ്യാപകന്‍	0
35	രത്നക്കല്ലു്	മരതകം	1
36	നകടെസർ	കര്ക്കരേഖ	0
37	തിരുവാരൂര്‍	യോഗി	0
38	മതപരിവര്ത്തനം	മാൻ	0
39	ഗുലുഗുലു	അസ്ഥിരോഗം	0
40	ഓര്ക്കിഡ്	ചെടി	1
41	യജമാനന്‍	ജന്മി	1
42	ബരേലി	ജില്ല.	1
43	നിലക്കടലപരിപ്പ്	പിസൊര	0
44	നിവാസികള്	യമന്കാരന്	1
45	ഹേതുപമ	ലിഖിതം	0
46	വകുപ്പ്	ഉപവിഭാഗം	1
47	വേഗത	മഴക്കാറുകള്‍	0
48	ബിരുദം	നവാബ്	1
49	മോണവീക്കം	മേയല്‍	0
50	ബഠാഠ	ഒളിക്കല്	0
51	സുചര	എട്ടാംക്ലാസ്	0
52	ഉന്മൂലനം	ലക്ഷാധിപതി	0
53	തോട്ടക്കാരി	സ്ത്രീ	1
54	തത്വജ്ഞാനി	സോക്രട്ടിസ്	1
55	പുല്ലു്.	ലാമയ	1
56	ജീവിപ്പിക്കുക	പൂച്ച	0
57	കീര്ത്തി	രത്നഗിരി	0
58	നിര്ബന്ധിതമാക്കൽ	കൃത്യനിഷ്ഠ	1
59	മാന്ത്രികവിദ്യ	അത്ഭുതം	1
60	മസ്ക്കറ്റ്	കണ്ഠ്യാക്ഷരം	0
61	കുറവ്	പരിശ്രമമില്ലായ്മ	1
62	അസ്നിഗധദാരു	മാര്ഫത്	0
63	ദണ്ഡനമസ്ക്കാരം	പ്രണാമം	1
64	പ്ലാസ്റ്റിക്	സാധനം	1
65	ഫോസ്ഫേറ്റ്	ചെപ്പടിവിദ്യക്കാരന്‍	0
66	ആയുധം	കുളമ്പ്	1
67	ദേവരിയ	ജില്ല.	1
68	അവ്യക്തം	അടകാ	0
69	എണ്ണപലഹാരം	വെളുപ്പിന്	0
70	ദേശം	തോട്ടം	1
71	നാഗസന്യാസി	യജ്ഞസേനന്‍	0
72	ജിം	കുമ്മായം	0
73	പിശാചി	സ്തുതിഘോഷം	0
74	നാക്കു്‌	വേദകേതു	0
75	തിര	കൊചരേ	0
76	മകരസംക്രാന്തി	അലിഗഢ്	0
77	സ്ഥാവരസ്വത്ത്	ഭൂസ്വത്ത്	1
78	ഹുക്ക	സാംഗലി	0
79	ദിവസം	രമേതി	1
80	സര്ക്കസ്	അതലം	0
81	രാക്ഷസന്മാര്	ഭദ്രായുദ്ധന്	1
82	ലഡാഖ്	സന്ധ്യ	0
83	ഉപനിയമം	അപതീർഥം	0
84	ഭക്ഷണശാല	ചിരട്ടപാത്രം	0
85	തുള്ളി	ഭാഗം	1
86	വീട്ട്സാമഗ്രികള്	പാറ്റ.	0
87	അരിപ്പ	രക്തഷ്ഠികി	0
88	നാംദേട	പട്ടണം	1
89	പാത്രം	കുങ്കുമം	1
90	ചെടി	ബേദലൈല	1
91	ഏര്പ്പാടാക്കല്‍	ഒസ്യത്ത്	1
92	യോജന	ചുറ്റളവ്	1
93	കാന്തം.	എണ്പത്തിയൊന്ന്	0
94	പ്രശ്നം	നിധി	0
95	ആഭരണം	സിര്ചെന്ദ	1
96	ജില്ല.	കുര്‍നൂല	1
97	നിവാസികള്	കൊളംബിയക്കാരന്	1
98	ധര്മ്മസങ്കടം	കല്ലുപ്പ്.	0
99	പുരാണപുരുഷന്	ഭഗീരഥന്	1
100	പഞ്ച്	മന്ദസൌര്‍	0
101	നിശ്ചയം	ഫിക്സിംഗ്	1
102	ന്യൂട്ടന്‍	അംബു	0
103	പ്രസാധകന്	വ്യക്തി	1
104	സഭ	രാജ്യസഭ	1
105	രാജാവു്‌	ഛത്രപതി	1
106	വൈധവ്യം	അവസ്ഥ	1
107	കാര്യക്ഷമത	ലങ്ക	0
108	സാധാരണഓട്ടം	നടപ്പ്	1
109	ഹെപ്പറ്റൈറ്റീസ്	വീക്കം	1
110	മതഗ്രന്ഥം	ഗ്രന്ഥം	1
111	താമ്രചൂട്	സ്റ്റേഷനറി	0
112	അളക്കല്‍	കല്ലു്‌	0
113	കറവ	ജോലി	1
114	പൊങ്കൽ	ഉത്സവം	1
115	സിരോഹി	പഠാന്പുത്രന്	0
116	ഇന്ദുകവൃക്ഷം	പാകാരി	1
117	ശ്രീഅരവിന്ദ്ഘോഷ്	രാവണൻ	0
118	കൊയ്ത്തുകാരന്‍	മുരബ്ബ	0
119	അഗ്നി	ജല്ഗ്രാമം	0
120	ജീവി	പെണ്ണ്	1
121	മഹാമന്ത്രി	ഗങ്കേരുണ	0
122	അഹങ്കാരി	തതഹട	0
123	മുരിങ്ങ.	ഉപമുഖ്യമന്ത്രി	0
124	പേര്	മരണാസന്നനായ	1
125	ഫുല്ക്കാരി	ആശ്രമം	0
126	ദീപാരാധന	ധൂപാരതി	1
127	നടിപ്പ്	കൈമുട്ടു്‌	0
128	സ്വാഭാവികത	അവസ്ഥ	1
129	ഥാലി	ഭോജനം	1
130	പച്ചക്കിളി	ലോഹപാത്രം	0
131	മുന്കോപം	ഉലകം	0
132	ഏമ്പക്കം.	ഗന്ധപ്രസാരിണി	0
133	ഷില്ലിംഗ്	മ്ബാബാന	0
134	സമകോണം	ഓര്മ്മ	0
135	പട്ടണം	ബിലാസ്പൂര്‍	1
136	ഭാരതീയത്വം	ത്രിശക്തി	0
137	അച്ചടക്കം	സിദ്ധാന്തം	1
138	റാട്ടുസൂചി	നെയ്ത്തുപകരണം	1
139	വാദ്യം	ഫാല്ഗുനം.	0
140	ദുശ്ശള	പുരാണസ്ത്രീ	1
141	കീടം	ദുലഖി	1
142	ഒഴിക്കല്‍	ജോലി	1
143	ശിക്ഷാവിധി	പോസ്റ്റ്മോര്ട്ടം	0
144	മൂലതത്വം	ഇലക്ട്രോണ്	1
145	രാഗം	സൂഹരാഗം	1
146	കാഴ്ചപ്പാട്	തിരിച്ചറിവ്	1
147	രാക്ഷസന്മാര്	ശിവി	1
148	മനോഭാവം	താല്പര്യമില്ലായ്മ	1
149	ജ്ലോട്ടി	നാഗസന്യാസി	0
150	ചെപ്പി	ദൃഢവര്‍മ്മന്‍	0
151	അയിര്	മന്ത്രജ്ഞന്	0
152	നാമജപം	കീര്ത്തനം	1
153	ഡൈനാമോ	സമ്മതം	0
154	പ്രവര്ത്തനം	രൂപാന്തരണം	1
155	സബര്‍മതി	അബിംധ്യയ	0
156	ചെപ്പടിവിദ്യക്കാരന്‍	കഴുകന്‍	0
157	സിംബ്ബാവെക്കാരന്‍	നിവാസികള്	1
158	ദാനി	അരബിചെടി	0
159	ഫരുവ	ഭിക്ഷാപാത്രം	1
160	മുതലാളി	സ്വരം	0
161	ചെമ്പണ്ട	ഗുജരി	0
162	ദുഗ്ധാക്ഷ	സുഗ്രീവ	0
